제목,가사,가수,발매일,좋아요수,장르
지금은 새벽 두시,"아침에 일어나
수화길 열어요
몇 마디를
적어보다가 닫아요
혹시 그대도
내 마음과 같다면
나도 모르는
이 내 마음들을 말해요
때로는 이 내 마음 못내
슬퍼 울었죠
어떻게 표현해야
들어줄까
못난 내 맘을
어쩌면 평생 나
아무 말도 못해
바보같이 말하는
이 얘기가 들리나요
한 동안 그댈 생각하며
많이 울었죠
몇 번의 편질 써내려 간 건지
이 서툰 마음들
어쩌면 한번쯤
고백할지 몰라
떨리는 이 맘
아무도 모르게 적어봐요
지금 이 편질 쓰는 시간은
새벽 두 시
내일 이 맘 때쯤엔
그대 손에 전해지길
나도 모르는 이 내 맘들",전지영,2016.05.11,47,발라드
너도 나처럼,"널 우연히 마주친 그 날
아무렇지 않게
인사하는 널 보며
나는 많이 아픈데
아직 그대로 인데
어떻게 넌 행복해 보이니
니가 울었으면 좋겠어
떠나버린 내가 그리워져서
그래야 날 찾을것만 같아서
니가 아팠으면 좋겠어
나를 버린 니가 너무 나빠서
이렇게 미치도록
널 원망하는 날 용서해
행복하자며 우리 행복했었던
날들이 바로 어제 같은데
너도 나처럼 너도 나처럼
매일밤 내생각에 내 생각에
잠이 안오길바래
니가 울었으면 좋겠어
떠나버린 내가 그리워져서
그래야 날 찾을것만 같아서
니가 아팠으면 좋겠어
나를 버린 니가 너무 나빠서
이렇게 미치도록
널 원망하는
날 용서해
행복했던 시간 힘겨웠던 시간
하루하루 기억에 남아 날 괴롭혀
단 하루라도 단 일초라도
널 보고싶어
니가 없었더라면
만나지 않았더라면
그때 마주치지 않았더라면
언제나 내옆에 영원 할줄았았어
널 그리워하는
널 잊지 못하는 내게 돌아와
내게 돌아와",민재,2016.05.11,159,"발라드, 국내드라마"
그대 거기 있어줘요 (Feat. Mystery),"그댄 알까 모를까
무심한 듯 던진 인사가
몇 번을 고민한
내 진심이라는 걸
그댄 알까 모를까
그댈 만나기 전엔
몇 번을 날 거울 속에
비춰보곤해
늘 걷던 이 거리가
요즘 왠지 달라보여
그댈 생각하면
바보처럼 웃음 만나와
조금 심술궂은
아이같은 표정이
나를 자꾸만
설레게하는 걸
그대 거기 있어줘요
좀 더 다가갈 수 있게
먼길 돌아와
그댈 만난건
마치 운명인거죠
그대 거기 있어줘요
그대에게 나 달려가
따스한 이 햇살처럼
포근히 감싸고싶어
ba God Bless me
숨이 멎을 뻔 했지
너의 목소리
때문에 시선을 뺏겼어
너의 모습이
평소와 다른건
혹시 날씨 때문이거나
바뀐 네 말투와
거리의 분위기가
묘하게 어울려 보인다거나
네 이야기가
재미는 있는데
난 기억은 잘 안나
Muwa 충동에 불붙여
넌 자꾸만
늘 걷던 이거리가
요즘 왠지 달라보여
그댈 생각하면
바보처럼 웃음만 나와
조금 심술궂은
아이같은 표정이
나를 자꾸만
설레게 하는 걸
그대 거기 있어줘요
좀 더 다가갈 수 있게
먼길 돌아와
그댈 만난건
마치 운명인거죠
그대 거기 있어줘요
그대에게 나 달려가
따스한 이 햇살처럼
포근히 감싸고 싶어
그대라는 향기가
내 맘에 닿을 때
느껴본 적 없는
행복이 날 가득 채우죠
눈부시게 빛나는
그런 사랑 줄게요
그대 주저말고 내 손 잡아요
그대 내게 말해줘요
손꼽아 기다려 왔다고
너무 소중해
감추고 싶던
그런 사랑이라고
그대 만을 사랑해요
그대는 나의 꿈이죠
영원히 그대와 함께
사랑을 나누고싶어",김도연,2016.05.12,257,발라드
첫 봄 (Feat. 김꽃),"처음은 우연히 다음은 인연처럼
달콤하게 조금 어색하게
넌 다가왔어
수줍게 낯설게 커져가는 내 마음
더 이상은 숨기지 않을래
나 오늘 고백할래
하얀 벚꽃 날리면
함께 두근대는 내 맘
봄빛 따스한 네 손길에
내 마음 좀 더 자라나
하얀 벚꽃 날리면
너와 함께 걷고 싶어
용기 내 너에게 고백할게
사랑해 사랑해
처음엔 한 걸음 다음엔 반걸음
모르는 척 살짝 내린 네 손
오늘은 잡을 거야
하얀 벚꽃 날리면
함께 피어나는 내 맘
봄빛 따스한 네 눈빛에
내 마음 더 숨길 순 없어
하얀 벚꽃 날리면
너와 함께 걷고 싶어
용기 내 너에게 고백할게
사랑해 사랑해
너에게로 깊이 숨겨왔던 사랑
붉게 물든 내 볼을
오늘만은 알아 줘
하얀 벚꽃 날리면
함께 피어나는 내 맘
봄빛 따스한 네 눈빛에
내 마음 더 숨길 순 없어
하얀 벚꽃 날리면
너와 함께 걷고 싶어
용기 내 너에게 고백할게
사랑해 사랑해",정희영,2016.05.12,102,"발라드, 인디음악"
너에게 닿기를,"처음 본 날 그 날
너무 이상하게도
몰랐던 널 그냥
알 것 같았어
평범한 눈 입술
무심한듯한 말투
나도 모르게
그냥 빠져버렸어
어떡해야 널 또 만날까
널 어떻게 다시 만날까
밤새 너의 생각만
머리 속에 맴돌아
이게 첫눈에 반한 걸까
이래도 될까 너를 품에
안는 꿈을 꿔도 될까
정말 사랑한다
말을 해볼까
어떻게 해 어떡해
이런 내 맘을
고백할 까봐
그냥 바라만 봐도
떨리는 이 느낌
상상했던 내 마음을
말해볼까 그냥
지금 너에게 갈게
설레였던 그 날
많이 궁금했었어
너도 나처럼
혹시 설레였을까
너에게는 나 어땠을까
사람들 속 하나였을까
밤새 너의 생각만
머리 속에 맴돌아
이게 첫눈에 반한 걸까
이래도 될까
너를 품에 안는
꿈을 꿔도 될까
정말 사랑한다
말을 해볼까
어떻게 해 어떡해
이런 내 맘을
고백할 까봐
그냥 바라만 봐도
떨리는 이 느낌
상상했던 내 마음을
말해볼까
지금
눈을 감고 있어도
자꾸 너만 생각나
하루 온 종일 너만
이래도 될까
너를 품에 안는
꿈을 꿔도 될까
정말 사랑한다
말을 해볼까
어떻게 해 어떡해
이런 내 맘을
고백할 까봐 그냥
바라만 봐도
떨리는 이 느낌
상상했던 내 마음을
말해볼까 그냥
지금 너에게 갈게",리치케이,2016.05.12,114,발라드
결혼 (2016 Ver.) (Inst.),"보고 싶어 미치겠다고
지금 당장 달려온다고
떼쓰고 또 울어도
밉지가 않는 여자
그런 여자가 바로 너야
누가 봐도 못난 놈이고
별볼일도 없는 나지만
내가 너의 전부라고
말해주는 여자
그런 여자가 또 어딨어
나와 결혼을 하자
나와 사랑을 하자
인생의 파도란 놈이
무섭게 몰아쳐도
내가 너를 지켜줄 테니
힘에 겨운 하룰 보내고
외치우고 싶은 날이면
조용히 내 곁에서
위로해주는 여자
그런 여자가 또 어딨어
나와 결혼을 하자
나와 사랑을 하자
인생의 파도란 놈이
무섭게 몰아쳐도
내가 너를 지켜줄테니
나와 결혼을 하자
나와 사랑을 하자
인생의 파도란 놈이
무섭게 몰아쳐도
남자답게 너를 지킬게
사랑을 하자",애쉬그레이,2016.05.12,17,발라드
추억,"파란 하늘처럼
순수했던 너의 사랑
내게 추억이란
이름이 되어버린 너
돌아가려 해요
지난여름 추억찾아
혼자 바닷가에
우리의 기억따라
행복했던 여름날은
이젠 안녕하지만 생각나겠죠
두 눈을 감고
추억을 생각해봐요
너무나 아름다웠던
우리들의 사랑 얘기를
언제까지나
잊지는 못할꺼예요
노을진 바닷가에서
사랑한다 고백해준 걸
영원토록
파란 하늘처럼
순수했던 너의 사랑
내게 추억이란
이름이 되어버린 너
돌아가려 해요
지난여름 추억찾아
혼자 바닷가에
우리의 기억따라
행복했던 여름날은
이젠 안녕하지만 생각나겠죠
두 눈을 감고
추억을 생각해봐요
너무나 아름다웠던
우리들의 사랑 얘기를
언제까지나
잊지는 못할꺼예요
노을진 바닷가에서
사랑한다 고백해준 걸
고마워요
영원토록
기억해요",박지윤,1997.12.01,61,발라드
나에게 그대만,"더 이상 나에게 다른 사랑은 없다는 걸
이제 나는 알아요
나에게 사랑은 항상 하나뿐이었다고
나의 사랑은 그대 단 한 사람

나에겐 오직 한 사람
세상 누구보다 내게 소중한 사람
널 사랑해 널 사랑해
이 말 너에게만 하고 싶어
니가 없이 난 살 수 없어서
사랑 하나로만 살아가는 나에게
내 마지막 그날까지
사랑으로 남아주길 바래 그대만이

오늘이 지나면 다시 볼 수 없을 것 같아
그대 울지 말아요
시간이 지나서 우리 하나되는 그날에
나와 함께 할 그대 단 한 사람

나에겐 오직 한 사람
세상 누구보다 내게 소중한 사람
널 사랑해 널 사랑해
이 말 너에게만 하고 싶어
니가 없이 난 살 수 없어서
사랑 하나로만 살아가는 나에게
내 마지막 그날까지
사랑으로 남아주길 바래 그대만이

소중한 너를 위해서
내게 남아있는 미련 모두 버려도
내 사랑은 내 사랑은
아직 너 하나만 원하는데
영원히 너를 지켜준다는
약속 하나로만 살아가는 나에게
내 사랑은 단 한 사람
다시 태어나도 그대만을 사랑할게",홍다영,2016.05.13,14,발라드
닮은 향기 (Vocal. 강주헌),"유난히 춥던 그 겨울 밤
주머니에 넣은 따뜻한 네 손도
나의 품속에 안기던
너의 사랑스런 모습마저도
기억에 지우려 해
하루에도 몇 번씩
너와 닮은 향기에 두려워
고개 들지 못하고
땅만 보고 걸어
너와 닮은 뒷모습 보면
혹시라도 아닐까

함께 했던 시간에
너를 닮은 향기가 남아서
고개 들지 못하고
땅만 보고 걸어
너를 다시 보게 된다면
혹시라도 안을까

내게 남은 건 거짓말과 같은
향기와 눈물뿐인데
왜 너를 잊지 못 하고
또 왜 나만 아픈지
하루에도 몇 번씩
너와 닮은 향기에 두려워
고개 들지 못하고
땅만 보고 걸어
너와 닮은 뒷모습 보면
혹시라도 아닐까

함께 했던 시간에
너를 닮은 향기가 남아서
고개 들지 못하고
땅만 보고 걸어
너를 다시 볼 수 없다면
혹시라도 잊을까

유난히 춥던 그 겨울 밤",L.N,2016.05.16,50,발라드
내 맘의 별,"한 걸음 두 걸음 또 걸어
가로등 빛 하나 없는 거리를
걷다 보면 걷다 보면
작은 빛이라도 보일까 봐
어두운 밤 하늘에
말 없이 반짝이는
별들처럼 나도 빛나고싶어
이젠 내 맘의 별이 되어
쓸쓸한 나를 지켜주기를
한 걸음씩 나아갈 수 있게 해
보이지 않는 별이 되어
아름다운 내 꿈을 밝혀 주길
Please shine my dream my star
작은 별빛 속에 가득 담겨진
간절했던 시간들 마저도
이젠 모두 내 소중했던
기억들 속에 남아 있다면
이젠 내 맘의 별이 되어
쓸쓸한 나를 지켜 주기를
한 걸음 더 나아갈 수 있도록
보이지 않는 별이 되어
아름다운 내 꿈을 밝혀 주길
Please Shine my dream my star",현설 (Hyunseol),2016.05.17,101,발라드
