제목,가사,가수,발매일,좋아요수,장르
내 얘길 들어봐,"혼자만 이 세상에
홀로 떨어진 것 같다고
나 혼자만
이 외로운 세상에
떠도는 것 같다고
아무리 얘길 해봐도
내 얘길 들어줄
사람 하나 없고
아무리 널 불러 봐도
아무리 너를 붙잡아도
넌 그냥 외면하네
시린 햇살 속에서
사라져버린 너의 온기
언제쯤 따뜻해질까
뼈 속까지 파고드는
차가운 너의 눈빛은
날 쓸쓸하게 해
혼자만 이 세상에
홀로 떨어진 것 같다고
나 혼자만
이 외로운 세상에
떠도는 것 같다고
시린 햇살 속에서
사라져버린 너의 온기
언제쯤 따뜻해질까
뼈 속까지 파고드는
차가운 너의 눈빛은
날 쓸쓸하게 해
깨어져버린 약속
벌거벗은 내 마음
너의 맘속에 닿지 않는 말
깨어져버린 약속
벌거벗은 내 마음
너에게 닿지 않는 말
시린 햇살 속에서
사라져버린 너의 온기
언제쯤 따뜻해질까
뼈 속까지 파고드는
차가운 너의 눈빛은
날 쓸쓸하게 해",스타치스 (Starchis),2016.12.01,130,"발라드, 인디음악"
"데이트메이트 (With 장규철, 공예은)","문득 그대가 보여요
예뻐보이네요
항상 봐왔던
그대가 아니죠
잠깐 생각해 봤어요
내가 왜 이럴까
항상 봐왔던 그대로인데
왜 이리
그대 손을 잡고 걷고 싶은지
같은 길을 발맞춰 가고 싶은지
이상하죠
매일 만나던 그대인데
오늘은 다르네요
가끔은 혼자
밤하늘을 보며 걸었죠
이젠 그 길을
그대와 둘이서 함께하고
싶은 내 마음을 어떻게 전할까
멀리 그대가 오네요
두근대는 마음
이런 내 모습 그댄 알까요
왜이리
그대 손을 잡고 걷고 싶은지
같은 길을 발맞춰 가고 싶은지
이상하죠
매일 만나던 그대인데
오늘은 다르네요
가끔은 혼자
밤하늘을 보며 걸었죠
이젠 그 길을
그대와 둘이서 함께하고
싶은 내 마음을 어떻게 전할까
오늘은 내맘 전할께요
그대 곁에서
같은 곳을 보며 걷고 싶다고
그대 맘도
나와 같기를 바라죠
그댄 알고있나요
내일은 우리 사랑해요
다른 맘으로
이제와는 다른
의미이기를 보고싶어
이 세상 모든 행복을
그대에게 줄께요",위시트리 프로젝트,2016.12.01,27,발라드
묻고 싶어,"괜찮은 줄 알았어
아니 괜찮은 척했었지
아무렇지 않게
하룰 보내도
지나가지 않는
밤이 찾아와
간신히 앉은 식탁
한 잔으로 시작한 술은
어느덧 두어 병이 되고
나를 기어코
침대로 밀어 넣어
어제와 똑같이 가는 하루
달력에 숫자만 바뀌고
우리의 추억은
아직 그대론데
시간이 기억을 흐리네
왜냐고 묻고 싶고
소리치고 싶어
우리 오랜 시간 동안
아팠었지만
이별이 이렇게나
더 아픈 것은
지난 행복이
너무 커서인가 봐
행여나 눈물이 터질까 봐
네 사진도 볼 수가 없고
무엇도 널
대신할 수 없기에
한없이 울고만 싶어져
왜냐고 묻고 싶고
소리치고 싶어
우리 오랜 시간 동안
아파하지만
네 모습 끝없이
더 선명한 것은
지난 사랑이
너무 커서인가 봐
밥도 잘 챙겨 먹고
술은 줄여볼게
너의 미소 잠시 동안
곁에 없지만
네 사랑이란 게
자랑스럽도록
아마 내일은
좀 더 나아질 거야
걱정하지 마
편안히 살고 있어",단보,2016.12.01,51,발라드
바람이 분다,"차가워진 밤공기
더욱 시린 것 같아
혼자서 맞는 밤
이런 저런 생각이나
그리워져 갑자기 그리워
내 마음에 바람이 부나봐
니 향기 담아 불어
널 잊지 못하게 하는가봐
바람이 분다
잠도 안와 며칠 째
뒤척 거리기만 해
켰다가 껐다가
핸드폰만 만지는데
그리워져 갑자기 그리워
내 마음에 바람이 부나봐
니 향기 담아 불어
널 잊지 못하게 하는가봐
바람이 분다
행복하니 괜찮니
바보같이 니 걱정을 해
시간이 지나 마음이
편해 질 날이 올까 내게
그리워져 갑자기 그리워
내 마음에 바람이 부나봐
니 향기 담아 불어
널 잊지 못하게 하는가봐
바람이 분다",우이경 (Woo Yi Kyung),2016.12.01,103,발라드
너에게 가는 길,"우리 둘은 어디쯤인걸까
몇 번이나 나는 망설였지만
늘 그랬듯 함께 앉았던 자리
조심스레 나의 마음을
네게 전했지만
서투른 짓을 한걸까
너는 한참이나 말이 없었지만
나도 어쩔 수 없었어 나의 마음을
그냥 널 생각하면 웃음이 나는걸
말할 수 있을까 이런 나의 마음을
나에겐 힘든 일인걸
오늘따라 어색한 너의 인사와
슬픈듯 날 바라보던 니 눈빛에
난 고갤 떨구었지만
나도 어쩔 수 없었어 나의 마음을
그냥 널 생각하면 눈물이 나는걸
견딜 수 있을까 너 없이 나 혼자서
나에겐 힘든 일인걸
어느 노을진 저녁에
예상치 못한 전화와
울먹이며 날 부르던 네 목소리에
네 목소리에 네 목소리에
지금 달려가고 있어
너의 곁으로
찬바람을 가르며
뜨거운 땀방울이 얼굴을 적시네
차오는 숨마저 내겐 달콤한 이밤
이런게 사랑인걸까
멀리 니가 보인다
환하게 빛나는 너의 눈물
난 지금 너에게 가는 길",모리아,2016.12.01,11,발라드
12월의 여왕 (헤밍 Ver.),"불 꺼진 방안 흐르는 적막
어제와 같은 오늘을 보내고
또다시 올
내일을 생각하면서
넌 울고 있겠지
알아 너의 그 절망을
나도 그랬으니까
우린 같은 세계를
겪고 있으니까
울지 마
울지 마
내가 너를 안아줄게
너는 나의 12월의 여왕
차디찬 눈보라를 뚫고
내게로 온 너
넌 할 수 있어 무엇이든
나는 널 믿어
그러니 울지 마
날 두고 가지 마
내가 너를 안아줄게
Please
Don’t go Don’t go
Closing the window
따뜻한 널 안고 싶어
그 숨소리도 듣고 싶어
영원히
네가 내 곁에 살아줬으면 해
빈 종이를 앞에 두고
마지막 인살 생각하면서
울진 말아줘 제발
너는 나의 12월의 여왕
넌 할 수 있어 무엇이든
나는 널 믿어
그러니 울지 마
날 두고 가지 마
내가 너를 안아줄게
안아줄게
안아줄게
안아줄게
안아줄게",헤밍앤베르,2016.12.01,6,발라드
꿈일테니,"눈을 뜨며 다시 맞이한
숨막힌 공기
어제의 뜨거웠던 입맞춤
깨지 않고 싶었던
여름날의 꿈
너의 온기 사라지기 전에
새겨둘 거야
오늘이 지나가면 잊혀질
한 여름날의 꿈
우연히 너를 만나고
지독히 너를 사랑한
나를 기억하고 있다면
너를 다시 만날 수 있을 텐데
눈을 감고 다시 떠올린
너의 기억은
다시는 돌아갈 수 없는
한 여름날의 꿈
우연히 너를 만나고
지독히 너를 사랑한
나를 기억하고 있다면
너를 다시 만날 수 있을 텐데
믿진 않겠지만
너를 처음 본 순간
우연히 아니란 걸
알 수가 있었어
운명인 너를 만나서
지독히 너를 사랑한
나를 안아줄 순 없겠지
이제 다시는 볼 수 없으니까
쉽진 않겠지만
아무렇지 않도록
잘 견뎌내 볼게
꿈 일 테니",리쿠 (Rikou),2016.12.02,50,발라드
눈내리고,"마지막 이 길을 걷죠
말하지 않아도 알아요
그대 점점 멀어지죠
차가워진 말투와
잦은 토라짐까지도
이제는 견딜 수 없고
너무 멀리와 버린 듯
점점 흐리고
너와의 어색함
이 시간을 참고
나도 많이 힘들어
다시 예전 그 때 그 곳에
아니 될 수 없겠지만
하얀눈이 내리고
나의 눈에 녹아 내리고
뜨거워져 나를
내 맘을 흔들어
그냥 그대로
나는 이대로
잠시 멍하니
그댈 기다리겠죠
하얀눈이 쌓이고
멀어지는 너의 발자욱
차가워져 나 얼은 듯
가만히 있겠죠
그 댈 잊겠죠
이제 더 견딜 수 없죠
하얀눈이 내리고
나의 눈에 녹아 내리고
뜨거워져 나를
내 맘을 흔들어
그냥 그대로
나는 이대로
잠시 멍하니
그댈 기다리겠죠
하얀눈이 쌓이고
멀어지는 너의 발자욱
차가워져 나 얼은 듯
가만히 있겠죠
그댈 잊겠죠
이제 더 견딜 수 없죠
잊겠죠 그 댈 잊겠죠 이제",리쥐,2016.12.02,274,발라드
그대와 영원히,"헝클어진 머릿결
이젠 빗어봐도 말을 듣질 않고
초점없는 눈동자
이젠 보려해도 볼 수가 없지만
감은 두 눈 나만을 바라 보며
마음과 마음을 열고
따스한 손길 쓸쓸한 내 어깨 위에
포근한 안식을 주네
저 붉은 바다 해 끝까지
그대와 함께가리
이 세상이 변한다 해도
나의 사랑 그대와 영원히
무뎌진 내 머리엔
이젠 어느 하나 느껴지질 않고
메마른 내 입술에
이젠 아무 말도 할 수가 없지만
맑은 음성 가만히 귀기울여
행복의 소리를 듣고
고운 미소 쇠잔한 내 가슴 속에
영원토록 남으리니
저 붉은 바다 해 끝까지
그대와 함께가리
이 세상이 변한다 해도
나의 사랑 그대와 영원히",발라드 메이트,2016.12.02,1,발라드
X-Out (Feat. 한상원) (Remake Ver.),"뚝 이제는 그쳐
그 남잔 X-OUT
내 맘에 X-OUT
사라진다
추억은 모두 가져가
모든 걸 지워낸다
영원히 X-OUT
너란 놈 X-OUT
사라져 제발 오늘밤은
추억이 너를 찔러와
눈물이 떨어진다
거리에 웅크린
내 모습 가여워
걸어도 뛰어도
더욱 선명해져
이 곳에 사람들
웃는 게 난 싫어
나의 꽃은 시들고
그저 웃음만 짓네
자 그러니 그쳐
그 남잔 X-OUT
내 맘에 X-OUT
사라진다
추억은 모두 가져가
모든걸 지워낸다
차갑던 네 표정 속에
나의 대한 미움이 넘쳐나
이젠 너를 잊는다
자 그러니 그쳐
그 남잔 X-OUT
내 맘에 X-OUT
사라진다
추억은 모두 가져가
모든걸 지워낸다
영원히 X-OUT
너란 놈 X-OUT
사라져 제발 오늘밤은
추억이 너를 찔러와
서서히 사라진다
서서히 눈감긴다
잊고 싶다",류지현,2016.12.05,86,발라드
길 (Inst.),"멈춰버린 이 길 끝에
희미한 불빛들이 눈부시게
내 맘속에
한줄기 빛처럼 다가와
초라했던 내 모습을 떠올려
이제는 강해진다고
다시는 울지 않을 거라고
쓰러져도 버텨본다
끝까지 나 달려간다
자꾸 커져가는
두려움이 나를 막아도
또 다시 쓰러져도
눈물 따윈 삼켜본다
지친 내 맘을
숨 쉬게 만든 한 가지
저 높은 곳에 올라 설 거야
비틀대던 시간들을 떠올려
모든 걸 다 가진대도
널 다신 놓지 않을 거라고
쓰러져도 버텨본다
끝까지 나 달려간다
자꾸 커져가는
두려움이 나를 막아도
또 다시 쓰러져도
눈물 따윈 삼켜본다
지친 내 맘을
숨 쉬게 만든 한 가지
저 높은 곳에서
세상을 볼 거야
저 하늘에 외쳐본다
끝까지 나
빛날거야
자꾸 짙어지는
아픔들이 나를 막아도
다시 태어난대도
너를 향해 말해본다
지친 내 맘을
숨 쉬게 만든 한 사람
너를 위해서 이겨 낼 거야",XIA (준수),2016.12.06,"1,108","발라드, 국내드라마"
좋겠다 (I Hope So) (Feat. 이지현),"따스한 햇살 한모금
오늘 하루는 어떨까
기분 좋은 일만
가득 있었으면
좋겠다 좋겠다
차가운 커피 한모금
나를 깨우는 첫인사
매일마다 누군가가
있었으면 좋겠다 좋겠다
봄바람 살랑거리듯
잔잔한 내 마음속
내 가슴속에도
사랑이 온다면
그에게 잘해줄꺼야
누구라도 내게 온다면
떠나지않는 웃음줄거야
저기 저 파란 하늘을 봐
날 향해 미소짓잖아
내일보다 더 내일이
더 궁금해지는 날이야
기분이 묘해 설레어서
오늘밤 잠못들 것 같아
뒤척이다가 뒤척인대도
난 기분좋아 오호
차가운 커피 한모금
나를 깨우는 첫인사
매일마다 누군가가
있었으면 좋겠다 좋겠다
i hope so hoo
봄바람 살랑거리듯
잔잔한 내 마음속
내 가슴속에도
사랑이 온다면
그에게 잘해줄꺼야
누구라도 내게 온다면
떠나지않는 웃음줄거야
저기 저 파란 하늘을 봐
날 향해 미소짓잖아
내일보다 더 내일이
더 궁금해지는 날이야
기분이 묘해 설레어서
오늘밤 잠못들 것 같아
뒤척이다가 뒤척인대도
난 기분좋아 오호",우디 (Woody),2016.12.06,33,발라드
Erase (Feat. 안성미),"I gress by now
You've gotton over me
from your mind erased
our memories
Probably best now that you
found your peace
as I collect the scars
I once gave to you
Everyday I sit in a cloud of smoke
as drowning in gin and regret
Worn from the haze
I try to close my eyes
But in the dark all I see is you
No matter how much how hard
I try to grasp on
No matter how much I call
out you never look back
You showed me a kind of love
I've never known and then left
Never knew that you could
be this cruel
Everyday I sit in a cloud of smoke
as drowning in gin and regret
Worn from the haze
I try to close my eyes
But in the dark all I see is you
No matter how much how hard
I try to grasp on
No matter how much I call
out you never look back
You showed me a kind of love
I've never known and then left
Never knew that you could
be this cruel
You used to say I was all
You would need and no one else
But baby I oh i was such a fool
To treat you wrong baby for give me
No matter how much I beg you
to come back
All I get in return is your warm
smile gone cold
Not even a trace of hate
or anger in your eyes
Just a smile telling me it's too late
Just a smile telling me it's too late",우디 (Woody),2016.12.06,16,발라드
언젠가 다시,"어제는 그댈 떠나 보냈죠
한번도 생각해본적
없던 일인데
내일이면 혼자란 생각에
죽을만큼 매달렸었죠
한마디 말도
하지 않고서
차갑게 뒤돌아 서는
그댈 보았죠
어떻게든 잡고 싶지만
그럴 용기가 없어
오늘이 그대와
나의 마지막 인데
다시 보게 된다면
언젠가 다시 우리
만나게 된다면
이제껏 아파왔던
많은 날은 모두 잊고서
처음 만났던 그날
그대로 돌아가요
아직도 너를
잊지 못해서
혹시나 다른 사랑이
그댈 지워줄까
노력 해봐도
잊혀 지지가 않아
영원히 나 그대를
기다리겠죠
다시 보게 된다면
언젠가 다시 우리
만나게된다면
이제껏 아파 왔던
많은 날은 모두 잊고서
처음 만났던 그날
그대로 돌아가요
이렇게 바보같은
생각속에 살아요
그댄날 모두
잊었을 테니
다신 못볼거 같아
다시는 그대의 모습
못볼거같아
이제껏 기다렸던
그대 모습
아니라도 좋아요
마지막 한번만
볼수 있다면
돌아갈수 있다면",청빈,2016.12.07,10,발라드
이별연습,"그래 여기까지야
우리 헤어진 날에
벌써 어색한 침묵 속에
계속 시간은 흘러
사실 나도 잘 몰라
이별이라는 말들을
네가 없인 하루도
생각해본 적 없으니까
누구나 다 그래
우리 사랑도 다를 것 없어
길진 않을거야
그저 조금만 아파하면 돼
어려울 게 뭐야
그저 안녕하며 돌아서면
이별인 거야
수없이 연습 해왔잖아 우린
이런 내 맘을 몰라
아무말도 없는 거니
고개 숙인 네 얼굴은
발만 쳐다보고 있어
누구나 다 그래
우리 사랑도 다를것 없어
길진 않을거야
그저 조금만 아파하면 돼
어려울 게 뭐야
그저 안녕하며 돌아서면
이별인 거야
수없이 연습 해왔잖아 우린
내 곁에 남은
너의 흔적 속에서
널 모르는 척 해볼게
근데 말야
이렇게 네가 계속
그리워지면 어떡해
후회할 걸 알아
우리 참 많이 사랑했잖아
이제 돌아서면
우리 연습했던 이별이란걸
힘든 시간 뒤엔
다시 내 곁으로 돌아와줄
너 일테니까
수없이 해도 안됐잖아 이별",오경석,2016.12.07,77,발라드
크리스마스 파티 (영호),"우리 어릴적에는
눈이 오면 밖으로 나가서
해가 질때까지
뛰어놀고는 했죠
우리 언제부턴가
눈이 오든 말든 상관없이
그저 무료하게
집에만 박혀 있죠
매번 똑같은 케빈과의 만남이
지루하지 않은 가요
이번 크리스 마스에는
나랑 같이 놀아요
2016년 크리스마스 이브
저녁 아홉시 반
신촌에 있는 lebain 에서
함께 파티 어때요
서울시 서대문구 창천동 53-24
나랑 같이 놀아요
수다 꽃 피워 봐요
우리 자라오면서
부딛히며 고꾸라지면서
맘을 다쳐가며
상처받고는 했죠
매번 엄마 아빠가
우릴 언제까지
돌봐주진 못하겠죠
이번 크리스마스 통해
내가 힘이 되어줄게
2016년 크리스마스 이브
저녁 아홉시 반
신촌에 있는 lebain 에서
함께 파티 어때요
서울시 서대문구 창천동 53-24
나랑 같이 놀아요
수다 꽃 피워 봐요
힘든데 힘든 얘길 할 곳이
마땅히 없죠
좋은 이야기 힘든 이야기
사는 이야기 죽는 이야기
내가 들어줄게
뭐든지 말만 해봐
2016년 크리스마스 이브
저녁 아홉시 반
신촌에 있는 lebain 에서
함께 파티 어때요
서울시 서대문구 창천동 53-24
나랑 같이 놀아요
수다 꽃 피워 봐요
나랑 친구 어때 콜",영호,2016.12.07,42,발라드
그대와 꽃피운다 (합창곡),"저 흘러가는
강물을 보면서
그대와 약속
또다시 떠올린다
큰 숨으로
마음 세우며
무의미한
시간의 고리
이제 끊어버린다
뜨거운 태양의
가슴으로
세상을 품어보자
내가 원하는
그날들을
그대와 꽃피운다
온전하게
해낼 수 있을까
엉켜있는
내 안의 매듭
이제 끊어 버린다
시원한 바람의
가슴으로
세상을 뛰어보자
내가 원하는
그날들을
그대와 꽃피운다
뜨거운 태양의
가슴으로
세상을 품어보자
내가 원하는
그날들을
그대와 꽃피운다
시원한 바람의
가슴으로
세상을 뛰어보자
진정 내가 원하는
그날들을
그대와 꽃피운다
내가 원하는 그날
그대와 꽃피운다
그대와 꽃피운다",권진원,2016.12.07,55,발라드
춥다,"춥다
네가 없는
이 겨울의 바람은
더욱더 쓸쓸해
그나마 남아있던
따뜻한 너의 온기도
찬바람에 식어가네
공허한 시간에
방황하던 날도
널 지우려
찾아 헤맨 시간도
결국 그 끝에
남은 건 너야
언제쯤 잊혀질까
잊어보려고
널 지워보려고
아무리 해봐도 안돼
찬바람에 스치던
너의 향기를
잊을 수가 없어
그대
그땐
그대
걷고 또 걸어도
네가 없는 거리는
더욱더 쓸쓸해
그나마 남아있던
따뜻한
우리 추억도
찬바람에 멀어지네
공허한 시간에
방황하던 날도
널 지우려
찾아 헤맨 시간도
결국 그 끝에
남은 건 너야
언제쯤 잊을 수 있을까
잊어보려고
널 지워보려고
아무리 해봐도 안돼
찬바람에 스치던
너의 향기를
잊을 수가 없어
널 잡아보려고
그렇게 애원해봐도
너의 맘속엔
나는 이미 없었어
정말 끝이라고
이렇게 널 불러봐도
이제는 내겐 끝나가는
이 곡뿐이야
정말 이젠 안녕
널 다시 찾지 않을게
너에겐 이미
다른 사람이 있으니
날 잊진 말아줘
널 사랑한 사람인 걸
이 겨울이
또 지나가기를
그대
그땐
그대",투웨이,2016.12.07,41,발라드
널 잊을게,"버려진 건 나잖아
남겨진 것도 나잖아
떠나가는 사람이면서
왜 날 걱정하니
요동치는 내 심장아
조금만 더 담담하길
흐르지 마 눈물들아
좀 더 버텨 주렴
널 잊을게 이제 잊어 줄게
할 수 있을지는 몰라도
그래 지워 줄게
그립다는 그런 말도
굳이 하지 않을게
그저 내가 널 사랑했던 만큼
너도 아파하렴 나처럼
아물어라 상처야
지나가렴 시간아
길에 떨어진 낙엽처럼
이제 끝나가렴
우리는 인연이 아니라
흔들리고 엇갈려서
미리 예정된 운명처럼
달리 흘러가네
널 잊을게 이제 잊어 줄게
할 수 있을지는 몰라도
그래 지워 줄게
그립다는 그런 말도
굳이 하지 않을게
그저 내가 널 사랑했던 만큼
너도 아파하렴 나처럼
그대의 눈동자 그대의 그 입술
그대의 눈동자 그대의 입맞춤
그대의 눈동자 그대의 그 입술
그대의 눈동자 그대의 입맞춤
널 잊을게 이제 잊어 줄게
할 수 있을지는 몰라도
그래 지워 줄게
그립다는 그런 말도
굳이 하지 않을게
그저 내가 널 사랑했던 만큼
너도 아파하렴 나처럼",추가열,2016.12.07,58,발라드
Fly High,"눈물을 닦고
찬란한 태양을 바라봐요
가슴을 열고
드높은 하늘을 안아봐요
아직 늦지 않았죠
다시 시작하기엔
그리 멀지 않아요
다시 웃을 그 날이
가슴 아파하기엔
아쉬운 나날들
함께 나누고 또 나누며
먼지처럼 사라진 아픔들
내 손을 잡아요
Remember We Can Fly High
끝이 보이지 않는 길이라도
두려워 마요
그대 곁에는 내가 있고
내 곁엔 그대가 있죠
낯설고 힘든 이 길 위에서
그대 잊지는 말아요
내가 여기 함께
걸어가고 있다는 걸
아직 늦지 않았죠
다시 시작하기엔
그리 멀지 않아요
다시 웃을 그 날이
가슴 아파하기엔
아쉬운 나날들
함께 나누고 또 나누며
먼지처럼 사라진 아픔들
내 손을 잡아요
Remember We Can Fly High
끝이 보이지 않는 길이라도
두려워 마요
그대 곁에는 내가 있고
내 곁엔 그대가 있죠
낯설고 힘든 이 길 위에서
그대 잊지는 말아요
내가 여기 함께
끝이 보이지 않는 길이라도
두려워 마요
그대 곁에는 내가 있고
내 곁엔 그대가 있죠
낯설고 힘든 이 길 위에서
그대 잊지는 말아요
내가 여기 함께
걸어가고 있다는 걸",손준호,2016.12.07,113,발라드
기적,"그대 모습을
하늘에 그리면
하늘을 닮은
눈빛으로 날 바라보고
그 눈빛을 가슴에 담으면
그대의 온기가
날 숨쉬게 하죠
그 밤 꿈속에
그리던 그 모습처럼
두 손을 맞잡고
이마를 맞대고
둘만의 춤을 추었죠
같은 곳을 바라보고
같은 꿈을 꾸는
그대와 나
그래요 우린 세상
가장 행복한 사람들
구름 위를 걷듯이
이 모든 게 기적이죠
그대 이름을
가만히 부르면
가슴에 부는 그리움이
날 채워주고
그 이름을 또 한번 부르면
숨결이 그댈 내게
데려올 것 같죠
그 밤 달빛 가득
한 잔을 나누며
두 손을 맞잡고
이마를 맞대고
둘만의 춤을 추었죠
같은 곳을 바라보고
같은 꿈을 꾸는 그대와 나
그래요 우린 세상
가장 행복한 사람들
그대 고운 두 손 끝에
내가 가진 모든 게 달려있죠
아나요 내 모든 순간에
그대 숨쉬고 있단 걸
구름 위를 걷듯이
이 모든 게 기적이죠",손준호,2016.12.07,82,발라드
웃어줘,"길을 걷다 우연히 너와
닮은 사람이 보여
한참 바라보다
기억을 돌아보니
네가 없다는 걸
깨닫곤 해 지금도
살다 보면 누구나 한 번쯤
뜨거웠던 순간을
그리워하게 된다고
시간이 가르쳐 준
그 말들이 내게
널 희미하게 만들어
이제는 너 없이도
웃을 수 있어 이런 날이
오기까지 힘들었다고
너도 그렇기를
언젠가 너와 내가
만나게 돼도
아무렇지 않게
인사할게 웃어줘
그 때 그 미소로
언제부터 어긋났을까
돌이켜보니
그냥 그냥 그랬던 것 같아
욕심이 너무 앞섰다는 걸
살아가며 배웠고
조금은 알 것 같아
이제는 너 없이도
웃을 수 있어 이런 날이
오기까지 힘들었다고
너도 그렇기를
언젠가 너와 내가 만나게 돼도
아무렇지 않게
인사할게 웃어줘
그 때 그 미소로
잔인했던 이별 뒤에 서서
끝도 없이 외면한 너의 기억
거짓말처럼 그 날을 되돌려
생각할 만큼 시간이 지나서
서로 다른 길을 걸으며
살아가는 우리
또 사랑하는 우리 두 사람
사랑했던 우리 두 사람
너를 잊기까지 힘들었다고
너도 그렇기를
언젠가 너와 내가 만나게 돼도
아무렇지 않게
인사할게 웃어줘
그 때 그 미소로
웃어줘 아무 일 없는 듯
길을 걷다 우연히
너와 마주치게 되었어",류해성,2016.12.08,84,발라드
이 시간이,"한참을 쳐다만 봐
어두운 조명
조금도 움직이지 못해
숨소리가 너무 크게 들려
부끄러웠던 날
낯설었던 그 밤
너 떠나고 혼자 남은 나
긴 시간을 머물며
기다리고 있어
나의 맘이 너무 불안해져
널 지울까 봐
숨죽인 하루가 내겐 힘들어
이 시간이 너 나와 같다면
더는 마음 아프지 말고
내게 돌아와
이 시간이 너 나와 같다면
더는 마음 아프지 말고
내게 돌아와
너 떠나고 혼자 남은 나
긴 시간을 머물며
기다리고 있어
나의 맘이 너무 불안해져
널 지울까 봐
숨죽인 하루가 내겐 힘들어
이 시간이 너 나와 같다면
더는 마음 아프지 말고
내게 돌아와
이 시간이 너 나와 같다면
더는 마음 아프지 말고
내게 돌아와
이 시간이 너 나와 같다면
더는 마음 아프지 말고
내게 돌아와
이 시간이 너 나와 같다면",딥톤 (DeepTone),2016.12.08,54,발라드
잃어버린 (Feat. 초영),"The time is over
사라져 간다
The time is over Good bye
희미해 진다
내 가슴속에 내 머리 속에
꺼내지 못해 발버둥 친다
잃어버린 첫 kiss
잃어버린 얼굴
잃어버린 숨결
사랑을 잃어버린 건가
눈을 바라 보고
손을 잡아 보고
품에 안아 보지만
식어버린 심장이 널 본다
Whoa I can run away
말이 안 되는 excuses
들에 line up
Sheesh 나는 너의 allergy
같이 있을 때마다
꽉 막힌 너의 sinus
I'm sorry
감정을 숨기질 못해
못해서 떠나버린
내 마음을 알아버렸네
I know i got problems
문제가 성격장애
난 힘들 때마다
습관이 못을 박아 또
가는 나
왜 자꾸
잡는 너
왜 자꾸
가는 너
왜 자꾸
잡는 나 뻔한 이 이야기
넌 눈물만
시간이 흐르고
숨이 막혀
멀게만 느껴져
같은 공간에
지겨워 지울래
없는 우리가
진부한 이야기
등을 돌려
I know we used to have it
You know
we used to be different
But it didn't feel right
and it don't feel right
You already knew it
yeah You already knew it
The time is over
한 숨을 쉰다
The time is over Good bye
차가워 진다
내 삶은 없어 견디곤 있어
난 돌아 보진 않아
후회는 없다
너무 말이 많아
들리지도 않아
가시 돋친 기대
난 채울 순 없어
내 마음의 말에
피어 오른 의심
조여오는 상처
남은 미련은 묻는다
가는 나
왜 자꾸
잡는 너
왜 자꾸
가는 너
왜 자꾸
잡는 나 뻔한 이 이야기
넌 눈물만
시간이 흐르고
숨이 막혀
멀게만 느껴져
같은 공간에
지겨워 지울래
없는 우리가
진부한 이야기
등을 돌려
감정에 격차 감격에 벅찬
너의 옛 모습을
간직하고 싶은 나머지
과거에 잠겨버린 나의 성과
Got the devil on my left
And an angel on my right
갈등이 심해져 가네
심호흡이 필요해 나
속삭임은 그만해 난 찾고 있어
가는 너
in this moment
넌 자꾸
잡는 너
너 자꾸
시간이
눈물만
흐르고
멀게만 느껴져
흘리고 있는 거야
처음 그때가 왜
숨이 막혀
생각 나질 않아
같은 공간에
숨 멎은 발걸음
없는 우리가
따라야 하는가
등을 돌려
가는 나
왜 자꾸
잡는 너
왜 자꾸
가는 너
왜 자꾸
잡는 나 뻔한 이 이야기
넌 눈물만
넌 이로써 난 비로서
오늘도 villain
영화 속에 나쁜 녀석이야
ain't no feelin's
ahh 버려진 일기장에
마지막 chapter
아픔이 많아도
I be chasin' what I'm after luv
등을 돌려
등을 돌려
등을 돌려",EVAN 에반 (유호석),2016.12.08,63,발라드
너는 내 별이다,"널 너무나도 몰랐었나봐
이렇게 가까이 있는데
힘들게만 했어
나같은 사람 좋아해줘서
날 너무 아껴줘서
그런 줄도 모르고
나 자신도 몰랐던
나의 모든 허물들
감싸주고 용기를 주었던
you are my star
이미 늦은 걸까
너의 마음을 돌리기엔
너무 늦은 걸까
아직 날 사랑 할까
널 행복하게 해주겠다던
약속들 잊은 채
내 멋대로 살아왔던 거야
너무나도 한심한
모습들만 보였어
미안해 이런 날
용서해 줄 수 있니
이미 늦은 걸까
너의 마음을 돌리기엔
너무 늦은 걸까
아직 날 사랑 할까
이 바람소리 네 목소리처럼
들리는건 왜 일까
가늘고 깊게
내 귓가에 울려 퍼져서
내 세상을 바꿔놓고 있잖아
희망을 노래하듯
이젠 너를 위해 살아 갈거야
영원토록
항상 빛이 나는
너의 별이 되어줄게
너의 별이 되어줄게",프로키온,2016.12.08,16,발라드
달력 (Feat. 김병진),"12월 마지막 하루
그 늦은 밤겨울에 혼자
다 지난 달력에 처음을 펴보며
흘러버린 시간에 머문다
1월에 나에게 내린 너는
첫눈같았고
일찍이 내게 봄을 선물했던
너를 다시 떠올려 본다
달력 한장 한장에
네가 없는 날이 없다 네가 네가
3월에 첫키스도 6월의 네 생일도
모두 너에게 주었던 시간이더라
한달 두달 넘겨도
네가 없는 날이 없다 네가 네가
9월의 기념일도 12월에 내린
첫눈까지도 너와 함께 있더라
1년이란 시간 속에서
여전히 나는 멈춰 있나봐
달력 한장 한장에
네가 없는 날이 없다 네가 네가
이별에 그 눈물 너에게 준 상처
그렇게 네게 후회의 하루더라
한달 두달 넘겨도
이젠 내 곁에 없는데
더 이상 볼 수 없는데
새로운 달력엔
너를 담을 수 가 없다는 것도
다시 추억이 될까
그렇게 나는 달력을 접다",박소연,2016.12.08,94,발라드
