,제목,가사,장르
10,물방아 도는 내력,"벼슬도 싫다마는 명예도 싫어
정든 땅 언덕 위에 초가집 짓고
낮이면 밭에 나가 길쌈을 메고
밤이면 사랑방에 새끼 꼬면서
새들이 우는 속을 알아보련다
서울이 좋다지만 나는야 싫어
흐르는 시냇가에 다리를 놓고
고향을 잃은 길손 건너게 하며
봄이면 버들피리 꺾어 불면서
물방아 도는 내력 알아보련다",트로트
11,찔레꽃,"찔레꽃 붉게 피는
남쪽 나라 내고향
언덕위에 초가삼간 그립습니다
자주 고름 입에 물고 눈물 젖어
이별가를 불러 주던
못잊을 사람아
달뜨는 저녁이면
노래하던 세 동무
천리객창 북두성이 서럽습니다
작년 봄에 모여 앉아 찍은 사진을
하염없이 바라보니
즐거운 시절아",트로트
12,오빠 달려,"오빠달려 달려 쉬지말고 달려
내 맘에 쏙 들어와주세요
오빠달려 달려 시원하게 달려
내 맘에 쏙 드는 당신
빠라바라바라밤 오빠
빠라바라바라밤 오빠
빠라바라바라밤 오빠달려
우 아 우 아
빠라바라바라밤 오빠
빠라바라바라밤 오빠
빠라바라바라밤 오빠
오빠달려
뭘 고민하나요 망설이나요
손끝만 스쳐도 인연인데
좋으면 좋다고 말을 해봐요
언제나 준비된 여자예요
welcome
당신을 기다렸어요
let's go
내게로 다가와줘요
love you
날 정말 좋아한다면
ok
한다고 말해주세요
오빠달려 달려 쉬지말고 달려
내 맘에 쏙 들어와주세요
오빠달려 달려 시원하게 달려
내 맘에 쏙 드는 당신
빠라바라바라밤 오빠
빠라바라바라밤 오빠
빠라바라바라밤 오빠달려
우 아 우 아
빠라바라바라밤 오빠
빠라바라바라밤 오빠
빠라바라바라밤 오빠
오빠달려
뭘 고민하나요 망설이나요
손끝만 스쳐도 인연인데
좋으면 좋다고 말을 해봐요
언제나 준비된 여자예요
welcome
당신을 기다렸어요
let's go
내게로 다가와줘요
love you
날 정말 좋아한다면
ok
한다고 말해주세요
오빠달려 달려 쉬지말고 달려
내 맘에 쏙 들어와주세요
오빠달려 달려 시원하게 달려
내 맘에 쏙 드는 당신
내 머릿속엔 당신 생각뿐
지워도 지워지질 않네요
이런 느낌 정말 처음이예요
빨리 달려와요
오빠달려 달려 쉬지말고 달려
내 맘에 쏙 들어와주세요
오빠달려 달려 시원하게 달려
내 맘에 쏙 드는 당신
오빠달려 달려 쉬지말고 달려
내 맘에 쏙 들어와주세요
오빠달려 달려 시원하게 달려
내 맘에 쏙 드는 당신
빠라바라바라밤 오빠
빠라바라바라밤 오빠
빠라바라바라밤 오빠달려
우 아 우 아
빠라바라바라밤 오빠
빠라바라바라밤 오빠
빠라바라바라밤 오빠
오빠달려",트로트
13,서울 평양 반나절,"평양에 가려면 서울에서
반나절 거린데 지척에
이 강산은 왜 이다지도 멀기만 한지
중국도 러시아도 모두 열려서
마음대로 오고가는데 휴전선
그어 놓고 티격태격에 벌써
오십년 차가없어 못 가나
길이 막혀 못가나 핵우산을
거두고 철조망을 치워버리고
백두산에서 한라산에서
덩실 춤을 췄으면 좋겠네
서울엔 오려면 평양에서
반나절 거린데 지척에
이 산하에 왜 이다지도
멀기다 한지
중국도 러시아도 모두 열려서
마음대로 오고가는데
휴전선 그어놓고 아웅 다웅
벌써 오십년 배가 없어
못 오나 산이 막혀 못오나
지뢰밭을 거두고
철조망을 치워버리고
금강산에서 설악산에서
덩실 춤을 췄으면 좋겠네
차가없어 못 가나
길이 막혀 못가나 핵우산을
거두고 철조망을 치워버리고
백두산에서 한라산에서
덩실 춤을 췄으면 좋겠네",트로트
14,안개낀 오사카 바람부는 울산항,"바다를 건너온 수많은 사연
파도되어 밀려오면
귓가에 들리는 당신의 그 음성
안개되어 휘감네
꿈같은 그 파도 노래 되어
내 맘을 적시네
그리움이 안개처럼
밀려오는 내사랑 오사카
바다를 건너온 수많은 사연
바람되어 불어오면
귓가에 들리는 당신의 그 노래
바람되어 흔드네
꿈같은 그 사랑 전설되어
내 맘에 흐르면
서러움이 저 별처럼
쏟아지는 내 사랑 울산항
밀려오는 내 사랑 오사카",트로트
15,잊지는 못할거야,"별을 보고 달을 보면
생각이 나겠지요
낙엽지고 눈이 오면
생각이 나겠지요
사랑했던 이 마음
행복했던 그날들
잊지는 못할 거야
세월이 흘러가도
지난 날을 생각하면
잊지는 못할 거야
사랑했던 이 마음
행복했던 그날들
잊지는 못할 거야
세월이 흘러가도
지난 날을 생각하면
잊지는 못할 거야
잊지는 못할 거야
잊지는 못할 거야",트로트
16,사랑의 불꽃,"첫 눈에 빠지게 하고
그렇게 딴청만 피우나요
이 가슴에 뜨겁게 타는
이 사랑은 어찌하라고
줄 듯이 줄 듯이
마음 줄 듯이
그래 놓고 이러긴가요
사랑의 불꽃을
재워줄 한 사람
오직 하나 그대 뿐 인걸
사랑 사랑이 이런 건가요
애가 타고 속이 끓나요
첫 눈에 빠졌으면서
그렇게 아닌 척 하나요
그 가슴에 뜨겁게 타는
그 사랑은 어찌하려고
줄 듯이 줄 듯이
마음 줄 듯이
그래 놓고 이러긴가요
사랑의 불꽃을
재워줄 한 사람
오직 하나 그대뿐인걸
사랑 사랑이 이런 건가요
애가 타고 속이 끓나요
애가 타고 속이 끓나요",트로트
17,아직도 못다한 사랑,"오늘도 갈대밭에
저 홀로 우는 새는
내 마음을 알았나봐
쓸쓸한 바람에 아득히 들려오는
또렷한 그 소리는 잃어버린
그 옛날에 행복이 젖어있네
외로움에 지쳐버린 내 마음을
어떻게 말로 다하나요 난 몰라요
이 가슴에 아직도 못다 한 사랑
지난밤 꿈속에서
저 홀로 우는 여인
내 마음을 알았나봐
쓸쓸한 바람에 저만큼 밀려오는
또렷한 그 소리는 잃어버린
그 옛날에 행복이 젖어있네
외로움에 지쳐버린 내 마음을
어떻게 말로 다하나요 난 싫어요
돌아와요 아직도 못다 한 사랑
아직도 못다 한 사랑",트로트
18,내가 이려려고,"내가 이러려고 사랑을 했나
잘못된 사랑 인연에 우네
내가 이러려고 너를 믿었나
때늦은 후회를 하네
사랑도 미움도 나에겐 사치였나
이제와 누구를 탓하고 원망하랴
하늘아 하늘아 너에게 물어보자
내가 이러려고 사랑을 했나
내가 이러려고 사랑을 했나
서로 외로워서 사랑 했는데
내곁에 이젠 아무도 없네
서로 의지했던 우리 사인데
이별의 눈물 흘리네 사랑도
미움도 나에겐 사치였나
이제와 누구를 탓하고 원망하랴
하늘아 하늘아 너에게 물어보자
내가 이러려고 사랑을 했나
내가 이러려고 사랑을 했나
사랑도 미움도 나에겐 사치였나
이제와 누구를 탓하고 원망하랴
하늘아 하늘아 너에게 물어보자
내가 이러려고 사랑을 했나
내가 이러려고 사랑을 했나",트로트
19,대전에서 내려야 하는데,"대전에서
내려야 하는데
부산까지
가고 말았네
앞에 앉은 그 사람
너무도 맘에 들어
부산까지
따라 가고 말았네
어떡하든 내 마음을
전해야 할텐데
무심한 저 여자
뒤도 한번 안돌아보네
헛기참만 바람에
날리는 저녁
항구날씨
정말 고약타
대전에서
내려야 내려야 하는데
부산까지 가고 말았네
대전에서
내려야 하는데
부산까지
가고 말았네
앞에 앉은 그 사람
너무도 맘에 들어
부산까지
따라 가고 말았네
어떡하든 내 마음을
전해야 할텐데
무심한 저 여자
뒤도 한번 안돌아보네
헛기참만 바람에
날리는 저녁
항구날씨
정말 고약타
대전에서
내려야 내려야 하는데
부산까지 가고 말았네
대전에서
내려야 내려야 하는데
부산까지 가고 말았네",트로트
