,제목,가사,장르
0,Jungle The Black,"까만 어둠속 욕망들을 숨긴채
다 미쳐 돌아가네

머릿속이 그냥 멈춰버린것 같아
난 너의 이름조차 생각나지 않는걸
매스꺼운 음악소리만이 들려와
이젠 지쳤어 나 그냥 돌아갈래

모두 가식 속에 자신을 숨긴채
다 미쳐 춤을 추네

머릿속이 그냥 멈춰버린것 같아
난 너의 이름조차 생각나지 않는걸
매스꺼운 음악소리만이 들려와
이젠 지쳤어 나 그냥 돌아갈래",록메탈
1,Love Me,"파란 하늘과
저 하늘보다 푸른미소 가진
너의 밝은 얼굴
그래서 난 네가 좋아
시원한 바람
그 보다 산뜻한 네 향기
한여름의 바람처럼
내 마음에 불어오고
나도 모르게 점점 더
커져가는 마음
하루 또 이틀이 지날수록
너만 보면 붉게 물든 나의 얼굴
눈치채지 못한 너에게
hold me love me
hold me love me
너만 모르는 내 마음

풋사과 향기
보다 상큼한 너의 미소
그 보다 더 맑은 표정
너에게 난 반한 거야
투명한 호수
그 보다 은은한 네 향기
잔잔한 그 물결처럼
내 마음에 전해지네
나도 모르게 점점 더
커져가는 마음
하루 또 이틀이 지날수록
너만 보면 붉게 물든 나의 얼굴
눈치채지 못한 너에게
hold me love me
hold me love me
너만 모르는 내 마음",록메탈
2,Too Young To Die (Too Drunk To Live),"너의 마음 The heart of stone
그야말로 비정한 녀석
포르말린 용액 속에
절여진 네 눈빛

너의 손은 Supersonic
그야말로 재빠른 녀석
바람을 가로 질러 상대를 향해
부서지는 손끝
끝이 뻔한 싸움 이 비열한 거리
주먹을 움켜 쥔 너는
Too young to die
치명적인 사랑 이 위험한 거래
너는 Too drunk to live

너의 노래 The youth gone wild
그야말로 철없는 녀석
아무도 노래하지 않는 rock'n roll
빛 바랜 그 날들
끝이 뻔한 싸움 이 비열한 거리
주먹을 움켜 쥔 너는
Too young to die
치명적인 사랑 이 위험한 거래
너는 Too drunk to live
Too Young To Die
Too Drunk To Live
결국 모든게
부질없는 선택

무기력의 힘으로 튼튼한 미래
소리치며 우는 너는
Too young to die
아무도 모르게 먼지로 날아갈
너는 Too fast to live
끝이 뻔한 싸움 이 비열한 거리
주먹을 움켜 쥔 너는
Too young to die
치명적인 사랑 이 위험한 거래
너는 Too drunk to live",록메탈
3,내 오랜 그녀와 해야 할 일,"신혼 여행을 떠나 듯
꽃을 단 차로 달려보길
내일 헤어질 연인처럼
마지막 편지 써 보길
처음 만났던 그 날과
똑같은 하루를 보내보길
설레임 마저 다시 데려와
우린 너무 오래돼서
우린 너무 익숙해져서
입맞춤도 잊게 되고
사랑한단 말 속으로 하지
예쁜 여잘 보게 되고
혼자인 친구 부러워하고
가끔씩은 미워져도
내겐 너 뿐이야

커다란 지도 펼치고
같이 갔던 곳 표시하기
추억 없는 곳 하나 없게
같이 여행을 떠나기
몰래 써왔던 일기를
살짝 하루만 바꿔보기
눈을 맞추고 사랑해주기
우린 너무 오래돼서
우린 너무 익숙해져서
입맞춤도 잊게 되고
사랑한단 말 속으로 하지
예쁜 여잘 보게 되고
혼자인 친구 부러워 하고
가끔씩은 미워져도
내겐 너뿐이야 oh my love

발에 꼭 맞는 신발처럼
너 없인 나 어디도 못가
말은 안 해도 내 맘 잊지마
사랑은 꼭 말로 할게
잊지 않고 전화 잘 할게
헤어질 때는 입맞추고
하루에 한번 꼭 안아 줄게
너의 친구를 기억하고
너의 수다에 귀 기울일게
처음처럼 널 사랑해
내겐 너뿐이야",록메탈
4,"그녀를 위해 (Feat. 노을-이상곤,브라운아이드소울-성훈,파이브-장해영,블랙비트-이소민,썸가이즈-김태헌)","또 울게하지 말아요
딱 그만큼만 웃게해줘요
어린아이 처럼 투정 부려도
들어봐주세요
적어도 하루 한번은
많이 사랑한다 말해주세요
언제나 한 사람 밖에 모르는
그녀를 위해

그녀가 많이 취했어
단잠을 깨워도
수십번 같은 말해도
화내지 말아요
잘란 니 어린말들도
상처된 말들도
마음에 담지말아요
진심이 아니죠
또 울게하지 말아요
딱 그만큼만 웃게 해줘요
어린아이처럼 투정부려도
들어봐주세요
적어도 하루 한번은
많이 사랑한다 말해주세요
언제나 한 사람밖에 모르는
그녀를 위해
시간이 지나 많은 것을 배웠죠
힘이들때 받는 법
슬퍼할땐 주는 법
이제는 그대가 알아야죠
그녀와 길을 걸을때
잡은 손 절대 놓지말아요
잠시 눈을때면 어디로 갈지
모르는 일이죠
한번더 부탁할께요
못난 나랑 사람 잊게 해줘요
내가 사랑하고 나를 사랑할
그녀를 위해
또 울게하지 말아요
딱 그만큼만 웃게 해줘요
어린아이처럼 투정부려도
들어봐주세요
적어도 하루 한번은
많이 사랑한다 말해주세요
언제나 한 사람밖에 모르는
그녀를 위해",록메탈
5,너무 많은…,"너무나도 많은 날들을
그 수많은 입맞춤들
너의 그 숨소리마저
모두 간직하고 싶었어
너의 얼굴은 사진속으로
너의 마음은 일기장속으로
너의 모든걸 남기고 싶었어
너무 많은 눈물
너무 많은 약속
너무 많은 기다림에 지친 날들 위로
지나친 바램들 때문에
바보같은 나의 욕심 때문에
미안해 용서해
너무 많은 모든걸 후회해
너무나 부족한 날

너의 얼굴은 사진속으로
너의 마음은 일기장속으로
너의 모든걸 남기고 싶었어
너무 많은 눈물
너무 많은 약속
너무 많은 기다림에 지친 날들 위로
지나친 바램들 때문에
바보같은 나의 욕심 때문에
미안해 용서해
너무 많은 모든걸 후회해
너무나 부족한 날
빛바랜 사진들만이
너의 기억을 자라나게 하고
먼지 속 책장의 일기장속엔
너의 빈 목소리만
너무 많은 눈물
너무 많은 약속
너무 많은 기다림에 지친 날들 위로
지나친 바램들 때문에
바보같은 나의 욕심 때문에
미안해 용서해
너무 많은 모든걸 후회해
너무나 부족한 날",록메탈
6,주연배우,"인생 속에 그 무얼 난 느꼈나

그 무얼 찾으면서 숨을 쉬나

달콤한 캔디 쓰디쓴 커피

한 손엔 어제 신문 꾸겨 들면서..

주연배우같이 연극 속에 사는 것이

그게 바로 인생이야

인생이란 주연배우



고통 속에 그 무얼 난 느꼈나

그 무얼 찾으려고 애를 쓰나

어제도 젊음 오늘도 젊음

두 눈은 버스 번호 뒤져가면서

주연배우 같이 연극 속에 사는 것이

그게 바로 인생이야

인생이란 주연배우",록메탈
7,반말마 (Original Ver.),"반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
야 네가 지금 뭣땜에 나한테 반말야
반말마 반말마 반말마
반말마 반말마 반말마
야 아무래도 좀 이건 미쳐 반말마
반말마 반말마 반말마
반말마 반말마 반말마
야 네가 지금 뭣땜에 나한테 반말야
반말마 반말마 반말마
반말마 반말마 반말마
야 아무래도 좀 이건 미쳐 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말하지 마 반말하지 마
반말하지 마 위를 몰라
반말하지 마 반말하지 마
반말하지 마 위를 몰라
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
야 네가 지금 뭣땜에 나한테 반말야
반말마 반말마 반말마
반말마 반말마 반말마
야 아무래도 좀 이건 미쳐 반말마
반말마 반말마 반말마
반말마 반말마 반말마
야 네가 지금 뭣땜에 나한테 반말야
반말마 반말마 반말마
반말마 반말마 반말마
야 아무래도 좀 이건 미쳐 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말하지 마 반말하지 마
반말하지 마 위를 몰라
반말하지 마 반말하지 마
반말하지 마 위를 몰라
나도 반말을 할 줄 알아
화낼 줄도 알아
네가 뭔데 나한테 반말야
이해하고 참는 것도 한계가 있어
너는 내게 반말하고 막 대하니 정말
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마

반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
야 네가 지금 뭣땜에 나한테 반말야
반말마 반말마 반말마
반말마 반말마 반말마
야 아무래도 좀 이건 미쳐 반말마
반말마 반말마 반말마
반말마 반말마 반말마
야 네가 지금 뭣땜에 나한테 반말야
반말마 반말마 반말마
반말마 반말마 반말마
야 아무래도 좀 이건 미쳐 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말하지 마 반말하지 마
반말하지 마 위를 몰라
반말하지 마 반말하지 마
반말하지 마 위를 몰라
나도 반말을 할 줄 알아
화낼 줄도 알아
네가 뭔데 나한테 반말야
이해하고 참는 것도 한계가 있어
너는 내게 반말하고 막 대하니 정말
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마
반말마 반말마 반말마",록메탈
8,요즘 가끔 머리속에 드는 생각인데 말이야,"요즘 가끔 머리속에
드는 생각인데 말이야

니가 없이도 잘 해나갈지도
모른다는 생각
친구를 만나고
가끔 영화도 보고
이렇게
언젠가부터 조금씩
안들리게 된 것 같잖아

니 마음속에 고동도
나의 마음속에 고동도
아마도 우리가
좋아하는 만큼
아쉬움도 쌓이나봐
하고 싶은 말은
산더미 같지만
할 수 있는 말이 더 없는걸
우린 어디로 가는걸까
너의 따스함조차
잘 보이지 않아 하지만
오늘 같은 새벽이면
보이지 않았던
진실이 떠올라
니가 없어진다면
내 곁을 떠난다면
다시 볼 수 없다면
안아주지 않는다면

하고 싶은 말은
산더미 같지만
할 수 있는 말이 더 없는걸
우린 어디로 가는걸까
너의 따스함조차
잘 보이지 않아 하지만
오늘 같은 새벽이면
보이지 않았던
진실이 떠올라
니가 없어진다면
내 곁을 떠난다면
다시 볼 수 없다면
안아주지 않는다면",록메탈
9,너 올 때까지,"우린 아니라고
다를꺼라고 난 생각 했어
이별을 알고도
영원한 사랑을 기대 했어
마치 이별이 날 기다린 듯이
짜여진 소설처럼
이별은 준비 없는
소나기처럼 나를 울리고가
너 올 때까지 기다릴게
너 올 때까지 잠시만 울게
비가 오면 눈물인지 빗물인지
아무도 모를 거야
나 언제까지 기다리면 돼
나 언제까지 아파하면 돼
죽을 만큼 아프고 더 아파도
널 기다릴 거야 너 올 때까지

끝이 아니라고
아닐거라고 난 생각 했어
이별은 준비없는
소나기처럼 나를 울리고가
너 올 때까지 기다릴게
너 올 때까지 잠시만 울게
비가 오면 눈물인지 빗물인지
아무도 모를 거야
나 언제까지 기다리면 돼
나 언제까지 아파하면 돼
죽을 만큼 아프고
더 아파도 널 기다릴 거야
모든건 그대로 인데
사랑도 그대로 인데
도대체 사랑하는 너는 없는데
나만 사랑한다고 내게 말했잖아
우리는 영원하자 약속 했었잖아
죽어도 나만 사랑 한다 약속했잖아
Don't goodbye
Say goodbye Don't goodbye
나의 사랑은 너 하나면 돼
나의 눈물은 너 하나면 돼
일년이 가고 십년이 가도
나는 널 기다릴거야
나 언제까지 기다리면 돼
나 언제까지 아파하면 돼
죽을 만큼 아프고 더 아파도
널 기다릴 거야 너 올 때까지",록메탈
