,제목,가사,장르
10,곁에 (Original Song 짙은),"곁에
머물러 그렇게
아무도 모르게
네 향기가 짙게
오늘은
You just call me again and sing a song again
네 향기가 짙게
작은 너의 마음도
난 느낄 수 있어
너의 향길 난
있는 그대로 와
가진 것 그대로 와
난 너를 느낄게
난 너를 느낄게
있는 그대로 와
가진 것 그대로 와
난 너를 느낄게
난 너를 느낄게
있는 그대로 와
가진 것 그대로 와
난 너를 느낄게
난 너를 느낄게
곁에 머물러
그렇게 아무도 모르게
네 향기가 짙게",록메탈
11,All,"All that I know
what the fuck's into me
cause it's my pain
my gain my shame
I never trust everything everybody
So You have to think about
what's fucking necessary
You have to show me
motherfucking you're necessary
But you just always
look at me like stupid
now you must turn around like me
Can you agree with they're choice
Can you feel it grand violence
On this world there's no truth
On this world there's no truth
yeah they always think about lies
But they always say they're right
Can you find that cruel sight
Oh shit can you believe
what they say
so what you want
Can you understand
what they want
So what I want
I said that what the fuck
are you gonna do
I tall You what the fuck
are you wanna do
but you just always
look at them like stupid
now you must turn around like me
They'll make you they're slave
They'll play you hey slave
And swallow you're brain
On this world there's no truth
On this world there's no truth
All that I know is
what's the truth in here
All that I know is
what's the truth in here
All that I know
All that I know
All that I know
All
get down
why don't you fuck them
all that pig
why don't you fuck them
all that pig
why don't you fuck them
all that pig
why don't you fuck them
all that pig
why don't you fuck them
all that pig
why don't you fuck them
all that pig
why don't you fuck them
all that pig
why don't you fuck them
all that pig
set about doing",록메탈
12,사랑의 첫단계,"난 너를 바라보면
너에게서 나의 눈을
뗄 수 없어 이렇게 난
가끔씩 너의 눈과
나의 눈이 마주치면
내 심장은 이렇게 터질 듯 해
잠을 잘 수도 없어 네 생각에
아침에 눈을 떠도 널 생각해
사랑 인가봐
널 사랑하나봐
내 마음속은 너로 가득 차
미칠 것 같이
보고 싶어서
네가 보고 싶어서
난 아무것도 할 수가 없어
숨도 쉴 수가 없어
내 가슴은 터질 것 같아
저 멀리서 널 바라봐
나의 눈을 뗄 수 없어
너에게서 나의 눈을 뗄 수가 없어서
나는 용기를 내려 했어
하지만 다가 갈 수 없었어
너에게
사랑인가봐
널 사랑하나봐
내 마음속은 너로 가득차
미칠 것 같이
보고 싶어서
네가 보고 싶어서
난 아무것도 할 수가 없어
숨도 쉴 수가 없어
내 가슴은 터질 것 같아
사랑하는 그대여
나의 손을 잡아주오
나의 맘을 받아주오
내 사랑아 내 사랑아",록메탈
13,바담바,"불타는 태양이 수평선에 잠기면
바다는 온통 붉은 옷을 갈아입고
해지는 바다 그 노을이 아름다워
널 처음 만났던 바닷가
변한게 하나도 없어
붉어지는 바다 너의 모습
모든게 처음 만난 그때처럼
약속해 언젠가 내게로
돌아오겠다는 말로
미안해 하지마 서로를 위해
우리는 잠시 헤어질 뿐
너를 기다리겠다는 말로
다시 넌 미소 지었지만
아쉬움은 어쩔 수는 없는거야
짧은 이별앞에 마지막 입맞춤
바다는 우릴 지켜보고 있겠지
애써 감추어둔 눈물까지
겉으로는 이렇게 웃고 있지만
널 다시 못보게 될까봐 걱정이야
괜찮아 네가 보고 싶어질 때면
여기 이 바다를 찾아오면 돼
파도따라 밀려오는 추억에
나도 외롭지 않을거야
널 처음 만났던 바닷가
변한게 하나도 없어
붉어지는 바다 너의 모습
모든게 처음 만난 그때처럼
약속해 언젠가 내게로
돌아오겠다는 말로
미안해 하지마 서로를 위해
우리는 잠시 헤어질 뿐
너를 기다리겠다는 말로
다시 넌 미소 지었지만
아쉬움은 어쩔 수는 없는거야
짧은 이별앞에 마지막 입맞춤
바다는 우릴 지켜보고 있겠지
애써 감추어둔 눈물까지
겉으로는 이렇게 웃고 있지만
널 다시 못보게 될까봐 걱정이야
괜찮아 네가 보고 싶어질 때면
여기 이 바다를 찾아오면 돼
파도따라 밀려오는 추억에
나도 외롭지 않을거야",록메탈
14,기억의 초원,"흘러나오는 노래를 타고
떠난다
아련한 추억 속 그때로
난 돌아가
너의 따뜻한 손
코끝을 스치는
바람의 숨결
수줍게 물들인
하늘 아래
설레는 웃음소리
함께 흥얼거렸던
노래가 들리면
이젠 만질 수 없는
그대가 그리워
아아 아아 아아
아아 아아 아아
너의 따뜻한 손
코끝을 스치는
바람의 숨결
수줍게 물들인
하늘 아래
설레는 웃음소리
함께 흥얼거렸던
노래가 들리면
이젠 만질 수 없는
그대가 그리워
아아 아아 아아
아아 아아 아아",록메탈
15,운동화,"새 운동화
신고 걸어 볼까
햇살 가득
시원한 바람을 타고
나를 슬프게 했던
그대 얼굴도 잊고
나를 화나게 했던
너의 말들도 잊고
아무 생각 없이
걷고만 싶어
새 운동화
신고 뛰어 볼까
달빛 가득
시원한 바람을 타고
나를 슬프게 했던
그대 얼굴도 잊고
나를 화나게 했던
너의 말들도 잊고
아무 생각 없이
걷고만 싶어
뒤돌아 걷는
내 발끝엔
무거운 기억 있지만
자유를 찾을 수 있도록
날 데려가 줄래",록메탈
16,왠지 좋아,"만난지 백일도 넘게 변하지 않지
오늘도 바래다 주는 너
아쉽게 달콤해
똑같은 길 백일도 넘게 오가는
나를 배려해 괜찮다는 말
한번쯤 할 생각없니
사랑하는 사람들은
다 이렇게 만날까
아님 우리만 그런걸까
맘에 안드는 것 투성인 니가
맘에 들어와서 나갈 줄 몰라
신기해
am I falling for you
맘에 안드는 것 투성인 니가
맘에 들어 놔줄수 없는
내가 신기해
do I have crush on you
만나기로 약속한 날
차가 막힌다는
내 변명을 믿어주는
너 네게 늘 감사해
똑같은 너의 핑계를
또 속아줘야할까
오늘도 늦는다는 너
내가 만만해진 걸까
사랑하는 사람들은
다 이렇게 만날까
아님 우리만 그런걸까
맘에 안 드는 것 투성인 니가
맘에 들어와서 나갈 줄 몰라
신기해
am I falling for you
맘에 안드는 것 투성인 니가
맘에 들어 놔줄수 없는
내가 신기해
do I have crush on you
서운한 날 토라지는 날
아직 많겠지만
진실한 네 맘을 난 알아
맘에 안드는 것 투성인 니가
맘에 들어와서 나갈 줄 몰라
신기해
am I falling for you
맘에 안드는 것 투성인 니가
맘에 들어 놔줄 수 없는
내가 신기해
do I have crush on you
맘에 안드는 것 투성인 니가
맘에 들어와서 나갈 줄 몰라
신기해
am I falling for you
맘에 안드는 것 투성인 니가
맘에 들어 놔줄 수 없는
내가 신기해
do I have crush on you",록메탈
17,Color Of Merging,"멀리 떠나는 그대에게
글을 주어 보내려니
내 마음 둘 곳 없어
눈물 흐르는구나
인생에 한백년이
나그네 같거늘
어디에 가 묻힐지
아득 하여라
먼 산에 조각구름 일고
해는 장주에 저물어갈때
인간사 손꼽아보니
아득할 손 모두 시름뿐
인생에 한백년이
나그네 같거늘
어디에 가 묻힐지
아득 하여라
먼 산에 조각구름 일고
해는 장주에 저물어갈때
먼 산에 조각구름 일고
해는 장주에 저물어갈때
인간사 손꼽아보니 아득할
손 모두 시름뿐
먼 산에 조각구름 일고
해는 장주에 저물어갈때
인간사 손꼽아보니 아득할
손 모두 시름뿐
아득할 손 모두 시름뿐",록메탈
18,그래 넌 하지만 난,"만날 수 없지만
잊을 수 도 없어
어느 차가운 겨울에
커피숍에서 였지
넌 내게 반했고
난 너에게 반했다
이루어질 수 없는
사랑인 줄 도 모른 채
그래 넌 다이아반지를
갖고 싶은 여자
하지만 난 철없이
음악 하는 남자
그래 넌 오픈카를
타고 싶은 여자
하지만 난
오래된 스쿠터를 탄다
넌 내게 말했지
널 사랑하지만
현실은 그렇게
만만하지 않다고
도무지 무슨 말인지
난 알 수 가 없네
사랑보다 중요한 게
이 세상에 어딨어
그래 넌 다이아반지를
갖고 싶은 여자
하지만 난 철없이
음악 하는 남자
그래 넌 오픈카를
타고 싶은 여자
하지만 난
오래된 스쿠터를 탄다
텅 빈 내 지갑에
유일하게 남은
너의 사진
이제 그 사진도
비워지겠지
그래 넌 다이아반지를
갖고 싶은 여자
하지만 난 철없이
음악 하는 남자
그래 넌 오픈카를
타고 싶은 여자
하지만 난
오래된 스쿠터를 탄다
그래 넌 하지만 난
그래 넌 하지만 난
그래 넌",록메탈
19,만나줄래,"있잖아 내 얘기 좀
들어볼래
너만 알고 있어야 돼
내가 널 좋아하네
내가 널 좋아하네
있잖아 내 얘기 좀
들어볼래 밤을 세워
고민했네
내 맘을 보여줄게
오늘 밤 만나줘
하루종일 문자를 썼다
지웠다 썼다 지웠다
결국에는 지웠다
이래뵈도 소심해
나는 기다리는데
연락 없네
있잖아 내 얘기좀
들어볼래
너만 알고 있어야 돼
한번만 만나줄래
한번만 만나줄래
있잖아 내 얘기좀
들어볼래 뭐가 그리
바쁜건데
전화 좀 받아줄래
오늘밤 만나줘
하루종일 문자를 썼다
지웠다 썼다 지웠다
썼다 지웠다
결국에는 지웠다
이래뵈도 소심해
나는 기다리는데
너는
내가 이런 적 없어
매달려 본적 없어
너는 뭔가 달라
여태 알던 여자들과
내가 무서운거니
내가 별로인거니
난 아무에게나
이러는 남자 아니야
내 얘기좀 들어볼래
너만 알고 있어야 돼
내가 너를 좋아하네
내일 나랑 만나줄래",록메탈
