,제목,가사,장르
10,Room,"그냥 난 누워있어
온종일 네 생각에 잠겨
난 꽤 잘 지낸듯해
여전히 아침은 거르지 않아
바뀐 건 같이 듣던 노래들
잘 안 듣게 된 거 같아 넌
어때 내가 없는 너의 밤들은
잠이 오지 않는 게 그때부터인지
내 맘을 잡는다는 게
어려운 것도 모든 게 잘 안돼 난
네가 없으니까 익숙해져야 하는데
여전히 적응이 안돼
잘 지내 이젠 널 보내줄게
네가 없는 이 밤은 조금 길어도
이 새벽의 온도와 가끔
그 길을 지날 때
무너지는듯해 보여도 괜찮아
잠이 오지 않는 게 그때부터인지
내 맘을 잡는다는 게 어려운 것도
모든 게 잘 안돼 난
네가 없으니까 익숙해져야 하는데
여전히 적응이 안돼
잠이 오지 않는 게 그때부터인지
내 맘을 잡는다는 게 어려운 것도
모든 게 잘 안돼 난
네가 없으니까 익숙해져야 하는데
여전히 적응이 안돼",RNB
11,By me,"어둠속을 똑바로 쳐다볼 때
그제야 걸을 힘이 생겨 하나 둘
이제는 나를 증명해야하지
시간은 빚처럼 날 쫒아오거든
얼룩진 밤들이 내 머리속을 채워
빈 주먹을 더 꽉쥐게
오직 내가 내 자리, 내 자신을 키워
이제는 전과달라
가져와 다
Take it
전부 다 쓸어담아
Brake it
세상에 나를팔아
Desgined by me
생각이 가는대로 Make it
I will take it
어릴적 소년은 다 사라졌지
이제는 사는법을 배워 하나 둘
날 담을 그릇이 더 필요하네
욕심과 야망은 더 쌓여가거든
얼룩진 밤들로 내 가슴안을 채워
날 흘려보지 못하게
오직 내가 내 자리, 내 자신을 키워
숙였던 시간만큼
가져와 다
Take it
전부 다 쓸어담아
Brake it
세상에 나를팔아
Desgined by me
생각이 가는대로 Make it
I will take it
Think about what I’m drawing
더 높은곳을 봐 난
Think about what I’m drawing
내가 날 만드는대로
Think about what I’m drawing
고민은 날 못막아
Think about what I’m drawing
I will make it,
I will take it
어떤 이유로든 주저앉아 있지마
세상은 움직이는 자들의 것이니까
다 갈아치워 난
그저 묵묵히갈뿐
구원은 저기 고통끝에 보일테니
Take it
전부 다 쓸어담아
Brake it
세상에 나를팔아
Desgined by me
생각이 가는대로
Make it
I will take it
Think about what I’m drawing
더 높은곳을 봐 난
Think about what I’m drawing
내가 날 만드는대로
Think about what I’m drawing
고민은 날 못막아
Think about what I’m drawing
I will make it,
I will take it",RNB
12,Day & Night,"눈 뜨면 아른거려 네 모습이
네가 날 깨워주는 것 같아
달콤한 그대 목소리
설레이는 내 모습은 쉿
오늘 볼 생각에
꺼내 입어 보는 skirt
미리 검색해본
해시태그 가자 둘이서 yeah
하고 싶은 게 많아
하루론 부족할까
너로 가득한 나를 좀 봐
넌 나의 Day and Night
지금 이 순간에도
생각나 call me
whenever you like
내 맘은 Every time
너도 나와 같다면
네게 한 걸음
다가와 줄래 say yeah
baby 나를 봐
발을 맞춰봐
걸어 나란히
너무 짧은 하루야
너만 바라보기에는
stay with me
네 무릎 위에 기대면
나른해져 난 꿈을 꿔
우리 둘만을 비추는 보랏빛 하늘
이 순간을 잊고 싶지 않아
You and I
하고 싶은 게 많아
하루론 부족할까
너로 가득한 나를 좀 봐
넌 나의 Day and Night
지금 이 순간에도
생각나 call me
whenever you like
내 맘은 Every time
너도 나와 같다면
네게 한 걸음
다가와 줄래 say yeah
Day & Night
둘이서
함께할래 every time
Day & Night
even in dreams
깨고 싶지 않아",RNB
13,What can i do,"너의 향기가 짙어져가
조금씩 난 더 빠져들어
나의 맘속에 오늘도 넌 스며들어와
눈이 마주친 순간 숨길수가 없는 걸
내게 말해 줬음 해
너의 손을 잡을 때
oh what can I do
조금씩 난 네게 더 빠져가
oh what can I do
지금 너의 눈빛에 녹아 난
천천히 내게 다가와줘
사랑이란 걸 알게해줘
나의 맘속에 오늘도 넌 스며들어와
눈이 마주친 순간 숨길수가 없는 걸
내게 말해 줬음 해
너의 손을 잡을 때
oh what can I do
조금씩 난 네게 더 빠져가
oh what can I do
지금 너의 눈빛에 녹아 난
잠시동안 멈춰버린 시간에
눈을 감아봐 feel this time
oh what can I do
조금씩 난 네게 더 빠져가
oh what can I do
지금 너의 눈빛에 녹아 난",RNB
14,Cross Country,"이 시간에 너를 보면
어딘가 떠나야 할 것만 같아
이 시간에 널 보면
다른 건 모르는 척 할거야
그렇게
똑같은 얘기는
너무 지루하잖아
아마도 내일은
버릴 거야 다
어제 한 얘기는
또 필요 없잖아
너와 나 처음인 것처럼
하나부터 열까지 널 위해서
All I need 어딘가 네 마음에
난 몰라 네가
원하는 걸 말해 아무거나 좋아
All I need 어딘가 네 마음에
네 생각이 더 알고 싶어
네 생각이 더 나
이 시간에 너를 보면
머리가 아파지는 것 같아
이 시간에 너를 보면
알아도 모르는 척 할까 봐
그걸 너도 지금 아나 봐
똑같은 얘기는
너무 지루하잖아
아마도 내일은
뒤로 밀어야 할 것 같은데
다른 사람 얘기는
신경 안 써도 돼
걱정 안 해도 돼
우리 둘만 보면 돼
All I need 어딘가 네 마음에
난 몰라 네가
원하는 걸 말해 아무거나 좋아
All I need 어딘가 네 마음에
네 생각이 더 알고 싶어
네 생각이 더 나
All I need 어딘가 네 마음에
난 몰라 네가
원하는 걸 말해 아무거나 좋아
All I need 어딘가 네 마음에
네 생각이 더 알고싶어
네 생각이 더 나",RNB
15,Obsession (Feat. soO),"나는 익숙해
다들 괜찮냐고 내게 물어도
그 말들이 나를
반대로 내 맘을 흔들어
Other in my side
넌 모를걸
좀만 들여봐 너도
모르는 사이
내 맘은 타들어가
내가 뭘 어쩌겠어
내 옆에 빈 공간에
채우려던
기어코 억지로라도
내 맘을 들키고
멀어진 기분에
뭘 어떻게 해야
너가 내게로
돌아올꺼란
고민의 반복에 빠져
이대로 널 놓치긴 싫어
맘만 애태워
아득히만 멀어지지마
되새기는 밤이야
Other in my side
넌 모를걸
좀만 들여봐 너도
모르는 사이
내 맘은 타들어가
내가 뭘 어쩌겠어
Other in my side
넌 모를걸
좀만 들여봐 너도
모르는 사이
내 맘은 타들어가
내가 뭘 어쩌겠어",RNB
16,HELLO CHRISTMAS,"Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I don’t wanna meet
Santa Claus alone!
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I’ll be with you,
Let’s tell Rudolph hello?
Won’t you just stay over here
It’s snowing
so don’t catch a cold now
I can feel it, it’s Christmas,
everywhere
don’t want you to go home
I’ve been really good this year,
All I can ask for,
I want to make your holiday,
wish come true
Let’s light the fire,
let’s hang the mistletoe
And get real close,
just feel you now
Tree lights shine so bright,
Are you gonna stay the night?
Something’s in the air
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I don’t wanna meet
Santa Claus alone!
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I’ll be with you,
Let’s tell Rudolph hello?
When i see you right there
Fall in love all over again
You’re the only present,
I need now
It’s cold outside,
so be by my side
Watch the snow,
Fall in to the night
Oh but to me,
You are the most beautiful sight
Let’s light the fire,
let’s hang the mistletoe
And get real close,
just feel you now
Tree lights shine so bright,
Are you gonna stay the night?
Something’s in the air
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I don’t wanna meet
Santa Claus alone!
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I’ll be with you,
Let’s tell Rudolph hello?
I don’t want you be alone
When you can spend it next to me
Gonna show,
gonna prove myself to only you
Won’t you be with me
and have a Merry Christmas
Oh, My Christmas gift Hello?
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I don’t wanna meet
Santa Claus alone!
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I’ll be with you,
Let’s tell Rudolph hello?
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I don’t wanna meet
Santa Claus alone!
Sha, sha, shawty, with you (Hello)
Sha, sha, shawty, with you
Oh. This year just need you right
by my side
I’ll be with you,
Let’s tell Rudolph hello?",RNB
17,lovelylove,"넌 좀 너무해 왠지 모르게
자꾸 보게 돼 슬쩍
이런 내가 나도 낯선가 봐
한참을 맴돌다
어쩔 수 없나 봐
이젠 매일매일 몰래 꼭 숨겨왔던
이런 내 맘 모른 척하면 안 돼
조심스레 네게 꺼내 보일게
일기 속 넌 이미 아는 말들
한 번 더 말해, 널 좋아해
매 순간마다 널 보고 싶어
용기 내 말해도 네 맘은 아직 어렵나 봐
한 번 더 말해, 널 좋아해
너의 마음, 매일 듣고 싶어
눈 꼭 감고 다음 네 대답을 기다려
어떤 말을 좋아할지 몰라
이런 맘 비울까 생각했지만
어느새 나도 모르게
나눴던 대활 돌려보네
이젠 매일매일 네게 꼭 숨겨왔던
이런 내 맘 모른 척하면 안 돼
조심스레 네게 꺼내 보일게
일기 속 넌 이미 아는 말들
한 번 더 말해, 널 좋아해
매 순간마다 널 보고 싶어
용기 내 말해도 네 맘은 아직 어렵나 봐
한 번 더 말해, 널 좋아해
너의 마음, 매일 듣고 싶어
눈 꼭 감고 다음 네 대답을 기다려",RNB
18,WE ARE (Acoustic),"너를 느껴 breathe in
feeling like I dive in
온 세상 가득 너의 숨결
영원 속에 잠겨
feeling like
I'm dreaming all night long
너와 숨이 맞닿은 공간
운명처럼 너와 난
기적 같은 이 순간
네 품에서 through the night
빛바랜 구름 위로
두 눈을 적시면
나의 바닷속엔
너와 같은 꿈이 흘러
we are
if you feel the same
변하지 않는 마음
내 마음속 깊은 곳에서 너를 노래해
그 안에 너와 나
날 일으켜준 너
이제 내가 너의 손잡을 게
수놓아진 너의 별들을 따라
한 걸음씩 발맞추던 날
너와 나눌 사랑을 모아
이 밤에 갇혀
kiss right through the night
운명처럼 너와 난
기적 같은 이 순간
네 품에서 through the night
빛바랜 구름 위로
두 눈을 적시면
나의 바닷속에
끝없이 머문 너
we are
if you feel the same
변하지 않는 마음
내 마음속 깊은 곳에서 너를 노래해
그 안에 너와 나
날 일으켜준 너
이제 내가 너의 손잡을 게
감출 수 없는
많은 이야기
너의 세상에
나를 그려주고파
아름답게 새겨둘게
영원히 기억해
너는 내 세상이었어
from where you are
if you feel the same
내 마음속 깊은 곳에서 너를 노래해
그 안에 너와 나
내게 더 가까이
이 밤의 끝까지 안아줄게",RNB
19,That Night (by minZu) (Prod. Motto),"Good morning 내게 인사를 해
근데 넌 왜 대답이 없는데
오늘 밤도 널 기다리면서
휴대폰만 바라보고 있어
Still love you 이젠 안되겠어
I’m so tired 이제 그만할래
더 이상은 널 기다리는 게
외로워져 난 더 못하겠어
Stayed up all night
밤새도록 너를 기다렸던 밤들이
이젠 더 이상 보내고 싶지 않아
I was wasted my time
너와 함께한 all night
미련은 남지 않았지만
조금은 슬퍼해볼게
네가 조금은 편하게
Now I’m shining like a star
니가 없으니까
매 순간이 내겐 꿈만 같은 걸
행복이 영원하다면
이 꿈에서 깨지 않길
Hold up baby
Why you don't say anything
You know that I
Waiting for you every night
니가 없는 밤에 텅 빈 이 방안에
혼자 남아 너를 기다리고 있어
Waiting I’m waiting
오지 않을 걸 알아
But can't stop I can't stop
멈출 순 없는걸
우린 안되는 걸 알면서도
왜 난 더 하고 싶은 걸까
Stayed up all night
밤새도록 너를 기다렸던 밤들이
이젠 더 이상 보내고 싶지 않아
I was wasted my time
너와 함께한 all night
미련은 남지 않았지만
조금은 슬퍼해볼게
네가 조금은 편하게
I was wasted my time
기다려온 오늘 밤
이별을 내게 말하지 마
사실은 그게 아닌데
너와 함께하고픈데",RNB
