,제목,가사,장르
0,캉캉 (Can Can),"캉캉캉캉 캉캉캉캉
캉캉캉캉 사랑해요
캉캉캉캉 좋아해요
캉캉캉캉 영원토록
캉캉캉캉 캉캉

내 사랑을 받아줘
내 키스를 받아줘
저 빛나는 달처럼
쏟아지는 내 숨결을
모두가져

내 매력을 받아줘
내 질투도 받아줘
자 모든걸 가져가
찢어먹든 볶아먹든
맘대로해

사랑해요 너무너무
좋아해요 너무너무
사랑해요 좋아해요
좋아해요 사랑해요
언제언제까지나
야야야!!

캉캉캉캉 사랑해요
캉캉캉캉 좋아해요
캉캉캉캉 영원토록
캉캉캉캉 캉캉
 
캉캉캉캉 사랑해요
캉캉캉캉 좋아해요
캉캉캉캉 영원토록
캉캉캉캉 캉캉
 
내 정열을 받아줘
내 마음을 받아줘
저 빛나는 달처럼
쏟아지는 내 숨결을
모두가져

내 선물을 받아줘
내 고백도 받아줘
자 모든걸 가져가
찢어먹든 볶아먹든
맘대로해

보고싶어 너무너무
안고싶어 너무너무
보고싶어 안고싶어
안고싶어 보고싶어
언제언제까지나
야야야!!

캉캉캉캉 사랑해요
캉캉캉캉 좋아해요
캉캉캉캉 영원토록
캉캉캉캉 캉캉
캉캉캉캉 캉캉
캉캉캉캉 캉캉캉캉캉캉",트로트
1,바람과 구름,"부는 바람아 너는 나의 힘
모든 슬픔을 거둬가다오
광활한 대지에 끝없는 바다에
오 바람이 분다
가는 구름아 너는 나의 꿈
높은 저곳에 데려가다오
푸른 창공으로 영원한 곳으로
오 구름이 간다
나도 따라서 갈래
머나먼 저곳으로
나의 꿈을 따라서
멀리 머나먼 곳에
부는 바람아 너는 나의 힘
가는 구름아 너는 나의 꿈
푸른 희망속에 끝없이 달리는
오 바람과 구름

나도 따라서 갈래
머나먼 저곳으로
나의 꿈을 따라서
멀리 머나먼 곳에
부는 바람아 너는 나의 힘
가는 구름아 너는 나의 꿈
푸른 희망 속에 우리 함께 달린다
오 바람과 구름
오 바람과 구름
오 바람과 구름",트로트
2,백치아다다,"1.
초여름 산들바람 고운볼에스칠때
검은머리 금비녀에 다홍치마 어여뻐라
꽃가마에 미소짓는 말 못하는 아다다여
차라리 모를것을 짧은날의 그행복
가슴에 못박고서 떠나버린 님그리워
별아래 울며새는 검은눈의 아아다다여
2.
얄구진 운명아래 맑은순정 보람없이
비둘기의 깨어진 꿈 풀잎뽑아 입에물고
보금자리 쫓겨가는 애처러운 아다다여
산 넘어 바다 건너 행복찾아 어데갔나
말하라 바닷물결 보았는가 갈매기떼
간곳이 어디메뇨 대답 없는 아아다다여",트로트
3,고향 가는길,"열차야 달려가자 버스야 달려가자
목단꽃이 붉게피는 그리운 고향으로
부모 형제 기다리는
친구들이 기다리는
추석이 좋아 설날이 좋아
웃음꽃 피네
아 아 아 내 고향으로 열차야 가자
열차야 쉬어가자 버스야 쉬어가자
채송화가 곱게피는 그리운 고향으로
부모 형제 반겨주는
친구들이 반겨주는
추석이 좋아 설날이 좋아
웃음꽃 피네
아 아 아 내 고향으로 버스야 가자
아 아 아 내 고향으로 열차야 가자",트로트
4,황혼의 부르스,"황혼이 질때면 생각나는 그사람
가슴 깊이 맺힌 슬픔 영원토록
잊을 길은 없는데
별처럼 아름답던 그 추억이
내 마음을 울려주네
목이 메어 불러보는
당신의 그 이름
황혼이 질때면 보고싶은 그 얼굴
마음 속에 아로새긴 당신 모습
잊을 길은 없는데
꿈같이 행복했던 그 시절이
그리워서 눈물지네
목이 메어 불러보는
당신의 그 이름",트로트
5,이봐요,"사랑 잃고 비에 젖고
이 밤을 헤매이나요
당신도 나와 같은
시련 속에 아픔이 있었나요
걸어가는 뒷모습엔
한숨만 가득한데
어쩌면 그 모습은
내 모습이 아닐까
닿는 발길 닿는 대로
서러움이 더해 가는데
지친 몸 기대서서 흐느껴 우는
이봐요 외로운가요
사랑 잃고 비에 젖고
이 밤을 헤매이나요
당신도 나와 같은
시련 속에 아픔이 있었나요
젖어오는 두 눈 속엔
슬픔만 쌓이는데
당신의 그 마음도
내 마음이 아닐까
닿는 발길 닿는 대로
서러움이 더해 가는데
지친 몸 기대서서 흐느껴 우는
이봐요 외로운가요
이봐요 외로운가요",트로트
6,지지지,"깔끔하게 지워 버렸지
네가 남긴 모든 메시지
휴지통으로 다 던져 버렸지
사랑했던 기억까지
한 동안은 일만 했었지
바쁜 하루하루였었지
속일 순 없지 서랍 속의 반지
거기 새겨진 네 이니셜 G
왜 이렇게 까닭 없이 슬픈지
왠지 하루 종일
모든 일들이 NG 였지
거리는 한없이 길지
발길은 무거워 졌지
지독한 감기에 콜록이지
생각하지 말아야지 다짐만 하지
어느 샌가 너의 집앞에 다가섰지
뒤돌아서면서 울지
억지로 웃기도 했지
이니셜 G 때문이지
깔끔하게 지워 버렸지
네가 남긴 모든 메시지
휴지통으로 다 던져 버렸지
사랑했던 기억까지
한 동안은 일만 했었지
바쁜 하루하루였었지
속일 순 없지 서랍 속의 반지
거기 새겨진 네 이니셜 G
왜 이렇게 까닭 없이 슬픈지
왠지 하루 종일
모든 일들이 NG 였지
거리는 한없이 길지
발길은 무거워졌지
지독한 감기에 콜록이지
생각하지 말아야지 다짐만 하지
어느 샌가 너의 집앞에 다가섰지
뒤돌아서면서 울지
억지로 웃기도 했지
이니셜 G 때문이지
왜 이렇게 까닭 없이 슬픈지
왠지 하루 종일
모든 일들이 NG 였지
거리는 한없이 길지
발길은 무거워졌지
이니셜 G 때문이지
이니셜 G 때문이지",트로트
7,그여자의 마스카라,"알고십년 속아십년 인생은 그런거라고
속절없이 웃고마는 강건너 외로운 여자
세상에 과거없는 사람있냐며 마지막 술잔속에 눈물을감추고
그여자의 마스카라 그여자의 젖은입술 나를 나를 울리려하네

사랑몇번 이별몇번 인생은 그런거라고
흔들리듯 춤을 추는 강건너 쓸쓸한여자
세상에 과거없는 사람있냐며 마지막 술잔속에 눈물을감추고
그여자의 마스카라 그여자의 젖은입술 나를 나를 울리려하네

(후렴)세상에 과거없는 사람있냐며 마지막 술잔속에 눈물을감추고
그여자의 마스카라 그여자의 젖은입술 나를 나를 울리려하네",트로트
8,나는 나비,"내 모습이 보이지 않아
앞길도 보이지 않아
나는 아주 작은 애벌레
살이 터져 허물벗어
한번 두번 다시
나는 상처 많은 번데기
추운 겨울이 다가와
힘겨울지도 몰라
봄바람이 불어오면
이젠 나의 꿈을 찾아 날아
날개를 활짝 펴고
세상을 자유롭게 날꺼야
노래하며 춤추는
나는 아름다운 나비
날개를 활짝 펴고
세상을 자유롭게 날꺼야
노래하며 춤추는
나는 아름다운 나비
거미줄을 피해 날아
꽃을 찾아 날아
사마귀를 피해 날아
꽃을 찾아 날아
꽃들의 사랑을 전하는 나비
날개를 활짝 펴고
세상을 자유롭게 날꺼야
노래하며 춤추는
나는 아름다운 나비
날개를 활짝 펴고
세상을 자유롭게 날꺼야
노래하며 춤추는
나는 아름다운 나비
날개를 활짝 펴고
세상을 자유롭게 날꺼야
노래하며 춤추는
나는 아름다운 나비",트로트
9,사랑 참,"잡힐 듯 잡히지 않는
사랑이 너무 아쉬워
다가가면 더 멀어지는
사랑 참 힘드네요
보일 듯 보이지 않는
사랑이 너무 아파서
시린 가슴 애써 달래도
사랑 참 힘드네요
참을 만해요 괜찮아요
힘들면 좀 어때요
사랑을 잃은 아픔보다
참는 게 더 쉬워요
들리나요 사랑아
내 슬픈 사랑아
보이나요 사랑아
내 아픈 사랑아
참을 만해요 괜찮아요
힘들면 좀 어때요
사랑을 잃은 아픔보다
참는 게 더 쉬워요
들리나요 사랑아
내 슬픈 사랑아
보이나요 사랑아
내 아픈 사랑아
사랑 참 힘드네요",트로트
