제목,가사,가수,발매일,좋아요수,장르
결혼 하지마,"노력 했지만
너를 잊을 수 없어
나 달려가고 있어
그 곳으로
널 위한 이별
그보다 쓸쓸한
말장난은 없어
견뎌내야 했어
힘겨웠던 내 현실을
아파 널 울려버린 그 말
사랑인 줄 알았지만
이제 보니
너도 결국에는
스치는 여자라는
감당할 수 없는
절망의 시작이 된
그 거짓말
거리 위엔 행복한
연인들이 피어나
저문 우리 사랑 위에
하나 둘
비웃지 말아 줘
멋진 이별에
난 어울리지 않아
뭐라 말해도 좋아
조금만 기다려 제발
아파 널 울려 버린 그 말
사랑인 줄 알았지만
이제 보니 너도 결국에는
스치는 여자라는
감당할 수 없는 절망에
길을 잃어 헤매 일 날들의
시작이 된 그 거짓말
낯선 눈빛 일까봐 두려워
아니
그렇게라도 처음부터
시작할 수 있다면
Wanna be with you
아파 내 숨을 멈춘 그 말
수화기 너머 떨리던 너의 음성
이미 낯설어진
한 여자의 거짓말
너 없이도 이젠 괜찮아
꿈을 이루고 싶어졌어
우리 이제 좋은 친구로 남자
좋은 사람 꼭 만날 거야
넌 좋은 사람이니까

결혼하지마",플라이 투 더 스카이,2007.11.08,582,발라드
Epilogue,"Dream come true
Make my dream come true
나의 마음 속 간절하게
원하는 소망
이루어질 날이 오게 될거야
Dream come true
Dream come true
Dream come true
Dream come true",화이트,1996.12.12,16,발라드
"사랑, 눈물감기","내 마음에는 온기가 없어
너무 차가워
약을 먹어도 잠을 청해도
왜 자꾸만 나아지지 않나요
몸도 마음도 만신창이죠
내가 나 같지 않아
너무 건강해
나를 놀려대던 그대였었는데
그런 내가 매일 앓고 살죠
젖은 눈물 기침 다 나오네요
사랑 눈물 감기
그건 나만 꼭 걸리죠
우리 사랑했는데
그대는 정말 괜찮은가요
사랑 눈물 감기
정말 나만 꼭 아프죠
이런 좋은 날씨에
감기란 것이 말도 안 돼요

눈물이 나고 자꾸 생각나
나를 더 사랑해 준
내가 아프면
나보다 아프던 그대였었는데
그런 그대 지금 어딨나요
젖은 눈물 기침 다 나오네요
사랑 눈물 감기
그건 나만 꼭 걸리죠
우리 사랑했는데
그대는 정말 괜찮은가요
사랑 눈물 감기
정말 나만 꼭 아프죠
이런 좋은 날씨에
감기란 것이 말도 안 돼요
따뜻한 그 햇살이 다시 비추면
그대 내 곁으로 돌아오나요
눈물 싫어 약도 싫어 다 싫어
그저 나를 다시 꼭 안아줘요
우 우우 우우우 우우
이별 눈물 감기
이제 떼고 살고 싶어
아직 사랑하는데
그대는 정말 아닌 건가요
이별 눈물 감기
정말 너무도 아파요
이 내 여린 가슴을 자꾸 울리는
그대 미워요",제이,2007.11.08,67,발라드
힘든고백,"알고 있죠 나 아무리
사랑하고 있어도
그대의 가슴에 자리한 내 흔적은
작고 보잘 것 없다는 것을
나도 때론
더 이상은 기다릴 수 없다고
이제 내 사랑의 방법은 기다림이
아니라고 굳은 결심도 하지만
난 오늘도 사랑한다 못하고
그냥 보고는 싶었다고만
말을 하고 있죠
바보처럼 난 스스로 위로하죠
내 마음 언젠가
그대 느낄 수 있을 거라고

밤이 오면
더 그대가 보고 싶어지면서
그렇게 모를까 어느새 그대를
원망하고 있는 날 발견하지만
난 오늘도 사랑한다 못하고
그냥 보고는 싶었다고만
말을 하고 있죠
바보처럼 난 스스로 위로하죠
내 마음 언젠가
그대 느낄 수 있을 거라고

지난 밤 내게 들려준 사랑 얘기
아직 잊을 수 없다 하면서
울어 버렸었죠
가슴 아팠죠 하지만 괜찮아요
난 늘 이렇게라도
그대와 함께할께요

난 오늘도 사랑한다 못하고
그냥 보고는 싶었다고만
말을 하고 있죠
바보처럼 난 스스로 위로하죠
내 마음 언젠가
그대 느낄 수 있을 거라고
난 오늘도 사랑한다 못하고
그냥 보고는 싶었다고만
말을 하고 있죠
바보처럼 난 스스로 위로하죠",화이트,1998.03.01,37,발라드
연 (戀),"참 오래 됐나봐
우리 헤어진지도
참 오래 됐나봐
우리 헤어진지도
참 좋았었는데
너와 사랑했던 날들이
이제와서 생각 나
자꾸만 생각 나
참 그리운 가봐
자꾸 눈물이 흘러
참 그리웠 나봐
자꾸 너만 떠올라
고개를 떨구며
네가 떠나 버린 그 날이
이제 와서 떠 올라
지워지지 않아
날 힘들게 해요
널 다시 보고 싶어도
다신 볼 수 없어도
나 이렇게 나 이렇게
너만을 사랑하는 나
나 이대로 나 이대로
너만을 바라보는 나
많이 행복했어
널 사랑해서 미안해요

거리를 걷다가
네 생각이 떠올라
발 걸음을 멈추고
하늘만 바라봐
가슴이 아파와
우리 헤어졌던 날들 만큼
네가 너무나도 그리워져서
널 다시 보고 싶어도
다신 볼 수 없어도
나 이렇게 나 이렇게
너만을 사랑하는 나
나 이대로 나 이대로
너만을 바라보는 나
많이 행복했어 널 사랑해서
널 다시 그리워해도
너를 그리워해도
나 이렇게 나 이렇게
너만을 사랑하는 나
나 이대로 나 이대로
너만을 바라보는 나
너를 향한 내 맘
감추지 못해 미안해요
우리사랑 이젠 정말 끝난건가요
우리다시 사랑할 순 없는건가요
내가 너를 사랑하면 안 된다고
사랑해선 안 된다고
그렇게 다짐을 했지만
너라는 사람을 너라는 사람을
놓치긴 싫어서 보내긴 싫어서
나 이대로 나 이대로
너만을 바라보는 나
내가 너를 너무
사랑해 와서 미안해요
미안해요 미안해요
너를 사랑해 와서",Dice,2007.11.15,23,발라드
끝난건가요,"한참 그대는 내게서 멀리 있군요
이젠 우리는 끝난건 가요
더이상 없나요 우리 둘은

맨 첨 사랑을 말한 걸 기억 하나요
이젠 우리는 이게 다인가요
여기서 만나요 우리 둘은
힘들게 지내온 시간들이
난 아직도 시작인 것 같은데
아무도 이해할 순 없나요
그대여 내게 대답해 줘요
정말 끝난건 가요 우리
우린 늘 같은데 있어 지루 했나요
이젠 우리는 그만인 가요
여기서 됐나요 우리 둘은
힘들게 지내온 시간들이
난 아직도 시작인거 같은데
이런 마음 아무도
이해 할 순 없나요
그대여 내게 대답해 줘요
정말 끝난건 가요 우리
힘들게 지내온 시간들이
난 아직도 시작인거 같은데
아무도 이해 할 순 없겠죠
그대여 내게 대답해 줘요
끝난건 가요
끝난건 가요 우리",김현철,2007.11.13,129,발라드
기억해줘,"기억해줘
널 위해 준비한
오늘 이별이
힘들었단 걸 잊지마
니 가슴에 기대어 자던
많은 날 안녕
이전처럼
그대로 너에게
돌아오라면
받아들일 수 있지만
달라진 날 기대한다면
이제 그만 끝내
내가 잘못한거니
너무 사랑한거니
미안해
니가 나의 마음 알겠니
미워하지마 이해해줘
나 때론 이유없이
너를 괴롭게 해
늘 확인하려 했지만
어떻게해도
변함없는 너의 얼굴 지쳐
외면하고도 싶었어
더 이상 나
참을 수 없기에
끊는 전화라도
걸어보고 싶지만
달라진 것 없는
나라면 해서는 안돼
내가 잘못한거니
너무 사랑한거니
미안해
니가 나의 마음 알겠니
미워하지마 이해해줘
이제 나의 사랑 알겠니
미워하지마 기억해",이소라,2007.11.13,103,발라드
사랑을 해봐요,"사랑을 하고픈 이 밤
이 밤은 짧기만 한데
숨기지 말아요 오늘만이라도
다 말해버려요 말해버려요
사랑이 넘치는 이 밤
더 이상 슬퍼말아요
다 잊어버려요 오늘만이라도
모두 다 잊어요 잊어버려요
외롭잖아요 당신도 나처럼
다 알고보면 우린 다 외로워
사랑해봐요 당신도 나처럼
이러다 세월 다 놓치기 전에
어차피 한 번 왔다가 가는 길
밤이 새도록 사랑을 해봐요
사랑이 넘치는 이 밤
더 이상 슬퍼말아요
다 잊어버려요 오늘만이라도
모두 다 잊어요 잊어버려요
외롭잖아요 당신도 나처럼
다 알고보면 우린 다 외로워
사랑해봐요 당신도 나처럼
이러다 세월 다 놓치기 전에
어차피 한 번 왔다가 가는 길
밤이 새도록 사랑을 해봐요
외롭잖아요 당신도 나처럼
다 알고보면 우린 다 외로워
사랑해봐요 당신도 나처럼
이러다 세월 다 놓치기 전에
어차피 한 번 왔다가 가는 길
밤이 새도록 사랑을 해봐요
밤이 새도록 사랑을 해봐요",임병수,2007.11.15,5,발라드
아직도 너를,"아직도 너를 보낼 수 없어
너를 잊으려 애를 쓰지만
잊을 수 없는 너의 모습에
마음이 아파 눈물이 흘러
함께 눈을 떠 너를 느끼며
사랑을 했던 시간이 내게
다시 떠올라 외로워져도
이제는 너를 보내야만해
다시는 널 안을수 없다는걸 알아
이미 너는 다른 사람 품에 있으니
늘 행복하기를 기도하지만
그사람 곁에서 내 생각이 나면
그리워지면 돌아와
널 위해 나는 있을테니까
함께 눈을 떠 너를 느끼며
사랑을 했던 시간이 내게
다시 떠올라 외로워져도
이제는 너를 보내야만해
다시는 널 안을수 없다는걸 알아
이미 너는 다른 사람 품에 있으니
늘 행복하기를 기도하지만
그 사람 곁에서 내 생각이 나면
그리워지면 돌아와
널 위해 나는 있을테니까
널 위해 나는 있을테니까",임병수,2007.11.15,18,발라드
영원한 약속,"다시는 사랑하지 않겠어
너를 안고 살아 갈 수 없다면
내 생애 아무것도
너를 대신 할수 없어
마지막 사랑으로 남은 너
어떻게 너를 잊고 살겠어
가슴 속에 묻어두고 사는데
흐르는 눈물도 무슨 말을 하려는지
자꾸만 너를 돌아보게돼
후회도 했어 보내지 말걸
이렇게 아픈 이별이라면
절망도 했어 이 세상 끝까지
지키지 못 한 가슴 아픈 사랑
세상이 우릴 외면해도
널 위해 나는 살고 싶어
영원히 널 사랑 할거야
잊을 수 없는 내 사람아
어떻게 너를 잊고 살겠어
가슴 속에 묻어두고 사는데
흐르는 눈물도 무슨 말을 하려는지
자꾸만 너를 돌아보게돼
후회도 했어 보내지 말걸
이렇게 아픈 이별이라면
절망도 했어 이 세상 끝까지
지키지 못 한 가슴 아픈 사랑
세상이 우릴 외면해도
널 위해 나는 살고 싶어
영원히 널 사랑 할거야
잊을 수 없는 내 사람아
영원히 널 사랑 할거야
잊을 수 없는 내 사람아",임병수,2007.11.15,15,발라드
