제목,가사,가수,발매일,좋아요수,장르
잘지내요,"걱정마요 궁금해도
더 묻지 말아요
떠나 놓고 그대 마음
변하고 싶어서 찾아왔나요
죽지 못해 사는
니 얘기 못하고
그댈 위해 가만히 웃어줬죠
잘 지내요 그대 땜에
떠나는 사랑만 못 할뿐이죠
잘 지내요
어딜가도 그대가 떠올라
눈물로만 살 뿐이죠

듣고 있죠 그 사람과
그대는 더 없이 행복하다고
죽는다고 해도 안 와 줄 그댄데
잘 지냈냔 그 말은 왜 묻나요
잘 지내요 눈 감으면
그대가 떠올라 못 잘 뿐인거죠
잘 지내요 칼로 베듯
상처가 너무 아파 힘들 뿐이죠

잘 지내요 걱정마요
다시는 날 잡고 그러지 마요
잘 지내요 목숨 같던
그대를 잃고도
숨은 쉬니까 살죠",얀,2007.10.19,34,발라드
외쳐,"가까이 와 날 느껴봐 감추지마
하고 싶은 대로 이끌리는 대로
그저 널 맡겨봐 그것 뿐이야
어려울 것도 없어
미치지 못한건 너와 나 뿐야
모두 미쳤으니까
나와 이렇게
내가 하는 대로 그래 그렇게
외쳐 We are the champion
나와 그렇게
하고 싶은 대로 그래 그렇게
미쳐 You are my champion
아름다운 몸짓이야
미쳐가는 너를 보고 있어
그 모습에 미쳐
조금씩 다가 온 너의 모습에
난 빠져가고 있어
터질 듯 차 버린 너의 눈빛이
날 삼켜 버릴듯 해
나와 이렇게
내가 하는 대로 그래 그렇게
외쳐 We are the champion
나와 그렇게
하고 싶은 대로 그래 그렇게
미쳐 You are my champion

나와 이렇게
내가 하는 대로 그래 그렇게
외쳐 We are the champion
나와 그렇게
하고 싶은 대로 그래 그렇게
미쳐 You are my champion
나와 이렇게
내가 하는 대로 그래 그렇게
외쳐 We are the champion
나와 그렇게
하고 싶은 대로 그래 그렇게
미쳐 You are my champion",얀,2007.10.19,19,발라드
12월의 Elegy,"어김 없이 아침은 오네요
또 하루가 시작되나봐요
찬바람처럼
내 마음 베고 간 기억
거기서 난 멈춰서 있는데
창 밖으로 눈이 내리네요
그대도 지금 보고 있나요
잊어 보려고
가졌던 미운 마음은
손톱 만큼도 자라지 않죠
그대가 왜 그대가
날 떠나야 했는지
첨엔 그게 참 궁금 했었는데
사랑이 그 사랑을
지켜내지 못함에
이유라는 건 없나 봐요
이렇게 눈 내리는 날이면
눈에 밟히는 그대가
눈을 감아도 보여요
발자욱처럼 또렷한 기억은
눈물에도 녹지 않죠

내 맘이 왜 내 맘을
뜻대로 할 수 없나
때론 그게 참 원망스럽지만
그대를 이 세상을
잃은 내게 더 이상
내 것이란게 있을까요
이렇게 눈 내리는 날이면
눈에 밟히는 그대가
눈을 감아도 보여요
발자욱처럼 또렷한 기억은
눈물에도 녹지가 않아요
그댄 모를 거에요
그대를 안던 그날도
그대를 잃던 그날도
이 거리처럼 새하얀 꿈으로
내 눈가에 새겨진 걸",유리상자,2007.11.20,14,발라드
미워하지 말아요.,"좋아한 적 없는데
싫증날 순 없겠죠
믿은 적 없는 이에게
실망 할 수는 없겠죠
생각할수록 너무 고마운 사람
좋아해 주고 믿어준
나는 잃은 것이 없어요
오히려 얻은 것 뿐이죠
날 봐요
나 밖에 없던 가슴
숨도 못 쉴 만큼 넘치도록
가득찬 그대 추억

헤어졌다고 하면
입을 모아 말하죠
시간이 낫게 한다고
더 좋은 사람 있다고
그댈 모르고 하는 얘기들이죠
귀에 담기지 않아요
나는 잃은 것이 없어요
오히려 얻은 것 뿐이죠
날 봐요
나 밖에 없던 가슴
숨도 못 쉴 만큼 넘치도록
가득찬 그대 추억
정말이예요
믿지않아요
날 떠나가도 좋아요
추억이란건
맘에 한번 새기면
누구도 꺼내지 못해요
누굴 가진 사람있나요
내 맘도 내 것이 아닌데
아파도 미워하지 말아요
사랑했던 말들 아깝잖아
슬프지마요
우리",리사,2007.11.22,73,발라드
멍하니,"울지 않죠 이제
그대가 돌아올 것 같아서
그 가게에 가죠
아주 오랜만에
그토록 기다렸던 사랑이
문 열면 있을 것만 같은데
한참을 걸어온 길
따라 나를 반기는
한 친구의 말에 멍하니
그 사람 돌아올 수 없데요
나 혼자 살아가라 하네요
조용히 그대 이름 부르죠
혹시나 돌아오지 않을까

왜 나는 멍이 들고 아픈지
사랑은 나 혼자만 했는지
한 친구 전한 말에
흐르는 검은 눈물만
내 맘을 달래고 한숨만
그 사람 돌아올 수 없데요
나 혼자 살아가라 하네요
조용히 그대 이름 부르죠
혹시나 돌아오지 않을까
미처 생각하지 못한 일들만
자꾸 내 주위를 가득 채우고
일어설 힘도 없이 사는 나에게
눈물아 날 대신해줄래

다신 돌아올 수 없데요
날 위해 떠난거라 하네요
조용히 그대 이름 부르죠
마지막 인사라 생각하며
다신 돌아올 수 없데요
날 위해 떠난거라 하네요
소리쳐 그대 이름 부르죠
기적이 내게 올 수 있도록

그 사람 돌아올 수 없데요",이수영,2007.11.22,126,발라드
Heaven,"유미야 나 남자 생겼다
진짜야 말도 안돼 나는 어떡해
야 얘기 좀 해봐
얘기 좀 해봐 어떤 남자야
잠깐만 나 노래 좀 하고
만약 내 삶에
의문을 갖게 되면
그때는 니가 나의
해답이 될거야
만약 내 삶에
슬픔이 찾아 오면
그때는 니가 나의
기쁨 되주겠지
나는 기다렸어요
수많은 시간들을
나는 기도했어요
그대를 만나기를
이렇게 너의 품에
안기려고 한 나
외로웠던 것 같아
사랑해 널 사랑해
그래 오직 너만을
기억해 널 기억해
I just wanna be
틀림없이 너와 있는
이 곳이 바로
나의 천국인걸요
아우 야 나 너무 오래 기다렸어
빨리 얘기 좀 해봐
어떤 남자야
그 사람이 말이야
완전 마음이 넓어
아유 한 두명이니
마음 넓은 남자는
다 세상 천지야
아니 이번엔 진짜라니깐
잠깐 또 노래 나온다
만약 내 삶에
상처가 얼룩지면
그때는 너의 손길
날 닦아주겠니
만약 내 삶에
마지막 다가와도
그때도 너와
영원히 함께 하겠지
나는 기다렸어요
수많은 약속들을
나는 기도했어요
그대와 숨쉬기를
이렇게 너의 품에
안기려고 한 나
그렇게 힘들었던 건가봐
사랑해 널 사랑해
그래 오직 너만을
기억해 널 기억해
Oh 이렇게 너와 있는
이 곳이 바로
나의 천국일꺼야
사랑해 널 사랑해
사랑해 널
이 말로도 부족해
I just wanna be
틀림없이 너와 있는
이 곳이 바로
나의 천국인걸요
그래 수영아
너는 이제 앞으로
정말 너만 사랑해주고
너만 아껴주고
널 위해서 항상 기도해주고
정말 그런 느티나무 같은
남자 만나서 행복하고
그리고 나도 사랑해줘야돼
알았지
걱정하지마
어 이 타이밍에서 내가 그러면
노래를 한곡 한번 해볼께
사랑해 널 사랑해
그래 오직 너만을
기억해 널 기억해
I just wanna be
틀림없이 너와 있는
이렇게 하란 말이야 노래를
괜찮아 괜찮아
아니야
넌 그냥 연기나 해
나가자",이수영,2007.11.22,93,발라드
아무도 몰래,"혼자 있으면 두 눈을 감고
조그만 그 모습을 생각해
혼자 있어도 외롭지 않아
스쳐간 그 순간이 떠올라
긴머리 날리우며 걸어가던
그댄 지금 어디에
메마른 내 가슴을 적셔주던
한줄기의 사랑이었어
아무도 몰래 그대여 와요
나만이 살고 있는 그곳으로
아무도 몰래 아무도 몰래
둘만의 세계로 간직하고파

긴머리 날리우며 걸어가던
그댄 지금 어디에
메마른 내 가슴을 적셔주던
한줄기의 사랑이었어
아무도 몰래 그대여 와요
나만이 살고 있는 그곳으로
아무도 몰래 아무도 몰래
둘만의 세계로 간직하고파
둘만의 세계로 간직하고파",황치훈,1988.12.15,87,발라드
소녀,"아무 말도 없니
아까부터 계속 옆에서 걷기만해
넌 자신이 없니
어떤 말을 할까 또 고민이 되니
뭘 그리 주저하는지 모르겠어
내 입술만 뚫어져라 보고
키스해줄래 내 말에 또 놀라고
두 볼만 빨개지는 너를 어떡하면 좋니
입술만 봐도 마음이 보이잖아
망설이니 넌 내게 다가와줘
두 눈만 봐도 사랑을 느끼잖아
감추지마 날 향한 네 사랑

어떤 영화를 볼까 어딜 갈까
항상 나에게 물어보니
넌 준비도 없니
약속을 꼭 내가 정해야만 하니
아직도 너는 부끄러 그런 거야
혹시 내가 떠날까 두려워
열 번이라도 천 번도 나는 좋아
품에 가득히 안아주면 행복 할 것 같아
입술만 봐도 마음이 보이잖아
망설이니 넌 내게 다가와줘
두 눈만 봐도 사랑을 느끼잖아
솔직하게 내 곁에 머물러줘
한 걸음 더 걸어와도
밀어내진 않을꺼야
용기를 내봐
꿈같은 사랑 바라진 않아
좀더 편하게 나를 대해줄래
입술은 벌써 사랑을 말하잖아
더 가까이 넌 내게 다가와줘
두눈은 가득 나밖엔 모르잖아
왜 모르니 넌 내게 다가와줘
입술은 벌써 사랑이 넘치잖아
고백해줘 넌 내게 다가와줘
두눈은 가득 나밖엔 모르잖아
날 안아줘 난 너의 여자니까",가비 퀸즈,2007.11.30,3,발라드
Secret Of 4Card (십이월이십사일밤에),"오 첫눈이 내리면
다시 한번 와준다고
나 고백할게 네게
간직했던 사랑
멀리서 조금씩 다가오는
너를 보면서
웃고 있는 날 상상해
오늘은 고백할게
내 사랑 받아 줄래요
하얀 눈이 내려와
하얗게 물들이면
Christmas tree
은은한 종소리
나와 함께 해줘요
온 세상 가득 불빛들이
우리를 비추죠
My love

오 온종일 내 곁에
지금처럼 함께해요
나 고백할게 네게
간직했던 사랑
거리의 캐롤이
우릴 위해 퍼지고 있어요
내 손을 녹여줄 그대죠
오늘은 고백할게
내 사랑 받아 줄래요
하얀 눈이 내려와
하얗게 물들이면
Christmas tree
은은한 종소리
나와 함께 해줘요
온 세상 가득 불빛들이
우리를 비추죠
My love
You my heart
It's alight missing you
하얀 눈이 내려와
하얗게 물들이면
Christmas tree
은은한 종소리
나와 함께 해줘요
온 세상 가득 불빛들이
우리를 비추죠
My love",가비 퀸즈,2007.11.30,8,발라드
가라,"가라 스쳐갈 인연이라면
가라 돌아선 사람이라면
가라 기어이 가야겠다면
오늘 이후로 너를 잊겠다
가라 미련도 남기지 말고
가라 눈물도 보이지 말고
가라 미안한 척하지 말고
너를 끝으로 사랑은 없다
내 사랑아 잔인한 사람아
우리 다신 마주치지마
잘 살아라 사랑한 사람아
돌아오지마 나를 기억하지마

가라 붙잡지 않을 테니까
가라 혼자도 괜찮으니까
가라 나도 널 버렸으니까
눈물 흘러도 후회는 없다
내 사랑아 잔인한 사람아
우리 다신 마주치지마
잘 살아라 사랑한 사람아
돌아오지마 나를 기억하지마
아름다운 이별 그런건 없어
이별은 언제나 잔인할뿐야
더욱 가혹할수록
더욱 잔인할수록
잊기엔 더 쉬운건지도 몰라

내 사랑아 못다한 사랑아
내 사랑아 못다한 사랑아
제발 너무 아파하지마
내 가슴아
이 못난 가슴아 돌아보지마
이젠 기다리지마 제발",더 네임,2007.12.03,76,발라드
Santa Claus Is Coming To Town,"Oh You better watch out
You better not cry
You better not pout
I'm telling you why
Santa Claus is comin' to town
He's making a list
He's checking it twice
gonna find out
Who's naughty or nice
Santa Claus is comin' to town
He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake
Oh better watch out
You better not cry
You better not pout
I'm telling you why
Santa Claus is comin' to town

He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake
Oh better watch out
You better not cry
You better not pout
I'm telling you why
Santa Claus is comin' to town
Santa Claus is comin' to town
Santa Claus is comin' to town
Santa Claus is comin' to town",리즈 (Leeds),2007.12.04,13,발라드
Have Yourself A Merry Little Christmas,"Have yourself
a merry little Christmas
Let your heart be light
From now on your troubles
will be out of sight
Have yourself
a merry little Christmas
Make the Yule tide gay
From now on your troubles
will be miles away
Here we are as in olden days
happy golden days of yore
Faithful friends who are dear to us
gather near to us once more
Through the years
we all will be together
If the Fates allow
Hang a shining star upon
the highest bough
And have yourself
a merry little Christmas now

Here we are as in olden days
happy golden days of yore
Faithful friends who are dear to us
gather near to us once more
Through the years
we all will be together
If the Fates allow
Hang a shining star upon
the highest bough
And have yourself
a merry little Christmas now",리즈 (Leeds),2007.12.04,13,발라드
Eternal Morning,"Love, it's push and shove
giving and giving in, giving up
give, give, give but nothin's given
sinnin' is heaven
just for the hell of it
contradictions, constant attraction distraction
Love, life hiding behind contraception
deception, a radio without reception
miscommunication and misconception
conception of a life too early for light
but just ripe for death the depth of eyes
windows to souls shattered into tears
too cold to hold in my hands
plans, man, woman
Love, the distance between me and you
measured by lies and truths
probable cause for hate, fate and destiny
insatiable thirst for the free
wake up to Eternal morning",이터널 모닝,2007.12.04,235,발라드
Black Shoe,"이타 나루모닝구

키노 노 요루
닛키가 사이고노
페 지니 타도리츠이따
이타이

키노 노 요루
악 키가 사이고노
페 지니 타도리츠이따
이타이

게츠요 비노 아사
카요 비노 아사
스이요 비노 아사
모쿠요 비노 아사
킹요 비노 아사
도요 비노 아사
니찌요 비노 아사
이타이

키노 노 요루
닛키가 사이고노
페 지니 타도리츠이따
이타이

키노 노 요루
닛키가 사이고노
페 지니 타도리츠이따
이타이

게츠요 비노 아사
카요 비노 아사
스이요 비노 아사
모쿠요 비노 아사
킹요 비노 아사
도요 비노 아사
니찌요 비노 아사
에이엔니 쯔즈쿠 아사
이타 나루모닝구",이터널 모닝,2007.12.04,206,발라드
Eternal Mourning,"I was born in
eternal state of morning
Good night Good night
Good Morning
I'm recording
eternal state of morning
Good night Good night
Good Morning
I was born in
eternal state of morning
Good night Good night
Good Morning
I'm recording
eternal state of morning
Good night Good night
And wake up
to your eternal morning",이터널 모닝,2007.12.04,193,발라드
어른들의 크리스마스,"어른들의 크리스마스 / 국당

메리 크리스마스 메리 크리스마스
가슴이 왜이리 설레는 걸까
지나버린 일이라 잊으려 해도
잊혀지지 않는 그 겨울 크리스마스
행복했던 크리스마스


밤새워 그린 카드 누가 볼세라
살며시 건네주던 소녀는 어디
하얀눈 촛불 아래 두손 모으던
그님도 그날을 기억 할런지
메리 크리스마스 메리 크리스마스",국당 조성주,2007.11.19,0,발라드
Song For You,"오모이데노요니 키라메쿠 시로이유키
키미모도코카데미테루노 아이타이
마타히토미오토지테오모이다시타
키미노에가오또코에
아타타카쿠테
이마데모
야사시쿠테 코노사비시사오토카스노니
나제하나레테시맛탄다로
콘나니모아이시테타
유키노요니 토츠젠
메노마에니아라와레테호시이
솟토이노루요 츠타에타이카라 고멘네
토다키시메타이
이마와타다 카나시미가
아이노우타니나루 This Song For You

에이엔사에모 신지타 아이닷타
소 키세키노요니데아에타코토
칸샤시테루요 타다
노존데나이 세츠나사니
소노아이와카타치오카에타
마다히토리데키미오맛떼이루
모 이치도아이타쿠테
코코로카라오모우요
보쿠노다이세츠나히토다토
즛토이에즈니 아마에테이타
키미다케가쿠레타아이니
후리츠모루 오모이데오
미츠메테우타우요 This Song For You
아루이타마치 이마모
나제카가야쿠노다로
토도카나이토시테모
코노아이와
나제하나레테시맛탄다로
콘나니모아이시테다
유키노요니 토츠젠
메노마에니아라와레테호시이
솟토이노루요 츠타에타이카라 고멘네
토다키시메타이
이마와타다 카나시미가
아이노우타니나루 This Song For You

유루사레루나라 이마스구 아이타이",신승훈,2007.12.05,128,발라드
눈꽃이 날리면 (When Snow Scatters...),"눈꽃이 날리면
생각나는 너는
하얀 얼굴에 빛나는 눈동자
눈꽃이 날리면
눈물나는 너는
시간지나도 가슴이 남았네
두근거리는 마음 설레는 마음
모두 내리는 하얀 눈에 담고서
어디선가 바라보는 너의 눈속에
여전한 내 마음 전하고파

눈꽃이 날리면
또 볼수 있을까
하얀 얼굴에 빛나는 눈망울
눈꽃이 날리면
눈물나는 너를
나는 아직도 사랑하는데

두근거리는 마음 설레는 마음
모두 내리는 하얀 눈에 담고서
어디선가 바라보는 너의 눈속에
여전한 내 마음 전하고파
눈꽃이 날리면
또 볼수 있을까
하얀 얼굴에 빛나는 눈망울
눈꽃이 날리면
눈물나는 너를
나는 아직도 사랑하는데
나는 아직도 사랑하는데",추가열,2007.12.07,54,발라드
Winter Breeze,"손이 시려워 꽁 발이 시려워 꽁
겨울바람 때문에 꽁꽁꽁
손이 꽁꽁꽁 꽁 발이 꽁꽁꽁 꽁
겨울바람 때문에 꽁꽁꽁
어디서 이 바람은 시작 됐는지
산너머인지 바다건넌지
너무너무 얄미워
손이 시려워 꽁 발이 시려워 꽁
겨울바람 때문에 꽁꽁꽁
손이 꽁꽁꽁 꽁 발이 꽁꽁꽁 꽁
겨울바람 때문에 꽁꽁꽁
하얀 발코니 밖으로 내리는 하얀눈을
너와 함께 맞고파 비록 이눈은
녹아내리겠지 물이 돼 흐르겠지
너와 내사랑은 절대 변치 않지
꽁꽁 얼어붙은 니손을 나
꼭 붙잡고 걸어가고파
슬픔모두 잊고 이쁜옷 차려입고
행복하게 웃어봐
손이 시려워 꽁 발이 시려워 꽁
겨울바람 때문에 꽁꽁꽁
손이 꽁꽁꽁 꽁 발이 꽁꽁꽁 꽁
겨울바람 때문에 꽁꽁꽁
어디서 이 바람은 시작 됐는지
산너머인지 바다건넌지
너무너무 얄미워
손이 시려워 꽁 발이 시려워 꽁
겨울바람 때문에 꽁꽁꽁
손이 꽁꽁꽁 꽁 발이 꽁꽁꽁 꽁
겨울바람 때문에 꽁꽁꽁
세상 하얀 축복아래
너와 나 모든 할수 있어
항상 내곁에 잊어줄래
힘이 들땐 내게 기대도 돼
내리고 내려 쌓이는 저 눈처럼
마음의 마음이 더해가 더 커져가
사랑의 사랑이 더해가 난 벅 차올라
이순간 나와함께 있는게 고마워 난",씽 스타,2007.12.10,5,발라드
