제목,가사,가수,발매일,좋아요수,장르
Beautiful,"떠나간 너를 만나서
추억에 젖어 울지만
슬프고 슬픈 눈물을
숨길 수가 없는데
알아 널위한 눈물도
이젠 안된다는걸
또다른 사랑에 그 사랑에
나를 잊어야 한다는걸
Beautiful 넌 없지만
이젠 너를 잊을 순 없네요
사랑이라는걸 알게됐을땐
그땐 그때는 늦었어
Beautiful 넌 없지만
혼자 사랑 하면 안되겠죠
나의 사랑 나의 그대
제발 행복하기를 바랄 뿐이죠

떠나간 너를 그리며
추억에 젖어 울지만
아프고 아픈 이별을
숨길 수가 없는데
알아 널위한 이별이
이젠 사랑이란걸
또다른 사랑이 그 사랑이
나를 위해서 산다는걸
Beautiful 넌 없지만
이젠 너를 잊을 순 없네요
사랑이라는걸 알게됐을땐
그땐 그때는 늦었어
Beautiful 넌 없지만
혼자 사랑 하면 안되겠죠
나의 사랑 나의 그대
제발 행복하기를 바랄 뿐이죠
너를 사랑해도 혼자 사랑해도
난 너를 가질 수는 없지만
내가 미치도록 너를 생각해도
넌 나를 알아볼순 없어도
그자리에 웃으면서 행복하면 돼
baby i love you baby i need you
your my love
Beautiful 넌 없지만
이젠 너를 잊을순 없네요
사랑이라는걸 알게됐을땐
그땐 그때는 늦었어
Beautiful 넌 없지만
다신 사랑 하면 안되겠죠
나의 사랑 나의 그대
제발 행복하기를 바랄뿐이죠

Beautiful",썸데이,2009.03.12,39,발라드
You're My Sunshine (Feat. 서영은),"오늘 그댄 어떤가요
나와 함께 할래요
햇살 좋은 날이죠
You & I
선뜻 하지 못했던
내 맘 전하고 싶어 oh Love
You're my Sunshine
You're my Sunshine
오늘은 꼭 말할께요
나의 사랑 그대 뿐이라고
You're my Sunshine
You're my Sunshine
내 손을 부디 꼭 잡아 주세요
내 사랑 오직 그대 뿐

며칠 동안 고민했죠
그대 맘은 어떨지
무척 불안했었죠
Day by Day 행여 내가 싫대도
내겐 그대 뿐이죠 oh Love
You're my Sunshine
You're my Sunshine
그대여 날 바라봐요
내 눈 속에 그대 모습을
You're my Sunshine
You're my Sunshine
하루도 그대 없이는
못 살아 날 바라봐요 I Love You

You're my Sunshine
You're my Sunshine
오늘은 꼭 말할께요
나의 사랑 그대 뿐이라고
You're my Sunshine
You're my Sunshine
내 손을 부디 꼭 잡아 주세요
내 사랑 오직 그대 뿐",애쉬그레이,2009.03.17,92,발라드
날떠난이유 Part.2 (Feat. 샛별),"어젯밤에 헤어지잔 얘길 들었어

말없이 떠나가는 그녈 잡지못했어

밤새 울었어 울다가 잠들었어

눈을 뜨자 마자 난 또 울었어

그렇게 한달 그렇게 두달 세월은 날 기다려주지않고

흘러가고 매일 그녀생각에 술만 마셨어 얼마나 취했을까

그녀에게 전활 걸었어 그녀목소리 뒤에서 들리는

낯선 목소리 벌써 다른 사람을 만났구나

나같은 사람 벌써 잊은거구나 더 좋은 사람 만난거맞지

그래 너라도 행복해 난 그걸로 만족해 잊으려노력할께

언젠간 잊겟지 그래도 아주조금씩은 생각해줄꺼지

내맘엔 너란 상처로 가득차있으니



그런게아냐 내말좀 들어봐

진심이 아니야 다 널위한거야

내맘에 상처는 너보다 훨씬 아프고 커

그런게 아냐 내말좀 들어봐

진심이 아니야 다 널위한거야

날 보며 행복해 나는 널 울릴수없어



멍하니 길을 걷다가 니생각이났어

너와 함꼐 걷던 거리였어 우리가 자주 걷던 거리였지

우리에 추억으로 가득찬 있는 거리였지

혹시 나와 헤어진 후에 이길을 와봤니

아주많이 변해있는 이 길거리

마치우리둘처럼 많이 변해보였어



하지만 이길은 전혀 변함이없엇어

혼자만의 착각속에서 하루를 보내 착각속에서 맘을 지새며

너를 점점 떠나보내 하루 이틀이 지날수록 기억이

희미해지네 내가 널 얼마나 사랑했는데 하며 후회를해

후회해도 소용없대 아무리 널 잊으려 애써도 소용없대

이렇게 난 상처로 얼룩졌는데



그런게아냐 내말좀 들어봐

진심이아냐 다 널위한거야

내맘에 상처는 너보다 훨씬 아프고 커



그런게아냐 내말좀들어봐

진심이아냐 다 널위한거야

날보며 행복해 나는 널 울릴수없어



그런게 아냐 내말좀들어봐

진심이아니야 다 널위한거야

내맘에 상처는 너보다 훨씬 아프고 커



그런게 아냐 내말좀들어봐

진심이 아냐 다 널위한거야

날보며 행복해 나는 널 울릴수없어



그런게아냐 내말좀들어봐

(그런게아냐) 다 널위한거야



그런게아냐 내말좀들어봐

(그런게아냐) 다 널위한거야

날보며 행복해 나는 널 울릴수없어",A.Stork,2009.03.23,18,발라드
숨어우는 바람소리,"1.
갈대밭이 보이는언덕
통나무집 창가에
길떠난 소녀같이
하얗게 밤을새우네

김이나는 차한잔에
마주하고 앉으면
그사람 목소린가
숨어우는 바람소리

둘이서 걷던 갈대밭길에
달은 지고 있는데
잊는다하고 무슨이유로
눈물이 날까요

아아 길잃은 사슴처럼
그리움이 돌아오면
쓸쓸한 갈대숲에
숨어우는 바람소리

2.
둘이서 걷던 갈대 밭길에
달은 지고 있는데
잊는다하고 무슨이유로
눈물이 날까요

아아 길잃은 사슴처럼
그리움이 돌아오면
쓸쓸한 갈대숲에
숨어우는 바람소리

음악, 그이상의 즐거움,BUGS",윤세원,2000.10.01,7,"발라드, 성인가요/트로트"
환상,"한줄기 바람이 부는 아침
동그란 얼굴이 가슴에 닫는다
싱그런 미소 별 같은 눈빛
눈앞에 보인다
얼굴을 붉히며 뛰어온다
한줄기 바람이 불어온다
모두 사라진다
사라져간다
아침 하늘에 흰 구름만
흘러서간다
흘러서간다

얼굴을 붉히며 뛰어온다
한줄기 바람이 불어온다
모두 사라진다
사라져간다
아침 하늘에 흰 구름만
흘러서간다
흘러서간다",윤세원,2000.10.01,35,"발라드, 성인가요/트로트"
개여울,"1.
당신은 무슨일로 그리합니까
홀로이 개여울에 주저 앉아서
파릇한 풀포기가 돋아 나오고
찬물이 봄바람에 해적일때에

가도 아주 가지는 않노라시던
그런 약속이 있었겠지요
날마다 개여울에 나와 앉아서
하염없이 무엇을 생각합니다
가도 아주 가지는 않노라심은
굳이 잊지말라는 부탁입니다

2.
가도 아주 가지는 않노라시던
그런 약속이 있었겠지요
날마다 개여울에 나와 앉아서
하염없이 무엇을 생각합니다
가도 아주 가지는 않노라심은
굳이 잊지말라는 부탁인지요",윤세원,2000.10.01,10,"발라드, 성인가요/트로트"
물안개,"하얗게 피어나는 물안개처럼 당신은 내가슴속에 살며시 피어났죠
조용히 밀려드는 물안개처럼 우리의 속삭임도 그러했는데
하얗게 지새운 밤을 당신은 잊었나요
그날의 기억들도 당신은 잊었나요
기다림에 지쳐버린 길잃은 작은영혼
온밤을 꼬박세워 널위해 기도하리


조용히 밀려드는 물안개처럼 우리의 속삭임도 그러했는데
하얗게 지새운 밤을 당신은 잊었나요
그날의 기억들도 당신은 잊었나요
기다림에 지쳐버린 길잃은 작은영혼
온밤을 꼬박세워 널위해 기도하리",윤세원,2000.10.01,6,"발라드, 성인가요/트로트"
First Snow,"I'll be so fine

I'll lose your face

one day I wake up the morning

but you run away

I can't believe

you promise me stay in here forever

I leaned on you after taking my heart

I can't feel any more.

Oh , Love is so miserable,

when you feel like me

but I love you miss you tonight

Love is scattered snow, it's so cold like you

But I love you , like the frist snow





I'll be so fine

I'll lose your face

someday I was wake up morning

you run away

I can't believe

you promise me stay in here forever

I leaned on you after taking my heart

Love is so miserable,

I can't feel any more.

when you feel like me

but I love you miss you tonight

Love is scattered snow, it's so cold like you

But I love you , like the frist snow





I'll be you fine

I wanna bring you here

You're in my dreams

I wanna see you here

Cause I wait for so long

(Love is shining. Love is feraful. Love is chidish.

Love is free. Oh - Love is wounded. Love is painful.

Love is black air. Love is tears..)

Love is so miserable,

something poor like me

But I love you, miss you, tonight.

Love is scattered snow, something cold like you

but I love you, like the furst snow",MINUE (노민우),2009.03.05,201,발라드
Twice Too Many Time,"Was it true
I guess my heart was naive
Stuck on you
and now I can't believe
How I trusted
and let you deceive
Twice too many times
I was fooled
but now I'm glad to be free
Thanks to you
now I finally see
Those broken promises
meant nothing to me
Twice too many times
I want to know
Is there something
that you want to say
I'm moving on
now you're loosing
the game that you play
Before I go
I just want you to know
I loved you
Twice too many times
Was it good
Was it worth all the pain
You think
you've got the right to complain
You should have known
it's too late to explain
Twice too many times
I want to know
Is there something
that you want to say
I'm moving on
now you're loosing
the game that you play
Before I go
I just want you to know
I loved you
Twice too many times
It's too late
I won't come back
to you this time
you can't change
no matter how you try
you're on your own
this time
Twice too many times
I wanna know
Twice too mant times
I want to know
Is there something
that you want to say
I'm moving on
now you're loosing
the game that you play
Before I go
I just want you to know
I loved you
Twice too many times
now you're loosing
the game that you play
Before I go
I just want you to know
I loved you
Twice too many times
Twice too many times",손담비,2009.03.24,86,발라드
잊을 수 없다,"술에 취해 눈물을 흘리고
미친듯이 네 이름 불러도
너 없이도 숨 쉬는 가슴이
오늘따라 참 밉다
네가 떠난 것 믿을 수 없어
네가 없는 이 세상도
다 끝인 것 같아
눈을 감아도 너만을 찾는 나
맘을 닫아도 너밖에 없는 나
웃어 보아도
아픈 내 맘을 속이지 못해
어느새 다시 네가 흐르고 있다

우리 이별을 믿을 수 없어
네가 아닌 그 누구도
난 안될 것 같아
눈을 감아도 너만을 찾는 나
맘을 닫아도 너밖에 없는 나
웃어 보아도
아픈 내 맘을 속이지 못해
어느새 다시 네가 흐르고 있다
초라한 내 가슴에 남은 추억은
주인을 잃어버린 그림자 같아
어디도 갈 수 없는 무거운 걸음에
주저앉아 이렇게 우는 나

잊고 싶어서 지우고 지워도
보고 싶어서 아프고 아픈데
행복 하라는
그 말을 차마 할 수 없는 밤
나 아직 그댈 사랑하기 때문에
널 잊을 수 없다",시후,2009.03.24,16,발라드
새벽전화 (Feat. 은지),"연락해볼까 해볼까 말까
열라 망설이다가
결국은 띠띠띠띠띠띠띠
또 네게 전활 걸었어
취했나 안취했나 취했나
나도 헷갈리고 있지만
왠지 오늘밤만은 어찌한대도
후회따윈 조금도 없을 것 같아
잘지내요
아무말 하지 말아요
이제 이런 우리 옳지 않아요
잘살아요
더 이상 연락 말아요
그저 맘으로 내 행복 빌어줘요

잘지내요
아무말 하지 말아요
이제 이런 우리 옳지 않아요
잘살아요
더 이상 연락 말아요
그저 맘으로 내 행복 빌어줘요
잘지내요
더 이상 생각 않아요
지금도 우린 행복하잖아요
잘살아요
더 이상 찾지 않아요
멀리서 서로 행복 빌어줘요",316,2009.03.23,282,발라드
기다리는 사람들,"오늘 하루도 저물어 가요
어제와 다를 것 없는 하루였죠
그댄 누구를 기다리나요
기다리고 있나요
좋은 사람인가요
그는 멋지고 잘난 사람이겠죠
자신감 넘치고 당당한 남자겠죠
그래서 그대가
사랑할 수밖에 없는
바로 그 사람
눈물나게 부러운 사람

오늘 하루도 저물어 가요
어제와 다를 것 없는 하루였죠
그댄 누구를 기다리나요
기다리고 있나요
그도 알고 있나요
그댄 예쁘고 슬기로운 사람
누구보다도 마음 따뜻한 사람
그래도 표현 않으면
누구도 그대 맘 알 수 없어요
그댈 기다리는 나처럼",316,2009.03.23,182,발라드
사랑은 없었다,"잘 가 멈춰진 내 사랑
처음부터 너는 없었다고
모든 것이 꿈이라고
생각하면 할 수록 편안해 지는걸
줄어든 너의 사랑에 익숙해진거야
그래 그냥 다 놓아줘
내 안에 담긴 기억 모두 다
사랑이 없는 사랑이라면
끊임없이 난 힘들어질텐데
마음이 없는 마음이라면
다 필요없어 어짜피 사랑은 없었어

잘 가 힘없는 내 사랑
그동안 우리에 시간이
기억하면 너는 없어
누군가 옆에 있어도 혼자인 느낌은
자유로운 너의 맘이
나를 힘들게해
그래 그래 다 보내줘
긴시간 너의 일을 모두 다
사랑이 없는 사랑이라면
끊임없이 난 힘들어질텐데
마음이 없는 마음이라면
다 필요없어 어짜피 사랑은 없었어",상상밴드,2009.03.27,102,"발라드, 록/메탈"
우리 이제,"우린 이제
그만 연락해요
헤어졌으면서 이러는게 아니죠
한땐 나도 너무 힘들었어
친구로 지내자 안 될 말도 했지만
우리 이제 그만
우리 이제 그만
별일도 아닌데 왜 날 찾았나요
우리 이제 그만
우리 정말 그만
너에게 그리고 내게 사랑은 사치니깐
사랑 사랑
사랑 사랑
기억해 하지마
너란 사람은 몰라
우리 이제 그만
우리 이제 그만
별일도 아닌데 왜 날 찾았나요
우리 이제 그만
우리 정말 그만
너에게 그리고 내게 사랑은 사치라니깐
지독한 습관이 달콤한 추억이
널 그려 낼텐데 굿바이

우리 이제 그만
우리 정말 그만
바보라서 이러나봐요
빨리 나를 잊어요
우리 이제 그만",박정은,2009.03.26,74,발라드
울보처럼,"사랑한다해서
그런 줄 알았어
근데 이별이 그리 쉬워
생각하면 참 나쁜 너였는데
너하나로 울보처럼
매일을 울잖아
바보야 어떻게
어떻게 널 잊어
어떻게 다시 웃고
없던일처럼 살수있어
사랑한다고
날 정말 사랑한다고 했었잖아
그걸 믿던 바보가 나였나봐
아무 일 없다고
아무리 애써도
그게 맘 처럼 쉽질않아
말 안듣는 눈물에 울보처럼
또 심장이 먼저 지쳐
널 자꾸 잊잖아
바보야 어떻게
어떻게 널 잊어
어떻게 다시 웃고
없던일처럼 살수있어
사랑한다고
날 정말 사랑한다고 했었잖아
그걸 믿던 바보가 나였나봐
이별하나에 이렇게 아파
이만큼 울게했으면
그만 떠나가줘

전부였잖아
전부라했잖아
어떻게 모두 지우고
없던일처럼 살수있어
사랑한다고
날 정말 사랑한다고 했었잖아

그걸 믿던 바보가 나였나봐
오늘 하루도 어린 울보처럼",박정은,2009.03.26,81,발라드
바보 (Feat. Y-PEX),"오늘 우연히 너를 보았어
너와 나의 흔적이 자리했던 그곳에서
네게 웃으며 다가가던
나의 숨이 멎어버렸어
넌 너의 손을 잡은 누군가와
함께 있었어
너의 예전과는 다른 요즘에
반해 너무나도 예쁜 모습
괜한 짜증과 작은 다툼으로도
이별을 말했던 이유가 이거니 그래도
너만을 바라본 사랑의 이유가
너를 향한 집착이나 소유가
아니잖아 그러니 난 괜찮아
다만 너는 내게 이렇게 말해주면되
넌 그저 아니라고 해줘
나는 믿어버릴테니
커져버린 사랑이 널 놓지 못해
내가 잘못본거라고 해줘
갑자기 왜 내 차가운 눈물이
내앞을 가리는지
눈이 좋지 않나봐

뻔하디 뻔한 노래가사처럼
변하지 말자 약속했었던 너와나
허나 나와 함께 했던 미소보다
더 환한 너의 얼굴에 난 화가나
하지만 그보다 앞선
이별에 대한 걱정 이미 낯선
그에게 찢겨버린 사랑이란 각서
빛바랜 둘만의 추억이란 낙서
넌 그저 아니라고 해줘
나는 믿어버릴테니
커져버린 사랑이 널 놓지 못해
내가 잘못본거라고 해줘
갑자기 왜 내 차가운 눈물이
내앞을 가리는지
눈이 좋지 않나봐

널 아프게 했던 일들이
서운했던 니 마음이 널 향한 사랑을
시험하려 했던거니
아니면 이젠 나보다
그에 대한 니 마음이
나를 가려버려 난 네게 없는거니
넌 그저 아니라고 해줘
나는 믿어버릴테니
커져버린 사랑이 널 놓지 못해
내가 잘못본거라고 해줘
갑자기 왜 내 차가운 눈물이
내앞을 가리는지
눈이 좋지 않나봐
넌 그저 아니라고 해줘
나는 믿어버릴테니
커져버린 사랑이 널 놓지 못해
내가 잘못본거라고 해줘
갑자기 왜 내 차가운 눈물이
내앞을 가리는지
눈이 좋지 않나봐",네임리스,2009.03.27,34,"발라드, 랩/힙합"
