제목,가사,가수,발매일,좋아요수,장르
"어떡하라고 (Feat. 소울크라이, 태우)","사랑~ 그거 별거 아니 더라고 죽을거 같이 힘들고 미친것 같이 울었는데 다~지난일이 더라고 너도 지금 힘들겠지만..조금만 견뎌봐 사랑은...안아픈 사람은 없는 거니까.........



어떡하라고 너 없이 널위해 사랑한다 쓰고 또 쓴 슬픈편지

하염없이 사랑한다 외쳐보곤 해도 어떡하라고 어떻게 살아가라고 어떡하라고 떠나가면 어떡하라고 오늘처럼 비가 오는 그런 날이면 슬픈얼굴 짖던 새하얀 니얼굴이 사랑한다 사랑한다 그렇게 말을하네~ 나 어떻게 살아가라고 날 까맣게 잊어 가라고 날 이렇게 버려두고서 가 (널 데려가~)널 이렇게 잊어보려고 널 그렇게 미워해봐도 널 미치게 그리워해도 난나였던걸~



어떡하라고 날 버리고 가니 널 어떡하라고 널 그리워하는걸

어떡하라고 내맘속에 있는 그댈 지우고 또 지워도 자꾸만 떠올라 어떡하라고 어떻게 살아가라고 어떡하라고 나 살아갈 자신 없어 어떡하라고 나 잊을수가 없어 어떡하라고 떠나가면 어떡하라고 어떡하라고 너없이 무얼 위해 사랑한다 쓰고 또 쓴 슬픈편지 하염없이 사랑한다 외쳐보곤 해도 어떡하라고 어떻게 살아가라고 어떡하라고 떠나가면 어떻하라고 오늘처럼 비가오는 그런 날이면 슬픈 얼굴 짖던 새하얀 니얼굴이 사랑한다 사랑한다 그렇게 말을 하네~



나 어떻게 살아가라고~ 날 까맣게 잊어가라고~ 날 이렇게 버려두고서 가~ 널 데려가 널 이렇게 잊어 보려고 널 그렇게 미워해봐도 널 미치게 그리워 해도 난 나였던걸~ 나 어떻게 살아가라고 날 까맣게 잊어가라고 날 이렇게 버려두고서 가 널데려가~ 널 이렇게 잊어보려고 널 그렇게 미워해봐도 널 미치게 그리워 해도 난 나였던걸~~~~~널 어떻게~~~어떡하라고",데니스프로젝트,2009.03.02,42,발라드
고장 난 시간,"또 머리가 깨질 것만 같다
지독한 그리움은 끝나질 않고
참 부지런히도 내 머릴
아픈 기억들을 건드리는 너
또 심장이 멈출 것만 같다
외로운 시간 속에 지쳐만 가고
내 답답한 가슴에 남은
절대 끝나지 않을 기다림
널 사랑했는데 내 전부였는데
그렇게 너 하나뿐이었는데
난 너의 곁에서 살고 싶은데
왜 넌 나를 떠나 간거니

또 눈물이 멈추질 않는다
서러운 시간들은 멈춰 있는데
난 어두운 방안에서만
끝내 하늘을 못 볼 것같아
널 사랑했는데 내 전부였는데
그렇게 너 하나뿐이었는데
난 너의 곁에서 살고 싶은데
제발 내게 올 수 없겠니
고장 난 시간 속에서
네 모습 찾을수 없어 고개만 흔드네
정말 널 사랑 했는데 모두 다 줬는데
너 하나 믿고 내가 살았는데
왜 나를 떠났니 아프게 하니
제발 내 시간을 돌려줘",권지후,2009.03.03,8,발라드
비몽 (悲夢),"이별을 말하고 있나요
들리지가 않아요
심장이 멈추죠
그런데 왜 내가 아픈거죠
아니죠 떠단다는 그말
이렇게 쉽게는 안되요
이제껏 우리 나누던 모든
것들이 어떻게 반이되요
가져가지마요 내 가슴의 반쪽
도려내면 살아야할
이유가 없어지니까
내말이 들리나요
나 어떻게 견뎌야 하죠
제발 가져가지마요 제발

그래요 아무것도 없죠
그대가 없으면 내가 아니죠
모자라지만 넘치는 그대이기에
억지로 담았나요
가져가지마요 내 가슴의 반쪽
도려내면 살아야할
이유가 없어지니까
내눈이 보이나요
나 이렇게 아파오네요
제발 가지마요
떠나가지마요
무너지는 내 모습에
그대도 힘들잖아요
이게 끝인가요
아니라고 아닌거라고
제발 단 한번만 말해줘요",세룰리안 블루,2009.03.04,33,발라드
그렇게,"기억해 한 순간이라도
미안해 널 울게 한 나
그렇게 내 손에서
떠나는 널 사랑한거야
기억해 또 한번 너에게
사랑을 약속했던 날
그렇게 한 걸음
더 다가간 그 순간
나를 기억해

내 맘에 가득
내 안에 널 채워갈 때에
간절한 그 손길이
어느새 더 깊이 다가와
늘 이유 없이 보고 싶어서
잠 못 이룰 때
언제나 그래왔듯
너와 나처럼 영원까지
떨어져 그리워한
지난 그 사람보다
이젠 내가 더 사랑할거야
기억해 한 순간이라도
미안해 널 울게 한 나
그렇게 내 손에서
떠나는 널 사랑한거야
기억해 또 한번 너에게
사랑을 약속했던 날
그렇게 한 걸음 더 다가간
그 순간 나를 기억해
그저 다시 보는 그 길은
내게 행복이란 걸
눈 앞에 너라는 게
꿈처럼 믿기지 않았던
첨 만남처럼 설레었던 그 시간들이
나에겐 너무나도
바래왔던 내 마음인걸
떨어져 그리워한 지난 그 사람보다
이젠 내가 더 사랑할거야
기억해 한 순간이라도
미안해 널 울게 한 나
그렇게 내 손에서
떠나는 널 사랑한거야
기억해 또 한번 너에게
사랑을 약속했던 날
그렇게 한 걸음 더
다가간 그 순간 나를 기억해",정철 (최정철),2009.03.06,54,발라드
자유,"내가 너무나 몰라서
아무것도 아는 게 없어서
내 팔이 묶인 것도
내 다리의 족쇄조차도 몰랐어
껍질 속에 갇혀 있어서
볼 수 있는게 없어서
하늘이 파랗단 것도
태양이 뜬다는 것도 몰랐어
그런데 이제 이 노래가
날 눈 뜨게 해
나를 알게 해
나를 진정으로 살게해
자유 자유 자유 나를 다시 날게 할
자유 자유 자유
새로운 태양을 보게 해 줄
자유
쥐도 자극을 받으면 마치
우리와 같이
지성이 있는 것 같이
미롤 빠져나가고 치즈를 찾지
그런 걸 보다보면 착각에 빠지곤해
하지만 쳇바퀴를 계속 맴도네
촛불 앞에 다른 짐승처럼 두려움에 떠네
운하 앞에 물을
건너길 무서워 하네
그래 쥐에게 무슨 자유
허나 나 똑같았네
그걸 몰랐던 내가 부끄러워
하지만 이제 날 수 있어 나
다를 수 있어 쥐완
어둠 속에서 불빛이 될 수 있단 믿음
옳은 일을 할 수 있어
cause i've got freedom
그런데 이제 이 노래가 날 눈 뜨게 해
나를 알게 해 나를 진정으로 살게해
자유 자유 자유
나를 다시 날게 할
자유 자유 자유
새로운 태양을 보게 해 줄
내 붉은 피가 흘러서
세상을 다 물들여서
그 자리에 꽃이 피게 할 수 있다면
그 이름아래 쓰러져
내 이름이 잊혀져
간다해도 행복할 수 있는
자유 자유 자유 나를 다시 날게 할
자유 자유 자유
새로운 태양을 보게 해 줄
자유 자유 자유
put your hands up in the air
자유 자유 자유
Only thing that you need is there
자유 자유 자유
put your hands up in the air
자유 자유 자유
Only thing that you need is there",에이트,2009.03.10,78,발라드
내게 돌아와,"나 말안했지만 알고있어 나에겐 너뿐이란걸

긴 기다림을 준비해왔던 너의 마음을 이젠

이해할수있어



넌 내게 말했지 멀지 않은 곳에서 기다린다고

다 가질수는 없는거라고 말 하던 너의그입술을

지울수 없었던거야 매일



내게 돌아와 힘이들땐언제나 나도 너처럼

잘해줄수있게 철없었던 어린날의 내모습

모두다 잊을수있게.



(간주)



늘 같은 자리에 있어줬던 너에겐 고마울뿐야

긴 기다림의 끝이 온거야 나 에겐 너하나 뿐인걸

이제는 느낄수있어 매일



내게 돌아와 힘이 들땐 언제나 나도 너처럼

잘해줄수 있게 철없었던 어린날의 내모습

이젠 모두다 잊을수있게 날 용서해 널아프게했던 날을

우리들앞에 수많은 날들을 행복하게

채워갈수 있도록 나에게 돌아와줄래

나에게 돌아 와줘.",V.One,2003.01.19,104,발라드
헤어지는 중입니다 (MR),"햇살이 눈부셔 눈을 감고 말았죠

흐르던 눈물이 멈추질 않네요

가까스로 일어나도 다시 휘청거려요

이제는 정말 끝인가요



보란듯이 살거야 나약해지면 안돼

그 사람보다 더 행복해져야 돼

절대 뒤돌아 보지마

이런 못난 가슴아

왜 혼자서 난 멈출줄 모르니



사랑해서 후회없다던 사랑해서 보내준다던

잔인한 거짓말 어떻게 그럴수 있어

사랑한다면 왜 이렇게 힘들게 하는지



이별했죠 이별한거 맞죠

심장이 미쳐서 아직도 착각하고 있나봐요

미련한 내가 나조차 너무 싫은데

서러움에 내 맘이 무너져요



정말 지운건 아닌지 덜컥 겁이 나 울죠

당신 없는 나 이렇게 살아요



사랑해서 후회없다던 사랑해서 보내준다던

잔인한 거짓말 어떻게 그럴 수 있어

사랑한다면 왜 이렇게 힘들게 하는지



이별했죠 이별한거 맞죠

심장이 미쳐서 아직도 착각하고 있나봐요

미련한 내가 나조차 너무 싫은데

서러움에 내 맘이 무너져요



정말 지운건 아닌지 덜컥 겁이 나 울죠

당신 없는 나 어떻게 살아요",이은미,2009.03.10,153,발라드
생각나 자꾸 니가,"생각 나 자꾸 니가
또 생각 나 자꾸 니가
또 생각 나 자꾸 니가
그리워져 너무
눈물 나 참아봐도
또 눈물 나 참아봐도
눈물이 나 참아봐도
너 때문에
밤새워 전화기만 쳐다봐
술 김에 니가 전화할지도 몰라서
이렇게 애태우고만 있는데
생각 나 자꾸 니가
또 생각 나 자꾸 니가
또 생각 나 자꾸 니가
그리워져 너무
눈물 나 참아봐도
또 눈물 나 참아봐도
눈물이 나 참아봐도
너 때문에
한동안 잘 참아왔었는데
갑자기 밥을 먹다 울었어
이제는 잊혀질 때가 된 것만 같은데
생각 나 자꾸 니가
또 생각 나 자꾸 니가
또 생각 나 자꾸 니가
그리워져 너무
눈물 나 참아봐도
또 눈물 나 참아봐도
눈물이 나 참아봐도
너 때문에
생각 나",수빈,2009.03.12,25,발라드
GRB 080913 (Feat. 연진) (Solo. 성진환),"어느새 캄캄해
이게 다 뭔가 싶어
발버둥쳐봐도 먼지같은 하루
이렇게 살다가 그렇게 가겠지
갑자기 사라져도
아무것도 변하지 않아
그때 나타난 오렌지빛 작은 점
머릿속을 혜성처럼 스쳐간 건
백년이 채 안되는 시간을
나에게 벌어주려고 우주는
137억년동안 그렇게
쉼없이 멀리 팽창해왔음을

우리들 인생에
너무 늦은 건 없어
128억광년 그 머나먼 거리를 돌고
돌아 도달한 저 빛을 봐
언제든 상관없어 내 삶의 축복을
느끼는 순간이 온다면
그때 비로소 저 과거의 별들도
하나하나 기쁜 의미를 가지는 것
백년이 채 안되는 시간을
나에게 벌어주려고 별들은
137억년동안 그렇게
수없이 불타사라져 갔음을

가족이 있든 없든 피부색이
어떻든 우리는 우주에요
서로 다른 신 아래
서로 다른 법 아래 살아도 우주에요
다시는 보기 싫은 때려주고 싶은
그녀석도 우주에요
그 모든 별들의 역사를
고스란히 담고 있는 우린 우주

백년이 채 안되는 시간을
나에게 벌어주려고 우주는
137억년동안 그렇게
쉼없이 멀리 팽창해왔음을
백년이 채 안되는 시간을
나에게 벌어주려고 별들은
137억년동안 그렇게
수없이 불타사라져 갔음을",스윗소로우 (SWEET SORROW),2009.03.12,496,발라드
다시,"사랑이란 두 글자를 잊고
이제 너를 위해서 나를 떠나가라고
추억이란 두 글자를 잊고
슬픈 마음 감추며 너를 떠나간다고
부족했던 나를 바보처럼 아낀 너라서
그게 너라 싫어서 이젠 보낼께
사랑하기때문에
그녀를 다시 이제는 다시
다시는 나를 사랑하지 못하게 널 떠나
지금 이렇게 가슴 아프지만
Baby 너는 날 다시
널 위해 살아갈 수 있는 나라면 그때는
두번 다시는 너를 놓지 않을께

이별이란 두 글자를 몰라
오늘도 난 이렇게 너만 바라보는데
바보같던 너를 부족하게 아낀 나라서
그게 나라 싫어서 너를 떠날게
사랑하기 때문에
그녀를 다시 이제는 다시
다시는 나를 사랑하지 못하게 널 떠나
지금 이렇게 가슴 아프지만
Baby 너는 날 다시
널 위해 살아갈 수 있는 나라면 그때는
두번 다시는 너를 놓지 않을께
다른 사랑 찾아 떠나도 슬퍼 안할께
못난 나라서 붙잡지도 않을께
시간이 흐르고 흐른뒤에
너를 아낄 내가 될때
그땐 니가 오길 바랄께
그녀를 다시 이제는 다시
다시는 나를 사랑하지 못하게 널 떠나
지금 이렇게 가슴 아프지만
Baby 너는 날 다시
널 위해 살아갈수 있는 나라면
그때는 두번 다시는 너를 놓지않을께

Baby 너는 날 다시
널 위해 살아갈 수 있는 나라면 그때는
두번 다시는 너를 놓지 않을께

두번 다시는 너를 놓지 않을께",썸데이,2009.03.12,25,발라드
