제목,가사,가수,발매일,좋아요수,장르
가슴이 하는 말,"그대가 내 맘에 들어와
하루종일 내 맘을 흔들어놔
참 우습다
언제부터 였는지도 몰라
하고 싶은 말들이 너무 많아
사랑한다 말해도 될까요
보고 싶어 잠이 오질 않죠
나 가슴 속에 숨겨왔던 이 말
미치도록 뛰는 내 심장이
너무 커져버린 내 마음에
난 겁이 나요
자꾸 눈물이 나죠
혹시나 내 맘을 아는지
얼마나 내 맘을 애태우는지
참 나쁘다
다른 곳만 보는 그대라서
내 마음이 내 가슴이 아파와
사랑한다 말해도 될까요
보고 싶어 잠이 오질 않죠
나 가슴 속에 숨겨왔던 이 말
미치도록 뛰는 내 심장이
너무 커져버린 내 마음에
난 겁이 나요
자꾸 눈물이 나죠
이렇게 아픈 내 맘을
그댄 알까요
내가 지치기 전에
다가와 줄래요
한 걸음만 더 다가와줘요
사랑한다 네게 말할까요
보고 싶다 말할까요
그대 맘 알고 싶어
솔직히 말해줘
미치도록 뛰는 내 심장이
너무 커져버린 내 마음에
난 겁이 나죠
그대 내게 와줘요",정민경,2012.12.28,80,발라드
너를 보다,"행복해서 너무 행복해서
눈물이 많아서
좋아서 너무 좋아서
더 힘들게 했어
알면서도 내가 만든 말
bye why bye
좋아서 너무 좋아서
내가 또 그랬어
안녕 나를 위한 사랑
아파만 할 사랑
goodbye
마지막 선물로 준 말
안녕 사랑해란 말로
그런 예쁜 말로
너를 보냈던 나를 용서해
안녕히 goodbye
너 걱정하는듯
매서운 시선들 다 상관없어
너무나 좋아서 니가
욕해도 좋았어
잘못인줄도 몰랐어
상처받은 내 맘 안녕
안녕 나를 위한 사랑
아파만 할 사랑
goodbye
마지막 선물로 준 말
안녕 사랑해란 말로
그런 예쁜 말로
너를 보냈던 나를 용서해
사랑한단 말로 사랑해란 말로
니가 없이 나 어떡해
어떡하니 란 말로 너의 마음
약하게 그 마음 아프게
만들었던 나를 용서해",소원,2012.12.28,109,발라드
이 노래를 그대가 들을 수 있다면,"어떤 음악을
좋아 하는지
어떤 성격을
좋아 하는지
알 수가 없어
이 노래를 그대가
들을 수 있다면
내 목소리를 들으며
기억해준다면
작은 상자 안에 있는
그댈 만날 수 있다면
내 곁에 그댈 두고서
얘기할 수 있다면
좋을 텐데
이 노래를 그대가
들을 수 있다면
내 목소리를 들으며
기억해준다면
작은 상자 안에 있는
그댈 만날 수 있다면
내 곁에 그댈 두고서
얘기할 수 있다면
좋을 텐데
어딜 가든 그대의 모습이
눈앞에서 아른 거리고
힘없이 떨어진
낙엽처럼
산산이 부서져
버릴 날 아나요
이 노래를 그대가
들을 수 있다면
내 목소리를 들으며
기억해준다면
작은 상자 안에 있는
그댈 만날 수 있다면
내 곁에 그댈 두고서
얘기할 수 있다면
이 노래를 그대가
들을 수만 있다면
나라는 사람을 나라는
사람을 알아준다면
알아준다면",를 (LEL),2012.12.28,370,발라드
체념,"이럴거면 왜 날 만났니
돌아서서 그만 잊어버릴걸
난 너에게 모든걸 줬잖아
니가 없으면 난 아무것도 아닌데
아니라고 애를 써봐도
이미 너는 내곁에 없는 사람
널 지우려해봐도
잊으려해도
바보처럼 눈물만 흘러내려
너 돌아오라고
너 언젠간 돌아온다고
매일 주문을 걸고
멍하니 시계만 보고
왜 난 바보 같은지
왜 널 잊을 수 없는지
아직도 줄 사랑이 남았나봐
이럴려고 날 사랑했니
수많은 약속들은 다 지워져
함께했던 시간이 그 추억들이
거품처럼 사라지는게 싫어
너 돌아오라고
너 언젠간 돌아온다고
매일 주문을 걸고
멍하니 시계만 보고
왜 난 바보 같은지
왜 널 지울 수 없는지
아직도 줄 사랑이 남았나봐
너무나 비참한걸 나도 잘 알지만
미치도록 널 보고싶어
잘 지내냐고 내 생각은 하냐고
너에게 난 묻고 싶은데
돌아올거야 너 언젠간 돌아올거야
내가 틀렸다해도
니 자리 비워 둘거야
못다준 내 사랑이
맘 속에 너무 많아서
이대로 보내기가 어렵나봐
영원히 너만을 기다릴거야",연아,2013.01.02,31,발라드
"세이러브 (Feat. 리틀에스, 한지은)","You're one for me
I'm one for you
멈출 수가 없는
내 맘을 알겠니
You're one for me
In my heart
이젠 너 없는 난
상상도 못해
love with you
아무것도 걱정 하지 마
아무것도 필요 없는 걸
baby take my hand
hey hey hey boy
갈 곳 없이
길 잃은 내게 hello
나를 안아준 너는 나의 hero
달콤한 그 미소하나로
족해
미치도록 사랑해
난 정말로 행복해
널 향한 내 사랑은
폭탄 sale
그리고 달콤한
kiss를 원해
나는 네게 매일
가슴 터질듯 한 사랑을
보여주는 사람
내 팔을 품에 안고
미소 짓는 사람
You're one for me
I'm one for you
멈출 수가 없는
내 맘을 알겠니
You're one for me
In my heart
이젠 너 없는 난
상상도 못해
love with you
아무것도 걱정 하지 마
아무것도 필요 없는 걸
baby take my hand
hey hey hey boy
하루 1분 1초라도
보고 싶다는 여자
조금만 아프대도
밤새 걱정해주는 여자
잠든 사이 꼭
잘 자라고 톡톡
메세지 남겨주는
그런 착한여자
말로 못해 네가
얼마나 이쁜지
말로 표현 못해
내 사랑이 얼만지
눈부시게 아름다운
사랑스러운 천사
우리 이쁜 사랑하자
You're one for me
I'm one for you
멈출 수가 없는
내 맘을 알겠니
You're one for me
In my heart
이젠 너 없는 난
상상도 못해
love with you
아무것도 걱정 하지 마
아무것도 필요 없는 걸
baby take my hand
hey hey hey boy
매일 좀 더 가까이
내 맘 속에 들어와 봐
I just fall in love
because of you
oh you
ooh baby love
girl only you yeah
girl only you yeah
너만 있어 주면 돼
You're one for me
I'm one for you
멈출 수가 없는
내 맘을 알겠니
You're one for me
In my heart
이젠 너 없는 난
상상도 못해
love with you
just you
only you yeah
oh oh oh
I love you forever
I'll be by your side
I'll be by your stand
because of you",어반 그레이,2013.01.03,75,발라드
눈의 꽃,"희미해진 너의 모습은
흐르는 눈물 때문이겠지
내가 정한 이별의 순간에
우리둘만의 사랑
원치 않은 주위의
많은 시선들속에
이제는 나도 지쳐버렸어
하지만 우린
사랑 변치 않겠지
어쩔 수 없는
이별의 뒤에서
더 이상 함께
할 수 없다고 해도
영원히 내 맘속에
간직할께
한참동안 길을 걷다
생각이 날 때
너에게 마음속으로
전화를 했지만
슬픈 너의 목소릴
뒤로 한 채 눈물로
한말은 굿바이
수많은
사람들 중에서 우리가
만날수있던건 기적일거야
너를 사랑할수
있던 것만으로
나는 축복받은
사람이겠지
한참동안 길을 걷다
생각이 날 때
너에게 마음속으로
전화를 했지만
슬픈 너의 목소릴
뒤로 한 채 눈물로
한말은 굿바이
한참동안 길을 걷다
생각이 날 때
너에게 마음속으로
전화를 했지만
슬픈 너의 목소릴
뒤로 한 채 눈물로
한말은 굿바이",아유리,2013.01.07,5,발라드
소중한 사람 Part. 2,"이 세상에 단 하나뿐인 나의 사랑
소중한 내 사람
그저 바라만봐도 아까운 사람
그대를 사랑합니다
우리 긴 세월을 걷다가 보면
흐린 날도 아픈 날도 있겠지만
그대의 아픈 상처를
내가 감싸줄게요
이런 나를 믿어주세요
당신은 나의 소중한 사람
그저 바라만 봐도 아까운 사람
너무나 부족한 날 아껴준 내 사람
당신만을 난 사랑합니다
이 세상에 단 하나뿐인
나의 사랑 소중한 내 사람
그저 바라만 봐도 아까운 사람
소중한 내 사람
이 세상에 단 하나뿐인
나의 사랑 소중한 내 사람
그저 바라만 봐도 아까운 사람
그대를 사랑합니다
우리 잡은 두 손 놓지 말아요
내가 당신 곁에 항상 있어줄게요
당신이 아프거나 힘들땐 말해줘요
사랑으로 내가 감싸 줄게요
이 세상에 단 하나뿐인
나의 사랑 소중한 내 사람
그저 바라만 봐도
아까운 사람 소중한 내 사람
이 세상에 단 하나뿐인 나의 사랑
소중한 내 사람
그저 바라만 봐도 아까운 사람
그대를 사랑합니다
사랑해라는 말보다
더 좋은 말들은 없나요
기쁠때나 슬플때도 당신은 내 사랑
그저 바라만 봐도 아까운 사랑
소중한 내 사람
사랑합니다 사랑합니다
그대를 사랑합니다 영원히
그대를 사랑합니다",윤지후,2013.01.07,18,발라드
미워하자 사랑하자,"이럴거니
정말 이럴거니
대체 얼마나 아파야해
이제 아니라고
다시 못본다고
내가 얼마나 말해야해
목 놓아 불러도
두 눈이 짓물러도
두번 다시 내겐
오지않을 사람인데
미워하자
그래 미워하자
그게 마지막
내가 사는 길 인데
사랑하자
그래 사랑하자
왜 내 가슴은
이렇게 너만 찾는지
단 하루도
살수가 없잖아
제발 이제 그만
너를 지워 버리고 싶다
미워하자
좋았자나
그땐 좋았자나
그래 그 추억으로 살자
내가 아니라고
싫어진거라고
나를 떠나간 사람인데
어디가 좋다고
어디가 그립다고
잠도 못잘만큼
내가 나를 아프게해
미워하자
그래 미워하자
그게 마지막
내가 사는 길 인데
사랑하자
그래 사랑하자
왜 내 가슴은
이렇게 너만 찾는지
단 하루도 살수가 없잖아
제발 이제 그만
너를 지워 버리고 싶어
이렇게도 날
아프게 했던 사람이지만
너에게 못한일만
생각이 날까
원망조차 할 수 없는걸까
그만하자
그래 그만하자
그게 서로가
살아가는 길인데
기다리자
그래 기다리자
내 가슴은 또
이렇게 너를 부른다
너 없이 난 살수가 없어서
지친 내가슴이
내게 웃으며 말을한다
사랑하자",조원민,2013.01.08,11,발라드
녹슨못 (부제: '26년') (Vocal By 진구),"오래전 일이라 숨겨봐도
다 지난 일이라 잊어봐도
나도 몰래 박혀진
녹이 슬어버린
못 하나 뺄 수 없다
모두 다 잊은 듯 살아봐도
세월이 약이라 말해봐도
눈물인지 모르게
흘러버린 아픔 때문에
지우질 못해
혼자 보내야
했던 비겁함에
아파도 뺄 수 없는
못이 박혔다
따라 갈 수 있다면
갈 수 있다면
너를 따라서 가야만 했다
시간이 갈 수록 선명하다
놓쳐진 니 손이 따뜻하다
이 세상도 멈추고
내 심장도 멈춰버렸다
그 날 이후로
혼자 보내야 했던
비겁함에
아파도 뺄 수 없는
못이 박혔다
따라 갈 수 있다면
갈 수 있다면
너를 따라서 가야만 했다
녹이 슬어서
다 썩어 버려서
독이 되어 퍼져만 간다
못난 내게 주어진
고통이라
아파도 뺄 수 없는
못을 남긴다
따라 갈 수 있다면
갈 수 있다면
너를 따라서
가야만 했다
너를 위해서
가야만 한다",드라마틱스,2013.01.09,135,발라드
차마,"차마 널 붙잡을 수는
없었던 거야
날 마주하는 눈빛
예전에 네가
아니었기에 차마
날 떠나가는 너의
뒷모습만을 바라보면서
말 없는 눈물만
차마 널 두번 다시는
안볼 것 같아
내 눈물 속에 넌
단 한번 돌아보지
않으니 차마
사랑 이제는
내 마음에 비겁하게
스며드는 말
나를 시들게 하는 말
You hurt deep in my heart
I never love you more
시간이 흐르면
모두 잊혀질 거라고
했었나요
왜 나는 그 말이
믿기질 않죠
이별의 이유조차
말 못하는게
날 위한 건가요
거짓말보다 더
가슴이 아픈건
미움이 남는건
너의 떠나는 모습
I never love you more
시간이 흐르면
모두 잊혀질 거라고
했었나요
왜 나는 그 말이
믿기질 않죠
이별의 이유조차
말 못하는게
날 위한 건가요
거짓말보다 더
가슴이 아픈건
미움이 남는건
너의 떠나는
차마 말 못하는
그 이유를 알기에",배샛별,2013.01.09,26,발라드
