제목,가사,가수,발매일,좋아요수,장르
"Baby, Don't Cry (人魚的眼淚)","ni jiu bie zai you yu le hao ma
jiu qing na zou wo de xin zang
na xiang yi dao hen
ci yan de guang mang
lian ye de yue guang
ba yan jing guan shang
ru guo bu shi wo shi bie de nan ren
ru guo zhi shi xi ju li mian de yi ju hua
shao gan le jiu ba
wo yuan he ni de ai jiao huan shang hen
Baby Don't Cry Tonight
dang hei ye zai ci liang qi lai
Baby Don't Cry Tonight
jiu dang zuo mei fa sheng guo yi yang
ni yong yuan dou bu hui hua
cheng xiang pao mo yi yang
nan dao ni bu zhi dao ma
So Baby Don't Cry Cry
wo de ai shou hu ni bu fen kai
fang xia ni zui bu an de xin fang
jiu qing jie shou ming yun ba
wo xiang wo ai bi
geng duo de lian ren a
hai geng jia bei de qu ai shang
When You Smile Sun Shine
tai chan lan de rang
wo dou shuo bu chu lai
zheng ke xin qi bo lang
pa sui le jiu ting xia lai
Baby Don't Cry Tonight
zai bao feng lai long de ye
Baby Don't Cry Tonight
hao xiang hen shi he zhe ge ye wan
dan zhe yi shun jian de ji
qing bu neng gou yan chang
que yao mu song ni li kai
So Baby Don't Cry Cry
jiu rang wo de ai xiang ji yi ba
dao chu yin yin de chen chen
de leng kong qi
xian ru le cheng wei
li bie de teng tong li
kuai yao zhi xi tong dao wu li
wei you ni de xiao rong shi
zhen tong ji
wo de ren xing yue gui
xi wang wo men de gu shi you jie wei
Don't Cry
bu xiang ni bei shang luo lei
ning yuan ni dui wo shi leng mo de
Say No More
Baby
No More
Don't Cry
bu yao you yu bu yao
zheng zha dang
zhe yi qie dou kai shi beng ta
Say No More
Baby
No More
Don't Cry
qing rang wo ke yi bao
liu zui hou de zun yan
huo zhe qing jiang wo zhi jie hui mie
ni de yan shen chong man le yue guang
baby woo
wu sheng wu xi zai tong ku li liu tang
zhe chun jie de guang
Baby Don't Cry Tonight
dang hei ye zai ci liang qi lai
Baby Don't Cry Tonight
jiu dang zuo mei fa
sheng guo yi yang
ni yong yuan dou bu hui hua
cheng xiang pao mo yi yang
yao yong yuan dou bu zhi dao
So Baby Don't Cry Cry
wo de ai shou hu ni bu fen kai
jiu kan qing chen de
yang guang sa xia lai
xiang ni yi yang yao yan de sa xia lai
wo xiang wo yan jing mi lu xian zai cai
Cry Cry Cry",EXO,2013.06.03,"21,496",발라드
My Lady (Chinese Ver.),"She's my baby zai chun bai ru
xue zhi jian
rong hua diao de chocolate
You're walking into my door
Oh yeah
She's my lady zai yi man guang
cai chun bian
wo shi fu lu zao yi lun xian
I'm running into your heart
Oh yeah
rang wo duo kan ni yi yan
don't lie cheng shi yi dian
it's gonna be easy
di yi ci ti hui gan shou tian mi
de harmony
Don't be too late
bu xiang zuo peng you wo yao
zuo ni yan li de wei yi
bu xiang zuo ping fan mo mo wo
yao wei yi zi ge qu shou hu ni
bu xiang zuo peng you zai ni
zou jin wo shi xian li yi hou
zhi yong yan yu ye bu gou Lady
zhi dui ni zhao le mi
luan qi ba zao man yi de si xu
ni mian qian diao luo yi di
wo gei ni bie jiao de ai de gao
bai Are you ready for love
bi zuan shi dou mei li xiang
yao dao zou ni de yan mou
Oh my baby jiu xiang dai zai na
yan li meng jian dao ni
bie jia zhuang ni bu dong ba wo
ying zai ni de yan li
bie duo bi wo mu guang wo jue
bu fang qi qu ai ni
ni zai kao jin wo yi dian
don't stop ruo ke yi bao jin ni
Everything's alright
buduan zai liabo er ji suma
de melody
Don't be too late
bu xiang zuo peng you wo yao
zuo ni yan li de wei yi
bu xiang zuo ping fan mo mo wo
yao wei yi zi ge qu shou hu ni
bu xiang zuo peng you zai ni
zou jin wo shi xian li yi hou
zhi yong yan yu ye bu gou Lady
zhi dui ni zhao le mi
bu xiang zuo peng you my lady
zhi yong yan yu ye bu gou Lady
zhi dui ni zhao le mi
She's my baby zai chun bai ru
xue zhi jian",EXO,2013.06.03,"20,914",발라드
피아노맨,"우연히 길을 지나다 한번쯤은
들어본 멜로디
어떻게 시작했는지 어떻게 끝나는진
잘 기억할 순 없지만 어렴풋하게
기억날 뿐이지만
참 행복했었던것 같아
한참을 길을 걷다가 내 노래를
듣게된 다면은
널위해 피아노 앞에 앉아 있던
내 모습도
혹시 기억하고 있다면 아직 나를
기억하고 있다면 난
널위해서 노래할게 이 노래를
라 라랄라 라랄라라 랄랄라 라
라 라랄라 라랄라라 랄랄라 라
나를 기억해줘 기억 속에 내가
바라는 나의 모습은
언제나 널위해서 노래하는
피아노맨
너무 많이 힘들때 생각나는
사람이 있다면
너무 나도 행복해 함께하고픈 사람이
지금 너의 옆에 있다면 사랑하는
사람과 함께라면 난
노래할게 이 노래를 널 위해서
나를 기억해줘 기억속에 내가
바라는 나의 모습은
언제나 널위해서 노래하는 피아노맨
새하얀 건반처럼 밝은 니 미소를
기억해
날 기억해줘
라 라랄라 라랄라라 랄랄라 라
라 라랄라 라랄라라 랄랄라 라
나를 기억해줘 기억속에 내가
바라는 나의 모습은
언제나 널위해서 노래하는 한사람
사랑하는 널위해 노래하는 피아노맨",LEN,2013.06.05,33,발라드
Don't Go,"널 되돌리기엔
니 맘 저 멀리
이미 먼 곳에
널 멈출 순 없겠지
내 맘 같지 않지
되돌리기엔
어떡해야 니 눈물에
니 상처를 안아줄까
어떡해야 니 맘 속에
내 맘 다시 보여줄 수 있을까
얼마나 더 아파해야
너 다시 내게 돌아와주겠니
지금 이 순간
이 슬픔이 지독한 이
악몽이 사라지게
Don`t Go away
Don`t Go away
Don`t Go away
내 맘 속 너의 자릴 만들게
Don`t Go away
Don`t Go away
Don`t Go away
너 다시 눈물 흘리지 않게
어떡해야 니 향기를
니 온기를 다시 담을까
어떡해야 널 떠난 이 자리
다시 채울 수 있을까
얼마나 더 아파해야
너 다시 내게 돌아와주겠니
지금 이 순간
이 슬픔이 지독한 이
악몽이 사라지게
Don`t Go away
Don`t Go away
Don`t Go away
내 맘 속 너의 자릴 만들게
Don`t Go away
Don`t Go away
Don`t Go away
너 다시 눈물 흘리지 않게
내 맘 속 너의 자릴 만들게
Don`t Go away
Don`t Go away
Don`t Go away
너 다시 눈물 흘리지 않게",피아 (PIA),2013.06.05,103,"발라드, 국내드라마"
나이기를 (Promise You) (Piano Ver.),"I will promise you forever
널 지켜줄게 언제나
니곁에 있어줄게
오래도록 니 손을 잡아준 사람
나이길 나이길
with you
바래다주는 길이 아쉬워
평생 곁에 두고 싶은 마음
밝은 저 별빛마다
너의 미소 같아서
자꾸 행복해지는 날
I will promise you forever
널 지켜줄게
언제나 니곁에 있어줄게
오래도록 니 손을
잡아준 사람
나이길 나이길
with you
다른 공간속에 살았지만
이제는 같은 꿈을 꾸잖아
쓸쓸했던 빈자리
이젠 너로 채우고
너와 함께 있고 싶어
I will promise you forever
널 지켜줄게
언제나 니곁에 있어줄게
오래도록 니 손을
잡아준 사람
나이길 나이길
with you
너라서 더 고마워
my baby
내 품에 넌 안겨 행복하도록
이별에 다시 울지 않도록
오래도록 내가 지켜줄 한 사람
너이길 너이길 영원히 내 곁에
평생토록 널 보살펴줄 한사람
나이길 나이길
love you",2BIC(투빅),2013.06.05,376,발라드
남자는 가슴으로 웁니다,"오늘처럼 눈이 부시도록
햇살이 비추는 날엔
그리운 너무 그리운
사람이 있죠
바람처럼 잡을수없어
그 사람이 지나가 버린 자리엔
외로운 낙엽만
여기저기로 흩날리고 있죠
멍하니 바라보다가
고개를 떨구죠
남자는 웁니다
가슴으로 웁니다
보고 싶어도 보고 싶다는
말도 가슴으로만
되뇌여봅니다
곁에 있을땐 잘하지 못했던
그 한마디 사랑한다
되뇌여봅니다
서로에게 짐이 되었었던
그때가 생각이나요
무거운 너무 무거운
사랑이었죠
사람에게 받았던 상처
사람으로 아물게 해준다는 말
지키지 못하고
덜어 내버린 가벼운 가슴이
이제야 말을하네요
후회가 된다고
남자는 웁니다
가슴으로 웁니다
보고싶어도 보고싶다는
말도 가슴으로만
되뇌여봅니다
곁에 있을땐 잘하지 못했던
그 한마디 사랑한다
되뇌여봅니다
그리운 사람
잘 지내고 있나요
그리워서 미운
이 마음은 왜인걸까
남자는 웁니다
가슴으로 웁니다
가슴이 웁니다
소리쳐도 봅니다
사랑합니다 사랑합니다
속으로만 외치죠
들을수는 없겠죠
오늘 하루도 애꿎은 가슴만
탓하네요
아직도 왜
붙잡고 있냐고",정세영,2013.06.07,34,발라드
나 살아있는 건 (Inst.),"멍하니 서있었어 아무
말도 못하고
정신이 없어서 그대 내게
오는길
나 너무 설레서 바보처럼
한참을 웃었어
사실 나 아픔이 많아서 쉽게
누구도 맘을 못열죠
그대는 정말 했어요 나 같은
사람을 해냈어요
아무말도 못하게 만든
하나뿐인 내 사람
나 살아 있는건 너야 바로
너 하나뿐야
모두 안된대도 정말
안되더라 넌
두 손 꼭 잡으면 내가 사는
이유 느끼고
살죠 또 살죠 나 살아
있는건 너야
한 숨이 자꾸만 늘어서 매일
가슴만 짓누르다가
그대가 곁에 없음을 살아도
사는게 아닌 난데
내 심장에 가까운 소리
하나뿐인 그대 목소리
나 살아 있는건 너야 바로
너 하나뿐야
모두 안된대도 정말 안되더라 넌
두 손 꼭 잡으면 내가 사는
이유 느끼고
살죠 또 살죠 나 살아 있는건
너 때문이야
남자로 태어나 지금껏
살아 온 동안
한번도 고개 떨군적 없던 내가
너여줘서 고마워 um
살아 있는건 나 살아 있는건
너 때문이야
바로 너 하나뿐야 모두 안된대도
정말 안되더라 넌 두눈에 가득찬
눈물이 다 말해주네요 살자 또
살자 살자 um
나 살아 있는건",김현중,2013.06.06,159,발라드
보고싶어 갑자기 보고싶어져,"보고싶어 갑자기 보고 싶어져
가슴 한 구석에는 아직
니가 있나봐
못났지 그까짓 사랑을 아직
잊지 못해서 눈물 흘리는 바보야
잊은줄 알았어 이정도 했으면
시간이 이렇게 흘렀으면
이젠 제법 웃기도 하고 마음도
편해져 괜찮게 지냈어
보고싶어 갑자기 보고 싶어져
가슴 한 구석에는 아직
니가 있나봐
못났지 그까짓 사랑을 아직
잊지 못해서 눈물 흘리는 바보야
하루만 못봐도 토라지곤 했어
내 옆에 이자린 너였었어
혼자있는 시간속에서 자꾸만
떠올라 보고만 싶어져
보고싶어 갑자기 보고 싶어져
가슴 한 구석에는 아직
니가 있나봐
못났지 그까짓 사랑을 아직
잊지 못해서 눈물 흘리는 바보야
이제는 끝인걸 알아요 하지만
아직 내 가슴엔 시간이
필요한가봐
사랑이란 맘대로 안되는가봐
갑자기 내게 와서 갑자기
떠나가는
사랑에 아프고 아파서 아무것도
못하는 내 모습을 봐 가지마",아메리카노(Americano),2013.06.10,115,발라드
너니까 그래,"밥을 먹어도 부르지 않아
내 시간은 멈춘 것만 같아
이제는 니가 날 부르지 않아
너의 빈자리 채워지지 않아
밤새도록 천장만 바라봐
자꾸만 들리는 너의 목소리
너니까 그래
나는 너 아니면 안돼
밤새 눈감아도
보이니까 그래
가슴 아픈 내 사랑아
눈물 나는 내 아픈 사랑아
이젠 함께할 수 없는
곁에 둘 수 없는
술을 마셔도 머릴 잘라도
아무 소용 없다는 걸 알아
아닐 거라고 웃음지어봐도
서러움에 눈물이 흘러
가슴가득 그리움 고이고
부르지 못해 더 아픈 사랑아
너니까 그래
나는 너 아니면 안돼
밤새 눈 감아도
보이니까 그래
가슴 아픈 내 사랑아
눈물 나는 내 아픈 사랑아
하지 못한 말들이
아직 너무나 많은데
넌 왜 날 혼자 두고서
떠난거니
아직 못한게 더 많은데
이렇게 널 보내야해
너니까 그래
나는 너 아니면 안돼
밤새 눈감아도
보이니까 그래
가슴 아픈 내 사랑아
눈물 나는 내 아픈 사랑아
이젠 함께할 수 없는
둘이 될 수 없는",장원준,2013.06.07,105,발라드
오래됐던 사이,"지겨워졌다고
새로운 사람도 만나고
오래전 나에게 했던 너와
똑같은 널 만나고
힘들어졌다고
또 다시 나를 불러내고
오래된 친구와의
끈을 유지하고
난 그게 싫다고
말도 못하고
아무 상관없다고
so cool 한 척
알아서 하라고
내 안부따윈 전하지 말라고
툭툭 내뱉어 놓고
다시한번 떠올려보고
어쨌건 이미 오래 전에
행복했던 사이
그 누구도
끼어들 수 없던
오래 전 애틋한 사이
이젠 더 이상
신뢰란 사랑을
가질 수가 없는데
어떻게 봐도 오래 전에 이미
끝나버린 너와의 끈
사랑했었다고
사랑했어
그게 우린 아니라고
아니야
오래 전 함께했던 모든 건
다 과거일 뿐이라고
난 그게 싫다고
니가 아니라고
아무 상관없다고
so cool 해 난
마음대로 하라고
내 예전 모습 따윈
기대 말라고
툭툭 내뱉어놓고
다시한번 생각해보고
우리는
이미 오래 전에
행복했던 사이
그 누구도
끼어들 수 없던
오래 전 애틋한 사이
이젠 더 이상
신뢰란 사랑을
가질 수가 없는데
어떻게 봐도 오래 전에 이미
끝나버린 너와의 끈
너도 알잖아
추억일 뿐이잖아
그때 그 감정 눈빛
추억은 생각에 가려
사실과는 다르잖아
마지막 인사를 할게
그 누구도
끼어들 수 없던
오래 전 애틋한 사이
이젠 더 이상
신뢰란 사랑을
가질 수가 없는데
어떻게 봐도 오래 전에 이미
끝나버린 너 나 예
예 예 예
예 예 예
예 예 예 예 예
이미 오래 전에
오래됐던 사이",에이엘,2013.06.12,35,발라드
돌아와요,"함께라서 더 빛나는
그게 바로 우리죠
텅빈가슴 채울 사람이죠
지독했던 그 상처는
모두 아물었겠죠
그대 아픈기억 사라지겠죠
그 누구도 몰라주었던 모두
외면했었던
그 상처가 날개를 꺽었죠
그 누구는 작은가슴 지쳐서
아파해요 원망해요
작은용기로
만든 서툰 시작이
기적과 같은 희망을 낳죠
함께라서 더 빛나는
그게 바로 우리죠
텅빈가슴 채울 사람이죠
지독했던 그상처는
모두 아물었겠죠
그대 아픈기억 사라지겠죠
친구가 떠나버린 빈자리
미안해요 돌아와요
작은용기로
만든 서툰 시작이
기적과 같은 희망을 낳죠
함께라서 더 빚나는
그게 바로 우리죠
텅빈 가슴 채울 사람이죠
지독했던 그상 처 는
모두 아물었겠죠
그대 아픈기억 사라지겠죠
내가했던 모진 행동이
너를 밀어내 기댈 곳을
빼았겼었니
노래에 담은
마음이 전해지기를 바래
미안하다고 돌아오라고
함께라서 더 빚나는
그게 바로 우리죠
텅빈가슴 채울 사람이죠
지독했던 그 상처는
모두 아물었겠죠
그대아픈기억 사라지겠죠
함께라서 더 빛나는
그게 바로 우리죠
텅빈가슴 채울 사람이죠
지독했던 그 상처는
모두 아물었겠죠
그대 아픈기억 사라지겠죠",한림예고 합창단,2013.06.12,89,발라드
Memory,"어디서부터 시작해 또
어디까지가 너였는지
너만이 가득한 나의 기억에
지난날 모두 버려야 나 다시
웃을 수 있을테니
그 많은 추억을 여기 담을게
눈물이 흘러 내 시선을 가려
떠나던 너의 모습조차 볼 수 없던
우리 마지막이기에 그 길에
흩어진 너의 향기
마지막 너의 흔적만이라도
느끼려 눈을 감았지만
움직이고 싶어도 자꾸 추억이
묻은 이 향기가 자꾸 내게
1분만 더 아니 2분만 더 하며
나를 이곳에 더 머무르게 해
얼마나 많은 날들을 널 잊을
수 없어 헤맸는지
너만을 바라본 나의 사랑과
지난날 모두 여기에 담아 다시는
기억할 수 없게
망각의 강물에 너를 띄울게
좋았던 추억들을 떠올리고 나니
또 다시 두눈엔 눈물이
남았던 미움마저 흐려지고 말아
지워갈 수도 돌아갈 수도 없는데
얼마나 많은 날들을 널 잊을
수 없어 헤맸는지
너만을 바라본 나의 사랑과
지난날 모두 여기에 담아 다시는
기억할 수 없게
망각의 강물에 너를 띄울게
좋았던 추억들을 떠올리고 나니
또 다시 두눈엔 눈물이
남았던 미움마저 흐려지고 말아
좋았던 추억들을 떠올리고 나니
또 다시 두눈엔 눈물이
남았던 미움마저 흐려지고 말아
지워갈 수도 돌아갈 수도 없는데",유승준,2002.01.14,45,발라드
그립다,"햇살 가득한 창가에
니가 준 화분에 꽃 피던 날
참았던 그리움에 왈칵
전활 걸 뻔 했어
너에게 얘기 하고 싶었어
용케 잘 살아냈다고
너 없는 계절들을 돌고 돌아
한동안 물도 주지 않고
버려두곤 했어
시들어 사라질 줄 알았어
난 봄처럼 바람처럼
다시 되돌리고 싶어
니가 그립다 보고 싶다
슬픈 혼잣말만 자꾸 늘어가
봄이 기적이 아니듯
봄이면 피어나는 꽃처럼
볼 수만 있어도 좋겠다
그럴 수 있다면
아직도 너를 잊지 못했어
난 봄처럼 바람처럼
다시 되돌리고 싶어
니가 그립다 보고 싶다
슬픈 혼잣말만 자꾸 늘어가
잘 지내고 있는지
가끔은 내 생각하는지
우리 둘만의 봄이
그 시간들이
나를 힘들게만 해
난 꿈처럼 꼭 너처럼
사라져가는 모든 걸
사랑하니까 잡고 싶다
작은 화분 속에서 찾은 기적
다시 봄은 오니까
돌아와 사랑해
니가 그립다 보고싶다
슬픈 혼잣말만 자꾸 늘어가
바람이 햇살이
너를 기억나게 해",테이커스,2013.06.25,"1,161",발라드
잘 있나요 (Acoustic Ver.) (Inst.),"눈물이 난다 또 하늘을 본다
바라봐도 추억이 흐른다
니가 없는 하루가 너무 아프다
차 오르는 그리움도
사랑이 운다 바람에 날린다
구름 되어 그 길을 따라가
나 이렇게 먼 곳에서 바라 본다
잊지 말라던 그대
내 눈물아 슬픈 추억아 보고 싶은
그런 사랑아
언제나 같은 하늘 아래 그려 본다
그래 나 이렇게 아픔에 살아
하루가 지나가도 하루가 다시
오는 슬픔
죽을 만큼 힘들잖아 나의 사랑
내 눈물아 슬픈 추억아
보고 싶은 그런 사랑아
언제나 같은 하늘아래 그려
본다 그래 나 이렇게 아픔에 살아
니가 없이 가끔 울것 같은데
아파도 슬퍼도 너를 생각해
잘 있나요 나의 사랑아 보고
싶은 나의 사랑아
언제나 같은 하늘 아래 그려
본다 그래 나 이렇게 아픔에 살아
오늘도 그렇게 아픔에 산다",최진혁,2013.06.18,192,발라드
고마워 (Vocal 강현준),"고마워 고마워 고마워
몇 번을 말해도 또 고마워
헤퍼서 이젠 네게
아무 느낌 없어도
그 말 대신 나 할 수 있는 말
고마워 내 삶에 와줘서
고마워 내 노래가 돼줘서
니가 아니면 몰랐던 사랑
그게 너여서 고마워
고마워 고마워 고마워
사랑해 말하고 싶을 땐
헤퍼서 이젠 네게
습관처럼 들려도
그 말 대신 나 할 수 있는 말
고마워 내 삶에 와줘서
고마워 내 노래가 돼줘서
니가 아니면 안될 사랑
그게 너여서 고마워
마음을 뺏겨 설레던 날보다
널 잃고 아팠던 날을 감사해
얼마나 넌 내게 소중한 사람인지
매일 고백해
고마워 내 삶에 와 줘서
고마워 내 노래가 돼줘서
니가 아니면 안될 사랑
그게 너여서 고마워
그게 너라서 고마워",러블리벗 (Lovelybut),2013.05.23,164,발라드
밤마다 기도했죠,"우연인지 몰라도
그대 앞에만 서면
아무 말도 못하고
고갤 숙이죠
밤마다 기도했죠
내일 아침 눈을 뜰 때엔
아직 내 품에 안겨
졸린 눈 감고 어린 아이처럼
잠들어 있는
그대 모습 볼 수 있기를
기도했었죠
하지만 나도 알고 있죠
바보 같은 생각이란 걸
그대에겐 아직 나
그냥 친구 같은 사람이란 걸
그렇다는 걸
너무나도 잘 알고 있죠
그대 생각만 하면
소？가는 날 어린 아이처럼
구름 위를 걷는 듯한 들뜬 마음
감출 수가 없는 걸요
하지만 나도 알고 있죠
바보 같은 생각이란 걸
그대에겐 아직 나
그냥 친구 같은 사람이란 걸
그렇다는 걸
너무나도 잘 알고 있죠",나성호 (노을),2013.06.19,402,발라드
모르는 게 많아서,"아직 세상엔 알 수 없는
일들이 아주 아주 많고
내가 한없이 작고 작게
느껴져 슬플 때도 있지만
금새 웃으며 툭툭 털고
일어나 다 잊을 수 있죠
걱정 말아요 괜찮아요 난
아직 모르는 게 많아서
쉽게 넘어지지 않죠
울지도 않아요
모르는 게 너무 많아서
그렇게 보이지 않아도
생각보다 난 강하죠
아직 내 마음을 잘 몰라서
세상을 몰라서
난 아주 작고 작지만
보기보다 난 강하죠
아직 내 마음을 잘 몰라서
세상을 몰라서
영문도 없이 하루 종일
우울한 그런 날도 있고
아무도 나를 찾지 않는
것 같아 서럽기도 하지만
쉽게 넘어지지 않죠
울지도 않아요
모르는 게 너무 많아서
그렇게 보이지 않아도
생각보다 난 강하죠
아직 내 마음을 잘 몰라서
세상을 몰라서
난 아주 작고 작지만
보기보다 난 강하죠
아직 내 마음을 잘 몰라서
세상을 몰라서
그렇게 보이지 않아도
생각보다 난 강하죠
아직 내 마음을 잘 몰라서
세상을 몰라서",써니힐,2013.06.19,501,발라드
자기는,"뚜뚜루뚜뚜 뚜뚜루뚜뚜
I wanna real love real love
뚜뚜루뚜뚜 뚜뚜루뚜뚜
I wanna real love real love
hello hello
너무 뻔한 인사말들로 너를
hello hello
잡을 수 없단 걸 알아 yeah
수많은 남자들이 널 갖기 위해
별의 별 짓을 다할게
벌써 내 눈앞에 선해
그래 인정해 너는 예쁘니까
이런 내가 반할만큼 너는
예쁘니깐
그래도 도도한건 여기 까지 만해
왠지 너에게 끌리는 것 같아
뭔가 다른 매력 있는 것 같아
특이해 아니 특별해 눈을
뗄 수가 없잖아
자기는 까칠해 무뚝뚝해
역시 말도 별로 없어 하지만
그런 모습이 잘 어울려 그래서
더 끌려 baby
hello hello
까칠한 자기 날 답답하게
하지 노란색 1 1 1
난 밤새 잠도 못자 니문잘
기다리다 그런데 갑자기 띵띵띵
이렇게 두근대는 맘 너무
오랜만이라 좀 어지러워
아 왜 아니 나 오늘 기분이
너무 좋아 자기야 집 앞으로 잠깐
나와 여보세요 자기야 야
그래 인정해 넌 매력적이니까
날 두근대게 하는 lady니깐
얼굴 성격 몸매 이것저것 모두 다
솔직히 너무 끌려
I wanna give you my love
you are the only one in my life
너도 알잖아 느끼잖아
이제 그만 내게 와줘 baby girl
왠지 너에게 끌리는 것 같아
뭔가 다른 매력 있는 것 같아
특이해 아니 특별해 눈을 뗄
수가 없잖아
자기는 까칠해 무뚝뚝해 역시
말도 별로 없어 하지만
그런 모습이 잘 어울려 그래서
더 끌려 baby
뚜뚜루뚜뚜 뚜뚜루뚜뚜
I wanna real love real love
너라면 가능해 be my lady
뚜뚜루뚜뚜 뚜뚜루뚜뚜
I wanna real love real love
gonna make you be my
special baby
왠지 너에게 끌리는 것 같아
뭔가 다른 매력 있는 것 같아
특이해 아니 특별해 눈을 뗄
수가 없잖아
자기는 까칠해 무뚝뚝해 역시
말도 별로 없어 하지만
그런 모습이 잘 어울려 그래서
더 끌려 baby
and I wanna love you
love you
왠지 너에게 끌리는 것 같아
and I wanna love you
love you
뭔가 다른 매력 있는 것 같아
까칠해 무뚝뚝해
and I wanna
get to know you baby
and I wanna love you
love you
왠지 너에게 끌리는 것 같아
and I wanna love you
love you
뭔가 다른 매력 있는 것 같아
그런 모습이 잘 어울려 그래서
더 끌려 baby
뚜뚜루뚜뚜 뚜뚜루뚜뚜
아 술만 먹었다하면 전화질이야
핸드폰번호를 바꿔버릴까보다
진짜 열받아죽겠네",테이커스,2013.06.25,379,발라드
괜찮겠니,"이제는 내가 떠나야 할까
힘들어하는 너를 위해서
우린 정말 사랑했고 뭐하나
부러울게 없었는데
우리 사랑을 몰라주시는 너의
부모님 말씀 듣고서
내가 너무도 초라해졌어
못난 나를 용서해
이쯤에서 그만 헤어질까 너에게
말하고 싶어졌어
사랑만 가지고는 이 세상 살기에는
복잡한건가봐
내가 떠나도 괜찮겠니 연약한
니가 걱정이 돼
그만 만나도 괜찮겠니
널 위한거라고 믿어줘
아무리 내가 노력한대도
오를수 없다는걸 알기에
이쯤에서 멈출까봐 사랑만
믿을수가 없어졌어
바보같지만 무책임해도 결국
널 위한거야 믿어줘
지금 당장은 아프겠지만 이별이
나을거야
먼훗날 내가 성공한다면 그때도
니가 혼자라면은
어쩌면 해피엔딩 되겠지 하지만
확실하지 않잖아
내가 떠나도 괜찮겠니 연약한
니가 걱정이 돼
그만 만나도 괜찮겠니
널 위한거라고 믿어줘
내가 떠나도 괜찮겠니 연약한
니가 걱정이 돼
그만 만나도 괜찮겠니
널 위한거라고 믿어줘
내가 떠나도 괜찮겠니 연약한
니가 걱정이 돼
그만 만나도 괜찮겠니
널 위한거라고 믿어줘",달빛프린스,2013.06.20,1,발라드
Summertime,"Summertime and the livin` is easy
Fish are jumpin` and the cotton
is fine
Oh your Daddy`s rich and your ma
is good lookin`
So hush little baby don`t you cry
One of these mornings
You`re goin` to rise up singing
Then you`ll spread your wings
And you`ll take the sky
But till that morning
There`s a nothin` can harm you
With mammy and daddy standin` by
Summertime and the livin` is easy
Fish are jumpin` and the cotton
is fine
Oh your Daddy`s rich and your ma
is good lookin`
So hush little baby don`t you cry
hush little baby don`t you cry",메이트리 (Maytree),2013.06.25,15,발라드
결혼해줘요 (Inst.),"Would you marry me
너랑 나랑 닮은 아이 손잡고
청계천을 걸어보고 싶어
함께 할래
Would you marry me
너랑 나랑 닮은 아이를 안고서
함께 아침을 맞이하고
싶어 나랑 결혼해 줄래
그대와 손을 잡고 걸어갈 땐
손바닥엔 땀이 1점 5리터
그대와 발맞추고 걸어갈 땐
내 걸음속도 시속 1점 5키로
그대여 나와 결혼해줘요
그대여 나와 함께 잠들어요
그대여 나와 함께 아일
돌봐요 우리 함께 늙어가요
Would you marry me
너랑 나랑 닮은 아이를 업고서
마트 가서 쇼핑하고 싶어
함께 할래
Would you marry me
너랑 나랑 닮은 아이를 안고서
함께 아침을 맞이하고
싶어 나랑 결혼해 줄래
그대와 함께 밥을 먹을
때엔 한입크긴 평소의 2 분의 1
그대가 생각나서 보고플 땐
답답하게 흐르는 시간 2 분의 1
그대여 나와 결혼해줘요
그대여 나와 함께 잠들어요
그대여 나와 함께 아일
돌봐요 우리 함께 늙어가요
혹시라도 우연히 절대 안
싸우기로 했던 우리 둘의
마음 깨질 때
나 여기에서 손가락 꼭 걸게
그런 일은 절대 없을 거라고 oh
그대여 나와 결혼해줘요
그대여 나와 함께 잠들어요
그대여 나와 함께 아일
돌봐요 우리 함께 늙어가요
우리함께 늙어가요 우리
같이 살아봐요",크레파스,2013.06.25,10,발라드
그대가 내 사랑입니다,"아직도 기억이 나
그댈 처음 봤었던
그날의 느낌들을
자꾸만 눈길이 갔었죠
운명 같았죠
우리가 만났다는 건
그런 그대가 내 옆에 있단 게
내게 와 줘 고마워
사랑받는 나는 행복합니다
그대가 내 사랑입니다
아 그대만
내 사랑입니다 아
내가 기댈 수 있고
아픈 맘을 달래줄
내게 그런 사람은
앞에 있는 그대입니다
한 번도 못 받았던
따뜻한 그 사랑을
크나큰 행복들이
하루를 가득 채웠어요
느낄 수 없던 사랑을 선물해줬죠
그런 그대가 내 옆에 있단 게
내게 와 줘 고마워
사랑받는 나는 행복합니다
그대가 내 사랑입니다
아 그대만
내 사랑입니다 아
내가 기댈 수 있고
아픈 맘을 달래줄
내게 그런 사람은
앞에 있는
약속합니다 영원히
난 당신 곁에서 사랑을 줄게요
정말 고마운 내 사랑
그대가 내 사랑입니다
아 그대만 내 사랑입니다 아
내가 기댈 수 있고
아픈 맘을 달래줄
내게 그런 사람은
앞에 있는 그대입니다",리디아 (Lydia),2013.06.26,57,발라드
Dear... (Intro),"나의 춤에 행복한 사람들
나의 노래에 눈물 흘리네
다시 내가 꿈꿀수 있을까
두렵지만 오늘도 부른다
나의 하루에 그 시작이
내 어께를 무겁게만 해
이렇게 또 하루 지나고
외로운 길을 걷는다",울랄라세션,2013.06.27,309,발라드
