,제목,가사,장르
10,상처,"눈물이 흘러도 좋아요
가슴이 행복하니까
마음이 아파도 좋아요
사랑은 그런거니까
그대 곁에 있어도
외로울 때가 많아요
그대 곁에 있을 때
나는 안개꽃이에요
눈물이 마를 때까지
마음이 아파도 좋아요
나는 그대 곁에서
외로워도 가슴은 행복해요

그대 곁에 있어도
외로울 때가 많아요
그대 곁에 있을 때
나는 안개꽃이에요
눈물이 마를 때까지
마음이 아파도 좋아요
나는 그대 곁에서
외로워도 가슴은 행복해요
나는 그대 곁에서
외로워도 가슴은 행복해요",트로트
11,없었던 일로 해요,"없었던 일로 해요 없었던 일로
당신 가슴 노 저었던 지난 세월
그 슬픈 기억도
그 아픈 기억도 그 고통까지도
내 가슴 속에 묻어야만 해요
저어도 저어도
항구가 보이지 않는
당신의 바다속으로
사랑에 묶여 사슬에 묶여
빠져버린 내가 바보였어
없었던 일로 해요

없었던 일로 해요 없었던 일로
당신 마음 노 저었던 지난 세월
그 슬픈 기억도
그 아픈 기억도 그 고통까지도
가슴속에서 지워야만 해요
저어도 저어도
등대가 보이지 않는
당신의 가슴속으로
사랑에 묶여 사슬에 묶여
빠져버린 내가 미워졌어
없었던 일로 해요",트로트
12,꼭! 한번만,"당신을 한 번만
한 번만이라도
만나고 싶어요
세월이 그렇게
흘러갔어도 난 아직
잊지 못해요
철없던 나의
나의 가슴에
당신은 깊은 정을
남겨 놓은채
그렇게 냉정하게
떠나갔어도
당신을
미워하지 않았어요
너무 너무 나
사랑했던 사람을
어떻게 잊을 수
있나요

당신을 우연히
우연히 만나면
말하고 싶어요
세월이 그렇게
흘러갔어도 당신을
사랑했다고
철없던 나의
나의 가슴에
당신은 깊은 정을
남겨 놓은채
그렇게 냉정하게
떠나갔어도
당신을
미워하지 않았어요
세월이 가면
그땐 당신도
나를 용서할테니까
세월이 가면
그땐 당신도
나를 용서할테니까",트로트
13,존재의 이유 2,"힘이 들때면 너를 생각해
하루중에 바쁜시간도
널 위해 참는거야

정말 미안해 현실에 매달린 내가
오늘밤도 지친몸으로
널 향해 걸어가는데

불이 켜진 너의 창문 앞 
초라한 골목길에서
오늘과 미래의 내 모습을
지금은 알 수 없지만

너없이 백 년을 혼자 사는니
너와 함께 하루를 살겠어
널 사랑해 기다려줘
네 앞에 서는날까지


불이 켜진 너의 창문 앞 
초라한 골목길에서
오늘과 미래의 내 모습을
지금은 알 수 없지만

너없이 백 년을 혼자 사는니
너와 함께 하루를 살겠어
널 사랑해 기다려줘
네 앞에 서는날까지",트로트
14,내가 왜 웁니까,"울지않아요
내가 왜웁니까
내가 싫어 가는 사람앞에
가슴을 돌여내는
그아픔도 참을겁니다
남자에 약한적이
여자라지만
때로는 모진것도
여자랍니다
울지않아요
내가 왜웁니까
내가 싫어 가는 사람앞에

울지않아요
눈물은 왜흘려요
내가 미워 가는 당신앞에
마음은 운다해도
눈물만은 참을겁니다
남자에 약한것이
여자라지만
때로는 모진것도
여자랍나다
울지않아요
눈물은 왜흘려요
내가 미워 가는 당신앞에",트로트
15,추억으로 가는 당신,"나는 알아요
당신이 나를
얼마나 사랑하는지
내가 없으면 외로움속에
조용히 흐느낄 그 사람
떠나야할 까닭일랑
묻지 말아요
내가 너무 바보였어요
모든것이 세월속에
지워질때면
그땐 내맘 알게될거야
너무도 사랑한 당신
영원히 못잊을 당신
추억으로 가는 당신

나는 알아요
당신을 떠날 그날이 내게 온것을
내가 없으면 외로움속에
조용히 흐느낄 그사람
진정 그대 사랑이 필요한 것은
내가 아닌 또 다른 사람
모든것이 눈물속에 지워질때면
그땐 내맘 알게될꺼야
너무도 사랑한 당신
영원히 못잊을 당신
추억으로 가는 당신",트로트
16,유쾌 상쾌 통쾌,"우리사는 이 세상에 유쾌 상쾌 통쾌
밝은 날들이 많았으며는
나는 나는 좋겠네
우리 모두 가슴속에 기쁨 희망 사랑
좋은 일들이 많았으며는
나는 나는 좋겠네
이왕에 사는거 웃으며 사는게 좋지
어차피 사는거 즐겁게 사는게 좋지
그까짓 거 걱정 그까짓 거 고민
다 그냥 던져 버리고
크게 한번 웃어 볼꺼야
유쾌하게 살자 상쾌하게 살자
통쾌하게 살자구
가슴 짝 펴고 사는거야

우리사는 이 세상에 유쾌 상쾌 통쾌
밝은 날들이 많았으며는
나는 나는 좋겠네
우리 모두 가슴속에 기쁨 희망 사랑
좋은 일들이 많았으며는
나는 나는 좋겠네
이왕에 사는거 웃으며 사는게 좋지
어차피 사는거 즐겁게 사는게 좋지
그까짓 거 걱정 그까짓거 고민
다 그냥 던져 버리고
크게 한번 웃어 볼꺼야
유쾌하게 살자 상쾌하게 살자
통쾌하게 살자구
가슴 짝 펴고 사는거야
유쾌하게 살자 상쾌하게 살자
통쾌하게 살자구
가슴 짝 펴고 사는거야
가슴 짝 펴고 사는거야
유쾌 상쾌 통쾌 유쾌 상쾌 통쾌",트로트
17,사랑의 미로,"1.그토록 다짐을 하건만 사랑은 알 수 없어요 사랑으로 눈먼 가슴은 진실 하나에 울지요 @그대 작은 가`슴에` 심어준 사랑이여` 상처를` 주지마오 영원`히 끝도` 시작도 없이` 아득한 사`랑의 미로여` ,,,,,,,,,,,2. 흐르는 눈물은 없어도 가슴은 젖어 버리고 두려움에 떨리는것은 사랑의 기쁨인가요 그~~~여` ,,,,,,,,,,,3. 때로는 쓰라린 이별도 쓸쓸히 맞이하면서 그리움만 태우는 것이 사랑의 진실인가요 그~~~여`. (456)",트로트
18,갈색 추억,"희미한 갈색등불 아래

싸늘히 식어가는 커피잔

사람들은 모두다 떠나고

나만 홀로남은 찻집

아무런 약속도 없는데

그 사람 올리도 없는데

나도 몰래 또 다시 찾아온

지난날의 추억속에 찻집



우리는 나란히 커피를 마시며

뜨거운 가슴 나누었는데

음악에 취해서 사랑에 취해서

끝없이 행복했는데



어느날 갑자기 그대는 떠나고

갈색 등 불빛만 남아

외로운 찻잔에 싸늘한 찻잔에

희미한 갈색추억



우리는 나란히 커피를 마시며

뜨거운 가슴 나누었는데

음악에 취해서 사랑에 취해서

끝없이 행복했는데



어느날 갑자기 그대는 떠나고

갈색 등 불빛만 남아

외로운 찻잔에 싸늘한 찻잔에

희미한 갈색추억



희미한 갈색추억",트로트
19,스타킹,"순진한 마음도 어리숙한 마음도
놀리면 정말 싫어요
겉으론 만만하지 않아도
순진한 여자라구요
12시까지 집에 들어가야 하는데
헤어지기는 너무나 아쉬워요
보일듯 말듯 스타킹
스타킹 예쁜 스타킹
그대 마음을 완전히 사로잡을 거예요
바람에 날리는 스커트
스커트 미니 스커트
한번만 나를 봐주면 흠뻑 빠질거예요

멈출수가 없어 움직일수도 없어
왜 나를 흔들어 놔요
겉으론 무심한척 보여도
애타는건 나라구요
12시까지 집에 들어가야 하는데
헤어지기는 너무나 아쉬워요
보일듯 말듯 스타킹
스타킹 예쁜 스타킹
그대 마음을 완전히 사로잡을 거예요
바람에 날리는 스커트
스커트 미니 스커트
한번만 나를 봐주면 흠뻑 빠질 거예요
보일듯 말듯 스타킹
스타킹 예쁜 스타킹
그대 마음을 완전히 사로잡을 거예요
바람에 날리는 스커트
스커트 미니 스커트
한번만 나를 봐주면 흠뻑 빠질 거예요",트로트
