,제목,가사,장르
10,산책,"그녀와 단 둘이 세상 가장 밝은 낙원으로 가는 아침

산책길 이게 만약 꿈이라도 괜찮아

오늘도 난 뒤를 따라 걷는다





몇 걸음 뒤에서 조금이라도 급하게 서두르면 안돼

새하얀 어깨위로 내려앉은 햇살이

뒤를 돌아보며 웃을때까지





아침이 정말 좋아 그댈 볼 수 있어 좋아

누가 뭐라해도 난 뒤따라 걸어간다

힘겨운 내 삶에 찾아온 그댄 날 웃게해





모든 게 궁금해 작은 하나부터 열까지가 모두 그래

나에겐 젖은 머릿결의 향기조차도

커다란 의미로 느껴지나봐





가로수 풀밭 좁은 길을 돌아 멈춰 다시 물 한 모금

수줍게 눈인사라도 할 수만 있다면

마냥 좋아서 노랠 부를거야





아침이 정말 좋아 그댈 볼 수 있어 좋아

그 어디라해도 난 뒤따라 걸어간다

용기를 내서 들려줄게 나의 기타솔로야





이젠 말을 걸어볼까 설레는 마음으로

한 걸음 두 걸음 그대 앞으로 걷는다

어떤 말로 시작할까

그리고 그 다음엔 그리고 그 다음엔





아침이 정말 좋아 그댈 볼 수 있어 좋아

그 어디라해도 난 뒤따라 걸어간다

가로수 풀밭 좁은 숲길로 아름다운 꿈결 속으로



이 세상 가장 밝은 곳까지 나와 함께해",록메탈
11,네 목소리,"계속 걷고 있어 네게 닿을 때까지
언제쯤이면 보게 될런지
날카로운 눈빛 차가운 네 미소
그 안에 갇혔어
난 계속 부르고 있어
네게 들릴 때까지
언제쯤이면 듣게 될런지
부드러운 손길 달콤한 속삭임
그 안에 빠져서 난 어딜가도
네 목소리가
어딜가도 네 목소리가 부는 바람속에
들려와 마른 가슴속에 불어와 어떡해
나 어떡해
어딜가도 네 목소리가
어딜가도 네 목소리가
시린 귓가에 또 들려와
내게 속삭이듯 들려와
어떡해 나 어떡해

계속 흐르고 있어
내 눈물속의 네가 언제쯤이면
다 비워질런지
선명한 네 말투 선연한 네 향기
그 안에 빠져서
난 어딜가도 네 목소리가
어딜가도 네 목소리가
부는 바람속에 들려와
마른 가슴속에 불어와 어떡해
나 어떡해
어딜가도 네 목소리가
어딜가도 네 목소리가
시린 귓가에 또 들려와
내게 속삭이듯 들려와
어떡해 나 어떡해
기다리는 나를 두고
기다리는 나를 두고
어떻게 넌 어떻게 내게

부는 바람속에 들려와
마른 가슴속에 불어와
어떡해 나 어떡해",록메탈
12,오늘밤 너와,"터질듯 한 마음 숨길 수 없어
내 모든 걸 보여 주고 싶어
꿈꿔왔던 그 곳을 찾아
오늘밤 너와 떠나겠어
우후 우후 우후 우후
내 심장이 터질 것만 같아
너를 처음 본 그 순간처럼
나 이대로 멈출 수는 없어
늘 기다려왔던 지금이야
우후 우후 우후 우후
내손을 잡아봐
두려워하지마
꿈꿔왔던 곳으로
우린 갈수있어

터질듯 한 마음 숨길 수 없어
내 모든 걸 보여 주고 싶어
꿈꿔왔던 그 곳을 찾아
오늘밤 너와 떠나겠어
내 심장이 터질 것만 같아
너를 처음 본 그 순간처럼
나 이대로 멈출 수는 없어
늘 기다려왔던 지금이야
우후 우후 우후 우후 우후",록메탈
13,Break It Down ('프리스타일 풋볼' 주제곡),"oh Let's go together
we're gonna break it
we're gonna break it down
oh Let's go together
we're gonna break it
we're gonna break it down

아무것도 난 두렵지 않아 yeah
그대 함께 외친다면
이까짓 것 난 참을 수 있어 yeah
그대 함께 달린다면
쓸데없는 생각따윈 벗어 던져 버려
부딪혀봐 소리쳐봐
넘어져도 이를 악물고 또 일어서봐
부딪혀봐 소리쳐봐
그래 지금부터 시작이야

온몸이다 깨져도 난 괜찮아 yeah
그대 함께 달린다면
이대로 끝나지는 않을거야 yeah
그대 함께 외친다면
필요없는 시선따윈 신경 쓰지도마
부딪혀봐 소리쳐봐
넘어져도 이를 악물고 또 일어서봐
부딪혀봐 소리쳐봐
그래 지금부터 시작이야
oh Let's go together
we're gonna break it
we're gonna break it down
oh Let's go together
we're gonna break it
we're gonna break it down

쓸데없는 생각따윈 벗어 던져 버려
부딪혀봐 소리쳐봐
넘어져도 이를 악물고 또 일어서봐
부딪혀봐 소리쳐봐
그래 지금부터 시작이야
oh Let's go together
we're gonna break it
we're gonna break it down
oh Let's go together
we're gonna break it
we're gonna break it down
oh Let's go together
we're gonna break it
we're gonna break it down
oh Let's go together
we're gonna break it
we're gonna break it down",록메탈
14,망각의 슬픔,"기억뇌리 한쪽에 잠들어 있는 금언의

추억 그 차디찬 흑백의 악몽들 휘파람

한마디에 붙어버린 내 혓바닥 순간,

태양위주로 어질러진 어지러움들 I

thought was over and high over and

high 기억뇌리 한쪽에 날 찌르는

혼란들 그 날 위해선 회색빛 눈짓들 휘파람

한마디에 붙어버린 내 혓바닥 순간,

태양위주로 어질러진 어지러움들",록메탈
15,여름이야기 (Original By 무한궤도),"여름날 햇빛 속에
옛 동네를 걸어가다
건널목 앞에 있는
그녀를 보았지
조금은 변한듯한 모습
아쉽긴 했어도
햇살에 찌푸린 얼굴은
아름다웠지
너의 손을 잡고 말하고 싶어도
소중한 기억 깨어질까봐
그냥 다시 돌아서
잊어버렸던 첫사랑의 설레임과
떨려오는 기쁨에
다시 눈을 감으면
너는 다시 내곁에
예쁜 추억으로
날아들어 내 어깨 위에 잠드네
너의 손을 잡고 말하고 싶어도
소중한 기억 깨어질까봐
그냥 다시 돌아서
잊어버렸던 첫사랑의 설레임과
떨려오는 기쁨에
다시 눈을 감으면
너는 다시 내곁에
예쁜 추억으로
날아들어 내 어깨 위에 잠드네
랄라라라라라라라라라라라라
라라라라
라라라라라라라라라라
랄라라라라라라라라라라라라
라라라라
라라라라라라라라",록메탈
16,님아 (1968년작),"멀리 떠난 내 님아

언제나 돌아오려나

나의 사랑 내 님아

언제나 돌아오려나

둥근달이 떠오르고

또다시 기울어가도

한번 떠난 내님은

또다시 돌아오지 않네

봄이 가고 푸른 잎에

낙엽이 지고 또 지고

온다하던 그날은

수없이 지나가버렸네

젊은날에 내 청춘도

지나가 버렸것만은

변함없는 내 사랑은

오늘도 기다려지네



지난날 그가 말했듯이

그날을 잊지 말아요

그날을 기다려줘요



멀리떠난 내 님아

언제나 돌아오려나

나의 사랑 내 님아

언제나 돌아오려나

둥근달이 떠오르고

또다시 기울어가도

한번 떠난 내 님은

또다시 돌아오지 않네



님아 님아 님아

님아 님아 님아



지난날 그가 말했듯이

그날을 잊지 말아요

그날을 기다려줘요



멀리떠난 내 님아

언제나 돌아오려나

나의 사랑 내 님아

언제나 돌아오려나

둥근달이 떠오르고

또다시 기울어가고

한번 떠난 내 님은

또다시 돌아오지 않네



님아 님아 님아

님아 님아 님아 님아",록메탈
17,아름다운 강산 (1972년작),"하늘은 파랗게
구름은 하얗게
실바람도 불어와
부풀은
내 마음
나뭇잎 푸르게
강물도 푸르게
아름다운 이곳에
내가 있고
네가 있네
손잡고 가보자
달려보자 저 광야로
우리들 모여서
말해보자 새 희망을
하늘은 파랗게
구름은 하얗게
실바람도 불어와
부풀은
내 마음
우리는
이땅 위에
우리는
태어나고
아름다운 이곳에
자랑스런 이곳에
살리라
찬란하게 빛나는
붉은 태양이 비추고
하얀 물결 넘치는
저 바다와
함께 있네
그 얼마나 좋은가
우리 사는
이곳에
사랑하는 그대와
노래하리
오늘도 너를
만나러 가야지
말해야지
먼 훗날에
너와 나
살고지고
영원한
이곳에
우리의
새 꿈을
만들어
보고파
봄 여름이 지나면
가을 겨울이 온다네
아름다운
강산
너의 마음
나의 마음
너와 나는 하나
너와 나
우리 영원히
사랑은 영원히
우리 모두다
모두다
끝없이
다정해
우우우우
다정해
하늘은 파랗게
구름은 하얗게
실바람도 불어와
부풀은 내 마음
나뭇잎 푸르게
강물도 푸르게
아름다운 이곳에
내가 있고
네가 있네
손잡고 가보자
달려보자
저 광야로
우리들 모여서
말해보자
새 희망을
하늘은 파랗게
구름은 하얗게
실바람도 불어와
부풀은 내 마음",록메탈
18,Take Two,"머저리 같은 니가
가슴 졸이든 뭐든 해 봐
찔러 봐 뭔가 힘 좀 써봐
너의 가슴 속을 생각할 수가 있게
그 지옥 같은 곳에서 빠져 나오게
망쳤어 니가 미쳤어 이제 끝났어
무식하게 낮은 소리를 내
사실은 고백을 해야 할 시간
역시 좀더 나은 화질의
디지털TV TV TV
못찾겠어
TV TV TV
사과에 꽂혀버린 색연필에겐
단지 저고리에 숨어버렸어
아마 결국 씨앗을 관통했을 걸
아마 오래 가지 않아
넌 죽어버렸을 걸
잊어버려 사실을
다시 소리지를 일이 있길 바라게
이건 정말 내 생각이랑은 반대야
역시 좀더 후진 화질의
오래된TV TV TV
못찾겠어
TV TV TV

깡통 같은 자식들
내가 아무래도 그렇게 멍청할 것 같냐
내 마이크에 누가 껌을 붙여 놨어
진짜 좀 더럽게 좀 굴지마
너의 맘대로 살아가도 돼
상관없어 그대로 썩어가도
널 누가 왜 너는 그냥 맞기만 해
다들 왜 그냥 멋대로 돼

TV TV TV
못찾겠어
TV TV TV
TV TV TV
못찾겠어
TV TV TV",록메탈
19,칼리지 부기,"황량하던 캠퍼스에
꽃이 피었어요
나는 한껏 설레여서
가방을 챙기고
출근 시간 만원 버스는
지독히 붐비죠
옆자리에 여학생도
밤잠을 설쳤나봐
황량하던 캠퍼스에
꽃이 피었어요
나는 혹시 지각을 할까
조급한 발걸음
말을 걸고 싶었으면
곱게 말을 걸지
가만 있는 내 어깨는
왜 괜히 툭 치고 가니
어라 갑자기 가슴이 콱 막혀요
모두 각자의
갈길을 찾아내는데
너무 깊게 판 나의 우물 속에서
물 한방울 안나오면
나는 나는 어떡해
상냥하신 선생님은
얼굴도 예뻐요
이 마음은 두근두근
두 뺨이 울긋불긋
마감이 지난 리포트를
걱정하면서도
두 눈만은 말똥말똥
머리 속은 알쏭달쏭
어라 갑자기 가슴이 뻥 뚫려요
모두 각자의 할 일이 있는거죠
이제 튼튼한 나의 우물 속에서
숨죽이던 생명수가
터져나올 것 같애
오 나의 Boogie Woogie
오 나의 나의 Rock'n'roll
오 나의 Boogie Woogie
나의 나의 Rock'n'roll
학교 다닐 땐
다같은 친구였는데
하나 둘씩 멀어져
남남이 되었네
다정했던 연인도
내 잘못이 많아
끝내 잡지 못하고
혼자가 되었네",록메탈
